ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1956,1956-10-21,4,24.058,PHI,,CRD,L 6-20,1,10,10.00,0,,,,,,,,,,,
2,1960,1960-10-02,2,28.039,NYG,@,STL,W 35-14,0,0,,0,0,0,,0,1,14,14.00,0,0,0,0
3,1960,1960-10-09,3,28.046,NYG,@,PIT,W 19-17,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0
4,1960,1960-10-16,4,28.053,NYG,,WAS,T 24-24,0,0,,0,1,24,24.00,0,1,0,0.00,0,0,0,0
5,1960,1960-11-06,6,28.074,NYG,@,CLE,W 17-13,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0
6,1960,1960-11-20,8,28.088,NYG,,PHI,L 10-17,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
7,1960,1960-11-27,9,28.095,NYG,@,PHI,L 23-31,0,0,,0,2,43,21.50,0,2,5,2.50,0,0,0,0
8,1960,1960-12-04,10,28.102,NYG,,DAL,T 31-31,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0
9,1960,1960-12-11,11,28.109,NYG,@,WAS,W 17-3,0,0,,0,0,0,,0,1,13,13.00,0,1,2,0
10,1960,1960-12-18,12,28.116,NYG,,CLE,L 34-48,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0
11,1961,1961-10-01,4,29.038,NYT,,BOS,W 37-30,0,0,,0,0,0,,0,0,0,,0,1,0,0
12,1961,1961-10-22,6,29.059,NYT,@,DEN,L 10-27,0,0,,0,0,0,,0,0,0,,0,1,41,0
13,1961,1961-10-29,7,29.066,NYT,@,OAK,W 14-6,0,0,,0,0,0,,0,0,0,,0,1,3,0
14,1961,1961-12-17,14,29.115,NYT,@,DTX,L 24-35,0,0,,0,0,0,,0,0,0,,0,1,15,0
15,1962,1962-09-22,3,30.029,NYT,@,BUF,W 17-6,0,0,,0,0,0,,0,0,0,,0,2,6,0
16,1962,1962-10-14,6,30.051,NYT,@,HOU,L 17-56,0,0,,0,0,0,,0,0,0,,0,1,24,0
17,1962,1962-10-21,7,30.058,NYT,@,DTX,L 17-20,0,0,,0,0,0,,0,0,0,,0,1,2,0
18,1962,1962-11-04,9,30.072,NYT,,OAK,W 31-21,0,0,,0,0,0,,0,0,0,,0,2,51,0
19,1962,1962-11-30,12,30.098,NYT,@,BOS,L 17-24,0,0,,0,0,0,,0,0,0,,0,1,0,0
20,1962,1962-12-08,13,30.106,NYT,,BUF,L 3-20,0,0,,0,0,0,,0,0,0,,0,3,39,0
21,1962,1962-12-15,14,30.113,NYT,,HOU,L 10-44,0,0,,0,0,0,,0,0,0,,0,1,0,0
