ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2000,2000-09-03,1,23.165,CAR,@,WAS,L 17-20,,,,,
2,2000,2000-09-10,2,23.172,CAR,@,SFO,W 38-22,,,,,
3,2000,2000-09-17,3,23.179,CAR,,ATL,L 10-15,,,,,
4,2000,2000-10-01,4,23.193,CAR,,DAL,L 13-16,,,,,
5,2000,2000-10-08,5,23.200,CAR,,SEA,W 26-3,,,,,
6,2000,2000-10-15,6,23.207,CAR,@,NOR,L 6-24,,1,1,1.00,0
7,2000,2000-10-22,7,23.214,CAR,,SFO,W 34-16,,,,,
8,2000,2000-10-29,8,23.221,CAR,@,ATL,L 12-13,,,,,
9,2000,2000-11-05,9,23.228,CAR,@,STL,W 27-24,,,,,
10,2000,2000-11-12,10,23.235,CAR,,NOR,L 10-20,,,,,
11,2000,2000-11-19,11,23.242,CAR,@,MIN,L 17-31,,,,,
12,2000,2000-11-27,12,23.250,CAR,,GNB,W 31-14,,,,,
13,2000,2000-12-03,13,23.256,CAR,,STL,W 16-3,,,,,
14,2000,2000-12-10,14,23.263,CAR,@,KAN,L 14-15,,,,,
15,2000,2000-12-17,15,23.270,CAR,,SDG,W 30-22,,,,,
16,2000,2000-12-24,16,23.277,CAR,@,OAK,L 9-52,,,,,
17,2001,2001-12-02,11,24.255,MIA,,DEN,W 21-10,,,,,
18,2001,2001-12-22,14,24.275,MIA,@,NWE,L 13-20,,,,,
19,2001,2001-12-30,15,24.283,MIA,,ATL,W 21-14,,,,,
20,2001,2002-01-06,16,24.290,MIA,,BUF,W 34-7,,,,,
21,2002,2002-09-08,1,25.170,MIA,,DET,W 49-21,,,,,
22,2002,2002-09-15,2,25.177,MIA,@,IND,W 21-13,,,,,
23,2002,2002-09-22,3,25.184,MIA,,NYJ,W 30-3,,,,,
24,2002,2002-09-29,4,25.191,MIA,@,KAN,L 30-48,,,,,
25,2002,2002-10-06,5,25.198,MIA,,NWE,W 26-13,,,,,
26,2002,2002-10-13,6,25.205,MIA,@,DEN,W 24-22,,,,,
27,2002,2002-10-20,7,25.212,MIA,,BUF,L 10-23,,,,,
28,2002,2002-11-04,8,25.227,MIA,@,GNB,L 10-24,,,,,
29,2003,2003-10-19,6,26.211,NYJ,@,HOU,W 19-14,,,,,
30,2003,2003-10-26,7,26.218,NYJ,@,PHI,L 17-24,,,,,
31,2003,2003-11-02,8,26.225,NYJ,,NYG,L 28-31,,,,,
32,2003,2003-11-09,9,26.232,NYJ,@,OAK,W 27-24,,,,,
33,2003,2003-11-16,10,26.239,NYJ,@,IND,L 31-38,,,,,
34,2003,2003-11-23,11,26.246,NYJ,,JAX,W 13-10,,,,,
35,2003,2003-12-01,12,26.254,NYJ,,TEN,W 24-17,,,,,
36,2003,2003-12-07,13,26.260,NYJ,@,BUF,L 6-17,,,,,
37,2003,2003-12-21,15,26.274,NYG,@,DAL,L 3-19,,,,,
38,2003,2003-12-28,16,26.281,NYG,,CAR,L 24-37,,,,,
