ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1961,1961-10-22,6,23.100,NYT,@,DEN,L 10-27,4,1,0.25,0,1,16,16.00,0,0,0,,0
2,1961,1961-10-29,7,23.107,NYT,@,OAK,W 14-6,1,0,0.00,0,0,0,,0,2,12,6.00,0
3,1961,1961-11-05,8,23.114,NYT,@,SDG,L 13-48,2,1,0.50,0,0,0,,0,0,0,,0
