ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1987,1987-10-04,3,24.277,CHI,@,PHI,W 35-3,,5,65,13.00,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
2,1987,1987-10-11,4,24.284,CHI,,MIN,W 27-7,,7,87,12.43,1,,,0,0,,0,0,0,,0,0,0,,0,1,6
3,1987,1987-10-18,5,24.291,CHI,,NOR,L 17-19,,3,47,15.67,1,,,0,0,,0,3,72,24.00,0,0,0,,0,1,6
4,1988,1988-09-04,1,25.248,CHI,,MIA,W 34-7,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
5,1988,1988-09-11,2,25.255,CHI,@,IND,W 17-13,,0,0,,0,,,0,0,,0,2,37,18.50,0,0,0,,0,0,0
6,1988,1988-09-18,3,25.262,CHI,,MIN,L 7-31,,1,50,50.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
7,1988,1988-09-25,4,25.269,CHI,@,GNB,W 24-6,,1,5,5.00,0,,,1,3,3.00,0,0,0,,0,0,0,,0,0,0
8,1988,1988-10-02,5,25.276,CHI,,BUF,W 24-3,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
9,1988,1988-10-09,6,25.283,CHI,@,DET,W 24-7,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
10,1988,1988-10-16,7,25.290,CHI,,DAL,W 17-7,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
11,1988,1988-10-24,8,25.298,CHI,,SFO,W 10-9,,1,37,37.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
12,1988,1988-10-30,9,25.304,CHI,@,NWE,L 7-30,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
13,1988,1988-11-06,10,25.311,CHI,,TAM,W 28-10,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
14,1988,1988-11-13,11,25.318,CHI,@,WAS,W 34-14,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
15,1988,1988-11-20,12,25.325,CHI,@,TAM,W 27-15,,0,0,,0,,,0,0,,0,0,0,,0,1,0,0.00,0,0,0
16,1988,1988-11-27,13,25.332,CHI,,GNB,W 16-0,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
17,1988,1988-12-05,14,25.340,CHI,@,RAM,L 3-23,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
18,1988,1988-12-11,15,25.346,CHI,,DET,W 13-12,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
19,1988,1988-12-19,16,25.354,CHI,@,MIN,L 27-28,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
20,1989,1989-09-17,2,26.260,CHI,,MIN,W 38-7,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
21,1989,1989-09-24,3,26.267,CHI,@,DET,W 47-27,,1,55,55.00,0,,,0,0,,0,1,12,12.00,0,0,0,,0,0,0
22,1989,1989-10-02,4,26.275,CHI,,PHI,W 27-13,,0,0,,0,,,,,,,0,0,,0,0,0,,0,,
