ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-10-02,2,23.363,CLE,,PIT,W 28-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0,0,0,,0
2,1960,1960-10-16,3,24.011,CLE,@,DAL,W 48-7,0,0,,0,1,23,23.00,0,1,2,2.00,0,0,0,0,0,0,0,0,,0
3,1960,1960-10-30,5,24.025,CLE,@,WAS,W 31-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,9,0,0,0,,0
4,1960,1960-11-20,8,24.046,CLE,@,PIT,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
5,1960,1960-11-27,9,24.053,CLE,@,STL,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,0,2,25,0,0,0,,0
6,1960,1960-12-11,11,24.067,CLE,,CHI,W 42-0,0,0,,0,0,0,,0,0,0,,0,2,12,3,95,2,0,0,,0
7,1961,1961-10-22,6,25.017,CLE,@,PIT,W 30-28,0,0,,0,0,0,,0,0,0,,0,0,0,1,20,0,0,0,,0
8,1961,1961-10-29,7,25.024,CLE,@,STL,W 21-10,1,12,12.00,1,0,0,,0,0,0,,0,1,6,0,0,0,0,0,,0
9,1961,1961-12-10,13,25.066,CLE,@,CHI,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
10,1962,1962-11-04,8,26.030,CLE,,PHI,T 14-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,10,0,0,0,,0
11,1963,1963-09-22,2,26.352,CLE,@,DAL,W 41-24,0,0,,0,2,33,16.50,0,0,0,,0,0,0,0,0,0,0,0,,0
12,1963,1963-09-29,3,26.359,CLE,,RAM,W 20-6,1,-10,-10.00,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0
13,1963,1963-10-20,6,27.015,CLE,,PHI,W 37-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,14,0,0,0,,0
14,1963,1963-11-17,10,27.043,CLE,,STL,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,12,0,0,0,,0
15,1964,1964-10-25,7,28.020,CLE,,NYG,W 42-20,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,1,36,36.00,0
16,1964,1964-11-08,9,28.034,CLE,,WAS,W 34-24,0,0,,0,1,1,1.00,0,0,0,,0,0,0,0,0,0,0,0,,0
17,1965,1965-10-09,4,29.004,CLE,,PIT,W 24-19,1,-11,-11.00,0,0,0,,0,0,0,,0,0,0,0,0,0,1,29,29.00,0
18,1965,1965-10-17,5,29.012,CLE,,DAL,W 23-17,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,0,0,0,,0
19,1965,1965-12-19,14,29.075,CLE,@,STL,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,3,89,29.67,0
