ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1973,1973-09-24,2,22.067,NOR,@,DAL,L 3-40,0,0,,0,0,0,,0,1,4,4.00,0
2,1973,1973-09-30,3,22.073,NOR,@,BAL,L 10-14,,,,,,,,,,,,
3,1973,1973-10-07,4,22.080,NOR,,CHI,W 21-16,,,,,,,,,,,,
4,1973,1973-10-14,5,22.087,NOR,,DET,W 20-13,,,,,,,,,,,,
5,1973,1973-10-21,6,22.094,NOR,@,SFO,L 0-40,,,,,,,,,,,,
6,1973,1973-11-04,8,22.108,NOR,,BUF,W 13-0,3,33,11.00,0,0,0,,0,0,0,,0
7,1973,1973-11-11,9,22.115,NOR,@,RAM,L 7-29,,,,,,,,,,,,
8,1973,1973-11-18,10,22.122,NOR,@,SDG,L 14-17,,,,,,,,,,,,
9,1973,1973-11-25,11,22.129,NOR,,RAM,L 13-24,,,,,,,,,,,,
10,1973,1973-12-02,12,22.136,NOR,@,GNB,L 10-30,1,12,12.00,0,0,0,,0,0,0,,0
11,1973,1973-12-09,13,22.143,NOR,,SFO,W 16-10,0,0,,0,0,0,,0,3,33,11.00,0
12,1973,1973-12-16,14,22.150,NOR,@,ATL,L 10-14,0,0,,0,0,0,,0,1,10,10.00,0
13,1976,1976-10-10,5,25.083,WAS,,KAN,L 30-33,,,,,,,,,,,,
14,1976,1976-10-17,6,25.090,WAS,,DET,W 20-7,,,,,,,,,,,,
15,1976,1976-10-25,7,25.098,WAS,,STL,W 20-10,,,,,,,,,,,,
16,1976,1976-10-31,8,25.104,WAS,,DAL,L 7-20,0,0,,0,1,19,19.00,0,0,0,,0
17,1976,1976-11-07,9,25.111,WAS,@,SFO,W 24-21,0,0,,0,1,13,13.00,0,0,0,,0
