ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1993,1993-10-03,4,22.015,TAM,,DET,W 27-10,0,0,,0,,0,0,,0,0.0%,,,,,
2,1993,1993-10-10,5,22.022,TAM,@,MIN,L 0-15,0,0,,0,,0,0,,0,0.0%,,,,,
3,1993,1993-10-24,6,22.036,TAM,,GNB,L 14-37,0,0,,0,,0,0,,0,0.0%,,,,,
4,1993,1993-11-14,9,22.057,TAM,,SFO,L 21-45,0,0,,0,2,1,25,25.00,0,50.0%,12.50,0,0,,0
5,1993,1993-11-21,10,22.064,TAM,,MIN,W 23-10,1,-2,-2.00,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0
6,1993,1993-11-28,11,22.071,TAM,@,GNB,L 10-13,2,10,5.00,0,3,1,7,7.00,0,33.3%,2.33,0,0,,0
7,1993,1993-12-05,12,22.078,TAM,,WAS,L 17-23,4,21,5.25,0,,0,0,,0,0.0%,,0,0,,0
8,1993,1993-12-19,14,22.092,TAM,@,RAI,L 20-27,0,0,,0,,0,0,,0,0.0%,,,,,
9,1993,1993-12-26,15,22.099,TAM,@,DEN,W 17-10,0,0,,0,,0,0,,0,0.0%,,,,,
10,1993,1994-01-02,16,22.106,TAM,,SDG,L 17-32,0,0,,0,,0,0,,0,0.0%,,,,,
11,1994,1994-09-04,1,22.351,TAM,@,CHI,L 9-21,1,-3,-3.00,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0
12,1994,1994-09-18,3,23.000,TAM,,NOR,L 7-9,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0
13,1994,1994-09-25,4,23.007,TAM,@,GNB,L 3-30,0,0,,0,,0,0,,0,0.0%,,0,0,,0
14,1994,1994-11-20,11,23.063,TAM,@,SEA,L 21-22,0,0,,0,,0,0,,0,0.0%,,0,0,,0
15,1994,1994-11-27,12,23.070,TAM,@,MIN,W 20-17,0,0,,0,0,0,0,,0,0.0%,,1,12,12.00,0
16,1994,1994-12-04,13,23.077,TAM,,WAS,W 26-21,0,0,,0,,0,0,,0,0.0%,,0,0,,0
17,1994,1994-12-18,15,23.091,TAM,@,WAS,W 17-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0
18,1994,1994-12-24,16,23.097,TAM,,GNB,L 19-34,0,0,,0,,0,0,,0,0.0%,,0,0,,0
