ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1961,1961-09-10,1,22.125,SDG,@,DTX,W 26-10,1,1,1.00,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
2,1961,1961-09-17,2,22.132,SDG,,OAK,W 44-0,3,12,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
3,1961,1961-10-15,6,22.160,SDG,@,NYT,W 25-10,3,8,2.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
4,1961,1961-10-22,7,22.167,SDG,@,OAK,W 41-10,3,7,2.33,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,1,9,9.00,0,0,0,,0,,,,,,,0,0
5,1961,1961-10-29,8,22.174,SDG,,DEN,W 37-0,5,9,1.80,0,2,31,15.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,1,6
6,1961,1961-11-05,9,22.181,SDG,,NYT,W 48-13,11,42,3.82,0,2,14,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,75,37.50,0,,,,,,,0,0
7,1961,1961-11-12,10,22.188,SDG,@,DEN,W 19-16,4,36,9.00,0,3,97,32.33,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,,,,,,1,6
8,1961,1961-11-19,11,22.195,SDG,,DTX,W 24-14,6,24,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,,,,,,,0,0
9,1961,1961-12-10,13,22.216,SDG,,BUF,W 28-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,27,27.00,0,3,69,23.00,1,,,,,,,1,6
10,1961,1961-12-17,14,22.223,SDG,,BOS,L 0-41,5,11,2.20,0,3,45,15.00,0,0,0,,0,0,0,,0,0,,,2,62,31.00,0,0,0,,0,,,,,,,0,0
11,1962,1962-09-07,1,23.122,SDG,@,DEN,L 21-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,87,29.00,0,0,0,,0,,,,,,,0,0
12,1962,1962-09-16,2,23.131,SDG,,NYT,W 40-14,13,48,3.69,0,0,0,,0,1,1,100.00,23,1,0,158.3,0,0,23.00,43.00,2,145,72.50,1,3,17,5.67,0,,,,,,,1,6
