ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2001,2001-10-14,5,23.109,DEN,@,SEA,L 21-34,,1,1,2,2.00,0,100.0%,2.00
2,2001,2001-10-21,6,23.116,DEN,@,SDG,L 10-27,,,,,,,0.0%,
3,2001,2001-10-28,7,23.123,DEN,,NWE,W 31-20,,1,,,,,0.0%,
4,2001,2001-11-05,8,23.131,DEN,@,OAK,L 28-38,,,,,,,0.0%,
5,2001,2001-11-11,9,23.137,DEN,,SDG,W 26-16,,,,,,,0.0%,
6,2001,2001-11-18,10,23.144,DEN,,WAS,L 10-17,,,,,,,0.0%,
7,2001,2001-11-22,11,23.148,DEN,@,DAL,W 26-24,,1,1,12,12.00,0,100.0%,12.00
8,2001,2001-12-02,12,23.158,DEN,@,MIA,L 10-21,,2,1,12,12.00,0,50.0%,6.00
9,2001,2001-12-09,13,23.165,DEN,,SEA,W 20-7,,,,,,,0.0%,
10,2001,2001-12-16,14,23.172,DEN,@,KAN,L 23-26,,,,,,,0.0%,
11,2001,2001-12-30,15,23.186,DEN,,OAK,W 23-17,,0,,,,,0.0%,
12,2001,2002-01-06,16,23.193,DEN,@,IND,L 10-29,,,,,,,0.0%,
