ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,2002,2002-12-15,14,24.038,TAM,@,DET,W 23-20,,,,,,,,,,
2,2003,2003-09-08,1,24.305,TAM,@,PHI,W 17-0,,,,,,,,,,
3,2003,2003-09-14,2,24.311,TAM,,CAR,L 9-12,,,,,,,,,,
4,2003,2003-09-21,3,24.318,TAM,@,ATL,W 31-10,,3,27,9.00,0,0,0,0,0,0
5,2003,2003-10-06,4,24.333,TAM,,IND,L 35-38,,,,,,,,,,
6,2003,2003-10-12,5,24.339,TAM,@,WAS,W 35-13,,1,11,11.00,0,0,0,0,0,0
7,2003,2003-10-19,6,24.346,TAM,@,SFO,L 7-24,,1,11,11.00,0,0,0,0,0,0
8,2003,2003-10-26,7,24.353,TAM,,DAL,W 16-0,*,1,8,8.00,0,0,0,0,0,0
9,2003,2003-11-02,8,24.360,TAM,,NOR,L 14-17,*,2,17,8.50,0,0,0,0,0,0
10,2003,2003-11-09,9,25.002,TAM,@,CAR,L 24-27,*,0,0,,0,1,6,2,38,1
11,2003,2003-11-16,10,25.009,TAM,,GNB,L 13-20,*,,,,,,,,,
12,2003,2003-11-24,11,25.017,TAM,,NYG,W 19-13,*,,,,,,,,,
13,2003,2003-11-30,12,25.023,TAM,@,JAX,L 10-17,*,,,,,,,,,
