ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2001,2001-09-09,1,22.213,TAM,@,DAL,W 10-6,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
2,2001,2001-09-30,2,22.234,TAM,@,MIN,L 16-20,,,,,,,0.0%,,,,,,,,,,,
3,2001,2001-10-07,3,22.241,TAM,,GNB,W 14-10,*,5,4,18,4.50,0,80.0%,3.60,0,0,,0,0,0,,0,0,0
4,2001,2001-10-14,4,22.248,TAM,@,TEN,L 28-31,*,,,,,,0.0%,,,,,,,,,,,
5,2001,2001-10-21,5,22.255,TAM,,PIT,L 10-17,,,,,,,0.0%,,,,,,,,,,,
6,2001,2001-10-28,6,22.262,TAM,,MIN,W 41-14,*,0,0,0,,0,0.0%,,2,2,1.00,0,0,0,,0,0,0
7,2001,2001-11-04,7,22.269,TAM,@,GNB,L 20-21,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0
8,2001,2001-11-11,8,22.276,TAM,@,DET,W 20-17,,,,,,,0.0%,,,,,,,,,,,
9,2001,2001-11-18,9,22.283,TAM,,CHI,L 24-27,,,,,,,0.0%,,,,,,,,,,,
10,2001,2001-11-26,10,22.291,TAM,@,STL,W 24-17,,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,0,0
11,2001,2001-12-02,11,22.297,TAM,@,CIN,W 16-13,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0
12,2001,2001-12-09,12,22.304,TAM,,DET,W 15-12,,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0
13,2001,2001-12-16,13,22.311,TAM,@,CHI,L 3-27,,,,,,,0.0%,,,,,,,,,,,
14,2001,2001-12-23,14,22.318,TAM,,NOR,W 48-21,,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0
15,2001,2001-12-29,15,22.324,TAM,,BAL,W 22-10,,1,,,,,0.0%,,,,,,,,,,,
16,2001,2002-01-06,16,22.332,TAM,,PHI,L 13-17,,5,5,21,4.20,0,100.0%,4.20,0,0,,0,0,0,,0,0,0
17,2002,2002-09-08,1,23.212,TAM,,NOR,L 20-26,,,,,,,0.0%,,,,,,,,,,,
18,2002,2002-09-15,2,23.219,TAM,@,BAL,W 25-0,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0,0
19,2002,2002-10-06,5,23.240,TAM,@,ATL,W 20-6,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0
20,2002,2002-10-13,6,23.247,TAM,,CLE,W 17-3,,,,,,,0.0%,,,,,,,,,,,
21,2002,2002-10-20,7,23.254,TAM,@,PHI,L 10-20,,,,,,,0.0%,,,,,,,,,,,
22,2002,2002-10-27,8,23.261,TAM,@,CAR,W 12-9,,,,,,,0.0%,,,,,,,,,,,
23,2002,2002-11-03,9,23.268,TAM,,MIN,W 38-24,*,1,,,,,0.0%,,,,,,,,,,,
24,2002,2002-11-17,10,23.282,TAM,,CAR,W 23-10,,0,,,,,0.0%,,,,,,,,,,,
25,2002,2002-11-24,11,23.289,TAM,,GNB,W 21-7,,0,,,,,0.0%,,,,,,,,,,,
26,2002,2002-12-01,12,23.296,TAM,@,NOR,L 20-23,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0
27,2002,2002-12-08,13,23.303,TAM,,ATL,W 34-10,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0
28,2002,2002-12-15,14,23.310,TAM,@,DET,W 23-20,,,,,,,0.0%,,,,,,,,,,,
29,2002,2002-12-23,15,23.318,TAM,,PIT,L 7-17,,,,,,,0.0%,,,,,,,,,,,
30,2002,2002-12-29,16,23.324,TAM,@,CHI,W 15-0,,,,,,,0.0%,,,,,,,,,,,
31,2003,2003-09-21,3,24.225,TAM,@,ATL,W 31-10,,,,,,,0.0%,,,,,,,,,,,
32,2003,2003-10-06,4,24.240,TAM,,IND,L 35-38,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0
33,2003,2003-10-12,5,24.246,TAM,@,WAS,W 35-13,,5,3,29,9.67,0,60.0%,5.80,0,0,,0,0,0,,0,0,0
34,2003,2003-10-19,6,24.253,TAM,@,SFO,L 7-24,,5,3,19,6.33,0,60.0%,3.80,1,-1,-1.00,0,0,0,,0,0,0
35,2003,2003-10-26,7,24.260,TAM,,DAL,W 16-0,*,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,0,0
36,2003,2003-11-02,8,24.267,TAM,,NOR,L 14-17,*,1,,,,,0.0%,,,,,,,,,,,
37,2003,2003-11-09,9,24.274,TAM,@,CAR,L 24-27,,3,3,12,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
38,2003,2003-11-16,10,24.281,TAM,,GNB,L 13-20,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
39,2003,2003-11-24,11,24.289,TAM,,NYG,W 19-13,,,,,,,0.0%,,,,,,,,,,,
40,2003,2003-11-30,12,24.295,TAM,@,JAX,L 10-17,*,4,2,8,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0
41,2003,2003-12-07,13,24.302,TAM,@,NOR,W 14-7,*,1,,,,,0.0%,,,,,,,,,,,
42,2003,2003-12-14,14,24.309,TAM,,HOU,W 16-3,*,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,0,0
43,2003,2003-12-20,15,24.315,TAM,,ATL,L 28-30,*,2,2,19,9.50,1,100.0%,9.50,0,0,,0,0,0,,0,1,6
44,2003,2003-12-28,16,24.323,TAM,@,TEN,L 13-33,*,3,3,4,1.33,0,100.0%,1.33,0,0,,0,0,0,,0,0,0
45,2004,2004-09-26,3,25.231,TAM,@,OAK,L 20-30,*,1,,,,,0.0%,,,,,,,,,,,
46,2004,2004-10-03,4,25.238,TAM,,DEN,L 13-16,,,,,,,0.0%,,,,,,,,,,,
47,2004,2004-10-24,7,25.259,TAM,,CHI,W 19-7,,,,,,,0.0%,,,,,,,,,,,
48,2004,2004-11-07,8,25.273,TAM,,KAN,W 34-31,*,5,3,17,5.67,1,60.0%,3.40,0,0,,0,0,0,,0,1,6
49,2004,2004-11-14,9,25.280,TAM,@,ATL,L 14-24,*,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,0,0,0
50,2004,2004-11-21,10,25.287,TAM,,SFO,W 35-3,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
51,2004,2004-11-28,11,25.294,TAM,@,CAR,L 14-21,,,,,,,0.0%,,,,,,,,,,,
52,2004,2004-12-05,12,25.301,TAM,,ATL,W 27-0,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0
53,2004,2004-12-12,13,25.308,TAM,@,SDG,L 24-31,,1,,,,,0.0%,,,,,,,,,,,
54,2004,2004-12-19,14,25.315,TAM,,NOR,L 17-21,*,0,,,,,0.0%,,,,,,,,,,,
55,2004,2004-12-26,15,25.322,TAM,,CAR,L 20-37,,,,,,,0.0%,,,,,,,,,,,
56,2004,2005-01-02,16,25.329,TAM,@,ARI,L 7-12,,,,,,,0.0%,,,,,,,,,,,
57,2005,2005-09-11,1,26.215,TAM,@,MIN,W 24-13,,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,0
58,2005,2005-09-18,2,26.222,TAM,,BUF,W 19-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
59,2005,2005-09-25,3,26.229,TAM,@,GNB,W 17-16,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0
60,2005,2005-10-02,4,26.236,TAM,,DET,W 17-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
61,2005,2005-10-09,5,26.243,TAM,@,NYJ,L 12-14,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0
62,2005,2005-10-16,6,26.250,TAM,,MIA,W 27-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
63,2005,2005-10-30,7,26.264,TAM,@,SFO,L 10-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
64,2005,2005-11-06,8,26.271,TAM,,CAR,L 14-34,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
65,2005,2005-11-13,9,26.278,TAM,,WAS,W 36-35,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
66,2005,2005-11-20,10,26.285,TAM,@,ATL,W 30-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
67,2005,2005-11-27,11,26.292,TAM,,CHI,L 10-13,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
68,2005,2005-12-04,12,26.299,TAM,@,NOR,W 10-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
69,2005,2005-12-11,13,26.306,TAM,@,CAR,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
70,2005,2005-12-17,14,26.312,TAM,@,NWE,L 0-28,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
71,2005,2005-12-24,15,26.319,TAM,,ATL,W 27-24,,1,1,9,9.00,1,100.0%,9.00,0,0,,0,0,0,,0,1,6
72,2005,2006-01-01,16,26.327,TAM,,NOR,W 27-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
73,2006,2006-09-10,1,27.214,HOU,,PHI,L 10-24,*,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0
74,2006,2006-09-17,2,27.221,HOU,@,IND,L 24-43,*,6,5,34,6.80,0,83.3%,5.67,0,0,,0,0,0,,0,0,0
75,2006,2006-09-24,3,27.228,HOU,,WAS,L 15-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
76,2006,2006-10-01,4,27.235,HOU,,MIA,W 17-15,*,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0
77,2006,2006-10-15,5,27.249,HOU,@,DAL,L 6-34,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
78,2006,2006-10-22,6,27.256,HOU,,JAX,W 27-7,*,6,3,24,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0
79,2006,2006-10-29,7,27.263,HOU,@,TEN,L 22-28,,3,3,20,6.67,0,100.0%,6.67,1,3,3.00,0,0,0,,0,0,0
80,2006,2006-11-05,8,27.270,HOU,@,NYG,L 10-14,*,2,1,3,3.00,0,50.0%,1.50,1,14,14.00,0,0,0,,0,0,0
81,2006,2006-11-12,9,27.277,HOU,@,JAX,W 13-10,,4,2,10,5.00,0,50.0%,2.50,1,1,1.00,0,0,0,,0,0,0
82,2006,2006-11-19,10,27.284,HOU,,BUF,L 21-24,,2,2,10,5.00,0,100.0%,5.00,0,0,,0,1,2,2.00,0,0,0
83,2006,2006-11-26,11,27.291,HOU,@,NYJ,L 11-26,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
84,2006,2006-12-03,12,27.298,HOU,@,OAK,W 23-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
85,2007,2007-09-09,1,28.213,HOU,,KAN,W 20-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
86,2007,2007-09-16,2,28.220,HOU,@,CAR,W 34-21,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0,0
87,2007,2007-09-23,3,28.227,HOU,,IND,L 24-30,,2,2,12,6.00,0,100.0%,6.00,5,15,3.00,0,0,0,,0,0,0
88,2007,2007-09-30,4,28.234,HOU,@,ATL,L 16-26,,6,6,28,4.67,0,100.0%,4.67,2,6,3.00,0,0,0,,0,0,0
89,2007,2007-10-07,5,28.241,HOU,,MIA,W 22-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
90,2007,2007-10-14,6,28.248,HOU,@,JAX,L 17-37,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
91,2007,2007-10-21,7,28.255,HOU,,TEN,L 36-38,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
92,2007,2007-10-28,8,28.262,HOU,@,SDG,L 10-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
93,2007,2007-11-04,9,28.269,HOU,@,OAK,W 24-17,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0
94,2007,2007-11-18,10,28.283,HOU,,NOR,W 23-10,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
95,2007,2007-11-25,11,28.290,HOU,@,CLE,L 17-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
96,2007,2007-12-02,12,28.297,HOU,@,TEN,L 20-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
97,2007,2007-12-09,13,28.304,HOU,,TAM,W 28-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
98,2007,2007-12-13,14,28.308,HOU,,DEN,W 31-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
99,2007,2007-12-23,15,28.318,HOU,@,IND,L 15-38,,0,0,0,,0,0.0%,,0,0,,0,1,21,21.00,0,0,0
