ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,21.149,CLE,,PHI,L 16-17,*,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
2,2012,2012-09-16,2,21.156,CLE,@,CIN,L 27-34,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
3,2012,2012-09-23,3,21.163,CLE,,BUF,L 14-24,*,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
4,2012,2012-09-27,4,21.167,CLE,@,BAL,L 16-23,,1,1,16,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
5,2012,2012-10-07,5,21.177,CLE,@,NYG,L 27-41,*,8,2,82,41.00,2,25.0%,10.25,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0.0,0,0
6,2012,2012-10-14,6,21.184,CLE,,CIN,W 34-24,,4,3,99,33.00,1,75.0%,24.75,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
7,2012,2012-10-21,7,21.191,CLE,@,IND,L 13-17,*,11,2,59,29.50,1,18.2%,5.36,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
8,2012,2012-10-28,8,21.198,CLE,,SDG,W 7-6,*,5,3,46,15.33,0,60.0%,9.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
9,2012,2012-11-04,9,21.205,CLE,,BAL,L 15-25,*,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
10,2012,2012-11-18,10,21.219,CLE,@,DAL,L 20-23,*,7,5,53,10.60,0,71.4%,7.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
11,2012,2012-11-25,11,21.226,CLE,,PIT,W 20-14,*,7,4,60,15.00,0,57.1%,8.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
12,2012,2012-12-02,12,21.233,CLE,@,OAK,W 20-17,*,7,6,116,19.33,1,85.7%,16.57,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
13,2012,2012-12-09,13,21.240,CLE,,KAN,W 30-7,*,12,8,86,10.75,0,66.7%,7.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
14,2012,2012-12-16,14,21.247,CLE,,WAS,L 21-38,*,8,3,27,9.00,0,37.5%,3.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
15,2012,2012-12-23,15,21.254,CLE,@,DEN,L 12-34,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
