ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,22.323,BAL,@,SDG,W 16-14,,,,,,,,,,
2,1970,1970-09-28,2,22.331,BAL,,KAN,L 24-44,,,,,,,,,,
3,1970,1970-10-04,3,22.337,BAL,@,BOS,W 14-6,,,,,,,,,,
4,1970,1970-10-11,4,22.344,BAL,@,HOU,W 24-20,,,,,,,,,,
5,1970,1970-10-18,5,22.351,BAL,@,NYJ,W 29-22,,,,,,,,,,
6,1970,1970-10-25,6,22.358,BAL,,BOS,W 27-3,,,,,,,,,,
7,1970,1970-11-01,7,23.000,BAL,,MIA,W 35-0,,,,,,,,,,
8,1970,1970-11-09,8,23.008,BAL,@,GNB,W 13-10,,,,,,,,,,
9,1970,1970-11-15,9,23.014,BAL,,BUF,T 17-17,,,,,,,,,,
10,1970,1970-11-22,10,23.021,BAL,@,MIA,L 17-34,,,,,,,,,,
11,1970,1970-11-29,11,23.028,BAL,,CHI,W 21-20,,,,,,,,,,
12,1970,1970-12-06,12,23.035,BAL,,PHI,W 29-10,0,0,,0,0,0,0.0,1,31,0
13,1970,1970-12-13,13,23.042,BAL,@,BUF,W 20-14,,,,,,,,,,
14,1970,1970-12-19,14,23.048,BAL,,NYJ,W 35-20,,,,,,,,,,
15,1971,1971-09-19,1,23.322,BAL,,NYJ,W 22-0,,,,,,,,,,
16,1971,1971-09-26,2,23.329,BAL,,CLE,L 13-14,,,,,,,,,,
17,1971,1971-10-03,3,23.336,BAL,@,NWE,W 23-3,,,,,,,,,,
18,1971,1971-10-10,4,23.343,BAL,@,BUF,W 43-0,0,0,,0,0,0,0.0,1,7,0
19,1971,1971-10-17,5,23.350,BAL,@,NYG,W 31-7,0,0,,0,0,0,0.0,2,46,0
20,1971,1971-10-25,6,23.358,BAL,@,MIN,L 3-10,,,,,,,,,,
21,1971,1971-10-31,7,23.364,BAL,,PIT,W 34-21,,,,,,,,,,
22,1971,1971-11-08,8,24.007,BAL,,RAM,W 24-17,,,,,,,,,,
23,1971,1971-11-14,9,24.013,BAL,@,NYJ,W 14-13,0,0,,0,0,0,0.0,1,10,0
24,1971,1971-11-21,10,24.020,BAL,@,MIA,L 14-17,,,,,,,,,,
25,1971,1971-11-28,11,24.027,BAL,@,OAK,W 37-14,,,,,,,,,,
26,1971,1971-12-05,12,24.034,BAL,,BUF,W 24-0,,,,,,,,,,
27,1971,1971-12-11,13,24.040,BAL,,MIA,W 14-3,0,0,,0,0,0,0.0,1,7,0
28,1971,1971-12-19,14,24.048,BAL,,NWE,L 17-21,,,,,,,,,,
29,1972,1972-09-17,1,24.321,BAL,,STL,L 3-10,,,,,,,,,,
30,1972,1972-09-24,2,24.328,BAL,,NYJ,L 34-44,,,,,,,,,,
31,1972,1972-10-01,3,24.335,BAL,@,BUF,W 17-0,0,0,,0,0,0,0.0,2,13,0
32,1972,1972-10-08,4,24.342,BAL,,SDG,L 20-23,,,,,,,,,,
33,1972,1972-10-15,5,24.349,BAL,,DAL,L 0-21,,,,,,,,,,
34,1972,1972-10-22,6,24.356,BAL,@,NYJ,L 20-24,,,,,,,,,,
35,1972,1972-10-29,7,24.363,BAL,,MIA,L 0-23,,,,,,,,,,
36,1972,1972-11-06,8,25.005,BAL,@,NWE,W 24-17,1,0,0.00,0,0,0,0.0,0,0,0
37,1972,1972-11-12,9,25.011,BAL,@,SFO,L 21-24,,,,,,,,,,
38,1972,1972-11-19,10,25.018,BAL,@,CIN,W 20-19,,,,,,,,,,
39,1972,1972-11-26,11,25.025,BAL,,NWE,W 31-0,,,,,,,,,,
40,1972,1972-12-03,12,25.032,BAL,,BUF,W 35-7,,,,,,,,,,
41,1972,1972-12-10,13,25.039,BAL,@,KAN,L 10-24,,,,,,,,,,
42,1972,1972-12-16,14,25.045,BAL,@,MIA,L 0-16,,,,,,,,,,
43,1973,1973-09-16,1,25.319,BAL,@,CLE,L 14-24,,,,,,,,,,
44,1973,1973-09-23,2,25.326,BAL,,NYJ,L 10-34,,,,,,,,,,
45,1973,1973-09-30,3,25.333,BAL,,NOR,W 14-10,,,,,,,,,,
