ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-12-10,14,22.293,CHI,,DET,L 17-27,,0,0,,0,,,1,2,2.00,0,0,0
2,1989,1989-12-17,15,22.300,CHI,,GNB,L 28-40,,0,0,,0,,,0,0,,0,,
3,1989,1989-12-24,16,22.307,CHI,@,SFO,L 0-26,,1,8,8.00,0,,,0,0,,0,0,0
4,1990,1990-09-30,4,23.222,CHI,@,RAI,L 10-24,,1,23,23.00,0,,,0,0,,0,0,0
5,1990,1990-10-07,5,23.229,CHI,,GNB,W 27-13,,0,0,,0,,,,,,,,
6,1990,1990-12-09,13,23.292,CHI,@,WAS,L 9-10,,1,9,9.00,0,,,0,0,,0,0,0
7,1990,1990-12-23,15,23.306,CHI,,TAM,W 27-14,,0,0,,0,,,,,,,,
8,1990,1990-12-29,16,23.312,CHI,,KAN,L 10-21,,0,0,,0,,,,,,,,
9,1991,1991-09-01,1,24.193,CHI,,MIN,W 10-6,,2,48,24.00,1,,,0,0,,0,1,6
10,1991,1991-09-08,2,24.200,CHI,@,TAM,W 21-20,,2,27,13.50,0,,,0,0,,0,0,0
11,1991,1991-09-15,3,24.207,CHI,,NYG,W 20-17,,3,25,8.33,0,,,0,0,,0,0,0
12,1991,1991-09-23,4,24.215,CHI,,NYJ,W 19-13,,8,102,12.75,0,,,0,0,,0,0,0
13,1991,1991-09-29,5,24.221,CHI,@,BUF,L 20-35,,2,17,8.50,0,,,0,0,,0,0,0
14,1991,1991-10-06,6,24.228,CHI,,WAS,L 7-20,,2,15,7.50,0,,,0,0,,0,0,0
15,1991,1991-10-17,7,24.239,CHI,@,GNB,W 10-0,,3,41,13.67,0,,,0,0,,0,0,0
16,1991,1991-10-27,8,24.249,CHI,@,NOR,W 20-17,,2,17,8.50,1,,,0,0,,0,1,6
17,1991,1991-11-03,9,24.256,CHI,,DET,W 20-10,,3,35,11.67,0,,,2,17,8.50,0,0,0
18,1991,1991-11-11,10,24.264,CHI,@,MIN,W 34-17,,5,35,7.00,0,,,0,0,,0,0,0
