ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1971,1971-09-20,1,23.228,DET,,MIN,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,0,0
2,1971,1971-09-26,2,23.234,DET,@,NWE,W 34-7,,,,,,,,,,,,,,,,,,,,,,,,,
3,1971,1971-10-03,3,23.241,DET,,ATL,W 41-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,125,41.67,1,1,6
4,1971,1971-10-10,4,23.248,DET,,GNB,W 31-28,2,31,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
5,1971,1971-10-17,5,23.255,DET,@,HOU,W 31-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,0,0
6,1971,1971-10-24,6,23.262,DET,,CHI,L 23-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,122,61.00,1,1,6
7,1971,1971-11-01,7,23.270,DET,@,GNB,T 14-14,,,,,,,,,,,,,,,,,,,,,,,,,
8,1971,1971-11-07,8,23.276,DET,@,DEN,W 24-20,0,0,,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,0,0
9,1971,1971-11-14,9,23.283,DET,,RAM,L 13-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,30,15.00,0,0,0
10,1971,1971-11-21,10,23.290,DET,@,CHI,W 28-3,,,,,,,,,,,,,,,,,,,,,,,,,
11,1971,1971-11-25,11,23.294,DET,,KAN,W 32-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0
12,1971,1971-12-05,12,23.304,DET,,PHI,L 20-23,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
13,1971,1971-12-11,13,23.310,DET,@,MIN,L 10-29,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,57,19.00,0,0,0
14,1971,1971-12-19,14,23.318,DET,@,SFO,L 27-31,1,51,51.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
15,1972,1972-09-17,1,24.226,DET,,NYG,W 30-16,2,29,14.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,86,28.67,0,1,6
16,1972,1972-09-24,2,24.233,DET,,MIN,L 10-34,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,0,0
