ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,21.277,GNB,,DET,L 16-30,,,,,,,,,,,,,
2,1975,1975-09-29,2,21.285,GNB,@,DEN,L 13-23,,,,,,,,,,,,,
3,1975,1975-10-05,3,21.291,GNB,,MIA,L 7-31,,,,,,,,,,,,,
4,1975,1975-10-12,4,21.298,GNB,@,NOR,L 19-20,0,0,,0,1,27,27.00,0,0,0,0,0,0
5,1975,1975-10-19,5,21.305,GNB,@,DAL,W 19-17,,,,,,,,,,,,,
6,1975,1975-10-26,6,21.312,GNB,,PIT,L 13-16,,,,,,,,,,,,,
7,1975,1975-11-02,7,21.319,GNB,,MIN,L 17-28,,,,,,,,,,,,,
8,1975,1975-11-09,8,21.326,GNB,@,CHI,L 14-27,,,,,,,,,,,,,
9,1975,1975-11-16,9,21.333,GNB,@,DET,L 10-13,,,,,,,,,,,,,
10,1975,1975-11-23,10,21.340,GNB,,NYG,W 40-14,,,,,,,,,,,,,
11,1975,1975-11-30,11,21.347,GNB,,CHI,W 28-7,0,0,,0,0,0,,0,0,0,1,7,0
12,1975,1975-12-07,12,21.354,GNB,@,MIN,L 3-24,,,,,,,,,,,,,
13,1975,1975-12-14,13,21.361,GNB,@,RAM,L 5-22,,,,,,,,,,,,,
14,1975,1975-12-21,14,22.003,GNB,,ATL,W 22-13,,,,,,,,,,,,,
15,1976,1976-09-12,1,22.269,GNB,,SFO,L 14-26,0,0,,0,0,0,,0,1,6,1,15,1
16,1976,1976-09-19,2,22.276,GNB,@,STL,L 0-29,,,,,,,,,,,,,
17,1976,1976-09-26,3,22.283,GNB,@,CIN,L 7-28,0,0,,0,3,36,12.00,0,0,0,0,0,0
18,1976,1976-10-03,4,22.290,GNB,,DET,W 24-14,0,0,,0,1,12,12.00,0,0,0,0,0,0
19,1976,1976-10-10,5,22.297,GNB,,SEA,W 27-20,0,0,,0,4,18,4.50,0,0,0,0,0,0
20,1976,1976-10-17,6,22.304,GNB,,PHI,W 28-13,0,0,,0,2,14,7.00,0,0,0,0,0,0
21,1976,1976-10-24,7,22.311,GNB,@,OAK,L 14-18,0,0,,0,4,16,4.00,0,0,0,0,0,0
22,1976,1976-10-31,8,22.318,GNB,@,DET,L 6-27,0,0,,0,1,16,16.00,0,0,0,1,19,0
23,1976,1976-11-07,9,22.325,GNB,,NOR,W 32-27,1,23,23.00,0,3,58,19.33,0,0,0,0,0,0
24,1976,1976-11-14,10,22.332,GNB,@,CHI,L 13-24,0,0,,0,5,51,10.20,0,0,0,2,67,0
25,1976,1976-11-21,11,22.339,GNB,,MIN,L 10-17,0,0,,0,7,30,4.29,0,0,0,0,0,0
26,1976,1976-11-28,12,22.346,GNB,,CHI,L 10-16,0,0,,0,2,26,13.00,0,0,0,0,0,0
27,1976,1976-12-05,13,22.353,GNB,@,MIN,L 9-20,0,0,,0,3,16,5.33,0,0,0,0,0,0
28,1976,1976-12-12,14,22.360,GNB,@,ATL,W 24-20,0,0,,0,2,14,7.00,0,0,0,0,0,0
29,1977,1977-09-18,1,23.274,GNB,@,NOR,W 24-20,,,,,,,,,,,,,
30,1977,1977-09-25,2,23.281,GNB,,HOU,L 10-16,,,,,,,,,,,,,
31,1977,1977-10-02,3,23.288,GNB,@,MIN,L 7-19,,,,,,,,,,,,,
32,1977,1977-10-09,4,23.295,GNB,,CIN,L 7-17,,,,,,,,,,,,,
33,1977,1977-10-16,5,23.302,GNB,@,DET,L 6-10,,,,,,,,,,,,,
34,1977,1977-10-23,6,23.309,GNB,@,TAM,W 13-0,0,0,,0,4,41,10.25,0,0,0,0,0,0
35,1977,1977-10-30,7,23.316,GNB,,CHI,L 0-26,0,0,,0,2,14,7.00,0,0,0,0,0,0
36,1977,1977-11-06,8,23.323,GNB,@,KAN,L 10-20,,,,,,,,,,,,,
37,1977,1977-11-13,9,23.330,GNB,,RAM,L 6-24,,,,,,,,,,,,,
