ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2015,2015-10-05,4,26.346,SEA,,DET,W 13-10,,0,0,,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,,,0,0,,0
2,2015,2015-10-11,5,26.352,SEA,@,CIN,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0
3,2015,2015-10-18,6,26.359,SEA,,CAR,L 23-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0
4,2015,2015-10-22,7,26.363,SEA,@,SFO,W 20-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0
5,2015,2015-11-29,11,27.036,SEA,,PIT,W 39-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0
6,2015,2015-12-06,12,27.043,SEA,@,MIN,W 38-7,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,1,7,7.00,0
7,2015,2015-12-27,15,27.064,HOU,@,TEN,W 34-6,,6,6,1.00,0,0,0,0,,0,0.0%,,1,2,50.00,7,0,0,58.3,0,0,3.50,3.50,0,0,,0
8,2015,2016-01-03,16,27.071,HOU,,JAX,W 30-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,4,18,4.50,0
