ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,24.148,SFO,@,GNB,W 26-14,,,,,,,
2,1976,1976-09-19,2,24.155,SFO,,CHI,L 12-19,0,0,,0,1,30,0
3,1976,1976-09-26,3,24.162,SFO,@,SEA,W 37-21,,,,,,,
4,1976,1976-10-03,4,24.169,SFO,,NYJ,W 17-6,,,,,,,
5,1976,1976-10-11,5,24.177,SFO,@,RAM,W 16-0,,,,,,,
6,1976,1976-10-17,6,24.183,SFO,,NOR,W 33-3,0,0,,0,1,8,0
7,1976,1976-10-23,7,24.189,SFO,,ATL,W 15-0,1,2,2.00,0,1,4,0
8,1976,1976-10-31,8,24.197,SFO,@,STL,L 20-23,,,,,,,
9,1976,1976-11-07,9,24.204,SFO,,WAS,L 21-24,,,,,,,
10,1976,1976-11-14,10,24.211,SFO,@,ATL,L 16-21,5,15,3.00,0,0,0,0
11,1976,1976-11-21,11,24.218,SFO,,RAM,L 3-23,,,,,,,
12,1976,1976-11-29,12,24.226,SFO,,MIN,W 20-16,1,6,6.00,0,0,0,0
13,1976,1976-12-05,13,24.232,SFO,@,SDG,L 7-13,3,44,14.67,0,0,0,0
14,1976,1976-12-12,14,24.239,SFO,@,NOR,W 27-7,6,75,12.50,0,0,0,0
15,1978,1978-09-03,1,26.139,DET,,GNB,L 7-13,,,,,,,
16,1978,1978-09-09,2,26.145,DET,@,TAM,W 15-7,,,,,,,
17,1978,1978-09-17,3,26.153,DET,,CHI,L 0-19,,,,,,,
18,1978,1978-09-24,4,26.160,DET,@,SEA,L 16-28,,,,,,,
19,1978,1978-10-01,5,26.167,DET,@,GNB,L 14-35,,,,,,,
20,1978,1978-10-08,6,26.174,DET,,WAS,L 19-21,,,,,,,
21,1978,1978-10-15,7,26.181,DET,@,ATL,L 0-14,,,,,,,
22,1978,1978-10-22,8,26.188,DET,,SDG,W 31-14,0,0,,0,1,24,0
23,1978,1978-10-29,9,26.195,DET,@,CHI,W 21-17,,,,,,,
24,1978,1978-11-05,10,26.202,DET,@,MIN,L 7-17,,,,,,,
25,1978,1978-11-12,11,26.209,DET,,TAM,W 34-23,,,,,,,
26,1978,1978-11-19,12,26.216,DET,@,OAK,L 17-29,,,,,,,
27,1978,1978-11-23,13,26.220,DET,,DEN,W 17-14,,,,,,,
28,1978,1978-12-09,15,26.236,DET,,MIN,W 45-14,,,,,,,
29,1978,1978-12-17,16,26.244,DET,,SFO,W 33-14,,,,,,,
