ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2012,2012-12-09,13,23.070,SFO,,MIA,W 27-13,,,,,,,0.0%,,,,,
2,2012,2012-12-16,14,23.077,SFO,@,NWE,W 41-34,,,,,,,0.0%,,,,,
3,2012,2012-12-30,16,23.091,SFO,,ARI,W 27-13,,1,0,0,,0,0.0%,0.00,0,0,,0
4,2013,2013-09-08,1,23.343,KAN,@,JAX,W 28-2,,,,,,,0.0%,,,,,
5,2013,2013-09-15,2,23.350,KAN,,DAL,W 17-16,,,,,,,0.0%,,,,,
6,2013,2013-09-19,3,23.354,KAN,@,PHI,W 26-16,,2,1,6,6.00,0,50.0%,3.00,0,0,,0
7,2013,2013-09-29,4,23.364,KAN,,NYG,W 31-7,,,,,,,0.0%,,,,,
8,2013,2013-10-06,5,24.006,KAN,@,TEN,W 26-17,,1,0,0,,0,0.0%,0.00,0,0,,0
9,2013,2013-10-13,6,24.013,KAN,,OAK,W 24-7,,1,0,0,,0,0.0%,0.00,0,0,,0
10,2013,2013-10-20,7,24.020,KAN,,HOU,W 17-16,,,,,,,0.0%,,,,,
11,2013,2013-10-27,8,24.027,KAN,,CLE,W 23-17,,,,,,,0.0%,,,,,
12,2013,2013-11-03,9,24.034,KAN,@,BUF,W 23-13,,,,,,,0.0%,,,,,
13,2013,2013-11-17,10,24.048,KAN,@,DEN,L 17-27,,,,,,,0.0%,,,,,
14,2013,2013-11-24,11,24.055,KAN,,SDG,L 38-41,,1,1,22,22.00,0,100.0%,22.00,0,0,,0
15,2013,2013-12-01,12,24.062,KAN,,DEN,L 28-35,,4,3,35,11.67,0,75.0%,8.75,0,0,,0
16,2013,2013-12-08,13,24.069,KAN,@,WAS,W 45-10,,,,,,,0.0%,,,,,
17,2013,2013-12-15,14,24.076,KAN,@,OAK,W 56-31,,1,0,0,,0,0.0%,0.00,1,5,5.00,0
18,2013,2013-12-22,15,24.083,KAN,,IND,L 7-23,,,,,,,0.0%,,,,,
19,2013,2013-12-29,16,24.090,KAN,@,SDG,L 24-27,*,7,3,67,22.33,0,42.9%,9.57,1,1,1.00,0
20,2014,2014-09-07,1,24.342,KAN,,TEN,L 10-26,,,,,,,0.0%,,,,,
21,2014,2014-09-14,2,24.349,KAN,@,DEN,L 17-24,,3,3,16,5.33,0,100.0%,5.33,0,0,,0
22,2014,2014-09-21,3,24.356,KAN,@,MIA,W 34-15,,0,0,0,,0,0.0%,,1,0,0.00,0
23,2014,2014-09-29,4,24.364,KAN,,NWE,W 41-14,,1,1,0,0.00,0,100.0%,0.00,0,0,,0
24,2014,2014-10-05,5,25.005,KAN,@,SFO,L 17-22,*,2,1,3,3.00,0,50.0%,1.50,1,-2,-2.00,0
25,2014,2014-10-19,6,25.019,KAN,@,SDG,W 23-20,,2,2,37,18.50,0,100.0%,18.50,0,0,,0
26,2014,2014-10-26,7,25.026,KAN,,STL,W 34-7,,,,,,,0.0%,,,,,
27,2014,2014-11-02,8,25.033,KAN,,NYJ,W 24-10,,3,1,10,10.00,0,33.3%,3.33,0,0,,0
28,2014,2014-11-09,9,25.040,KAN,@,BUF,W 17-13,*,4,1,27,27.00,0,25.0%,6.75,0,0,,0
