ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1959,1959-09-27,1,23.314,CRD,,WAS,W 49-21,1,5,5.00,1,11,140,12.73,2,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,3,
2,1959,1959-10-04,2,23.321,CRD,,CLE,L 7-34,0,0,,0,4,8,2.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,
3,1959,1959-10-11,3,23.328,CRD,@,WAS,L 14-23,1,15,15.00,0,3,11,3.67,0,1,1,100.00,30,0,0,118.7,0,0,30.00,30.00,,,,,,,,,,,,,,,0,
4,1959,1959-10-18,4,23.335,CRD,@,CLE,L 7-17,2,21,10.50,0,5,9,1.80,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,
5,1959,1959-10-25,5,23.342,CRD,,PHI,L 24-28,1,1,1.00,0,10,53,5.30,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,,,,,,,,,,,0,
6,1959,1959-11-01,6,23.349,CRD,,PIT,W 45-24,1,5,5.00,1,10,88,8.80,0,1,1,100.00,52,1,0,158.3,0,0,52.00,72.00,,,,,,,,,,,,,,,1,
7,1959,1959-11-08,7,23.356,CRD,@,NYG,L 3-9,0,0,,0,7,6,0.86,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,
8,1959,1959-11-15,8,23.363,CRD,@,PHI,L 17-27,1,-3,-3.00,0,11,0,0.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,
9,1959,1959-11-22,9,24.005,CRD,,NYG,L 20-30,1,7,7.00,0,4,-2,-0.50,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,
10,1959,1959-11-29,10,24.012,CRD,,CHI,L 7-31,1,18,18.00,0,4,10,2.50,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,
11,1959,1959-12-06,11,24.019,CRD,@,DET,L 21-45,1,36,36.00,0,1,-5,-5.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,
12,1959,1959-12-13,12,24.026,CRD,@,PIT,L 20-35,4,37,9.25,1,4,10,2.50,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,
13,1960,1960-09-23,1,24.311,STL,@,RAM,W 43-21,1,5,5.00,0,2,1,0.50,0,0,0,,0,0,0,,0,0,,,1,65,65.00,0,1,6,6.00,0,5,5,100.0,2,4,50.0,0,11
14,1960,1960-10-02,2,24.320,STL,,NYG,L 14-35,0,0,,0,1,33,33.00,0,0,0,,0,0,0,,0,0,,,2,43,21.50,0,0,0,,0,2,2,100.0,,1,0.0,0,2
15,1960,1960-10-09,3,24.327,STL,@,PHI,L 27-31,2,34,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,112,28.00,0,0,0,,0,3,3,100.0,,,,0,3
16,1960,1960-10-16,4,24.334,STL,@,PIT,L 14-27,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,32,32.00,0,0,0,,0,2,2,100.0,,,,0,2
17,1960,1960-10-23,5,24.341,STL,,DAL,W 12-10,0,0,,0,2,15,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
18,1960,1960-10-30,6,24.348,STL,@,NYG,W 20-13,0,0,,0,3,2,0.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
19,1960,1960-11-06,7,24.355,STL,,WAS,W 44-7,1,17,17.00,0,5,40,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,,,,0,5
20,1960,1960-11-13,8,24.362,STL,@,CLE,L 27-28,0,0,,0,4,7,1.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,3,3,100.0,,,,0,3
21,1960,1960-11-20,9,25.003,STL,@,WAS,W 26-14,1,24,24.00,0,2,-2,-1.00,0,0,0,,0,0,0,,0,0,,,3,68,22.67,0,1,22,22.00,0,3,3,100.0,,,,0,3
22,1960,1960-11-27,10,25.010,STL,,CLE,T 17-17,1,4,4.00,0,2,-6,-3.00,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,1,6,6.00,0,2,2,100.0,,,,0,2
23,1960,1960-12-04,11,25.017,STL,,PHI,L 6-20,0,0,,0,2,1,0.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,,1,0.0,,,,0,0
24,1960,1960-12-18,12,25.031,STL,,PIT,W 38-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,47,15.67,0,,,,,,,0,0
25,1961,1961-09-17,1,25.304,STL,@,NYG,W 21-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1961,1961-09-24,2,25.311,STL,@,CLE,L 17-20,5,57,11.40,0,5,7,1.40,0,0,0,,0,0,0,,0,0,,,1,28,28.00,0,0,0,,0,,,,,,,0,0
27,1961,1961-10-01,3,25.318,STL,@,PHI,W 30-27,1,7,7.00,0,3,-9,-3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
28,1961,1961-10-08,4,25.325,STL,,NYG,L 9-24,0,0,,0,2,-3,-1.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,,,0,0
29,1961,1961-10-15,5,25.332,STL,,PHI,L 7-20,1,12,12.00,0,8,22,2.75,0,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,0,0,,0,3,95,31.67,1,,,,,,,1,6
