ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-10-16,5,22.049,PIT,,JAX,L 17-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
2,2006,2006-09-07,1,23.010,PIT,,MIA,W 28-17,,4,2,32,16.00,1,50.0%,8.00,1,8,8.00,0,1,6,0.0,,
3,2006,2006-09-18,2,23.021,PIT,@,JAX,L 0-9,,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,0.0,,
4,2006,2006-09-24,3,23.027,PIT,,CIN,L 20-28,,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,0.0,,
5,2006,2006-10-08,4,23.041,PIT,@,SDG,L 13-23,,5,3,45,15.00,0,60.0%,9.00,0,0,,0,0,0,0.0,,
6,2006,2006-10-15,5,23.048,PIT,,KAN,W 45-7,,4,3,68,22.67,1,75.0%,17.00,0,0,,0,1,6,0.0,,
7,2006,2006-10-22,6,23.055,PIT,@,ATL,L 38-41,,3,3,76,25.33,1,100.0%,25.33,1,0,0.00,0,1,6,0.0,,
8,2006,2006-10-29,7,23.062,PIT,@,OAK,L 13-20,,2,1,49,49.00,0,50.0%,24.50,0,0,,0,0,0,0.0,,
9,2006,2006-11-05,8,23.069,PIT,,DEN,L 20-31,,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,0.0,,
10,2006,2006-11-12,9,23.076,PIT,,NOR,W 38-31,,6,2,28,14.00,0,33.3%,4.67,0,0,,0,0,0,0.0,,
11,2006,2006-11-19,10,23.083,PIT,@,CLE,W 24-20,,5,2,24,12.00,0,40.0%,4.80,0,0,,0,0,0,0.0,,
12,2006,2006-11-26,11,23.090,PIT,@,BAL,L 0-27,,8,4,49,12.25,0,50.0%,6.13,0,0,,0,0,0,0.0,,
13,2006,2006-12-03,12,23.097,PIT,,TAM,W 20-3,*,7,3,78,26.00,0,42.9%,11.14,0,0,,0,0,0,0.0,,
14,2006,2006-12-07,13,23.101,PIT,,CLE,W 27-7,*,5,2,67,33.50,1,40.0%,13.40,0,0,,0,1,6,0.0,,
15,2006,2006-12-17,14,23.111,PIT,@,CAR,W 37-3,,1,1,14,14.00,0,100.0%,14.00,1,0,0.00,0,0,0,0.0,,
16,2006,2006-12-24,15,23.118,PIT,,BAL,L 7-31,,5,1,9,9.00,0,20.0%,1.80,0,0,,0,0,0,0.0,,
17,2006,2006-12-31,16,23.125,PIT,@,CIN,W 23-17,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,0.0,,
