ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1991,1991-11-10,10,22.202,TAM,,DET,W 30-21,,,,,,,,,,
2,1991,1991-11-17,11,22.209,TAM,@,ATL,L 7-43,,,,,,,,,,
3,1991,1991-11-24,12,22.216,TAM,,NYG,L 14-21,,,,,,,,,,
4,1991,1991-12-01,13,22.223,TAM,@,MIA,L 14-33,,,,,,,,,,
5,1991,1991-12-14,15,22.236,TAM,@,CHI,L 0-27,,,,,,,,,,
6,1991,1991-12-22,16,22.244,TAM,,IND,W 17-3,,,,,,,,,,
7,1992,1992-11-01,8,23.193,TAM,@,NOR,L 21-23,,,,,,,,,,
8,1992,1992-11-08,9,23.200,TAM,,MIN,L 7-35,,,,,,,,,,
9,1992,1992-11-15,10,23.207,TAM,,CHI,W 20-17,,,,,,,,,,
10,1992,1992-11-22,11,23.214,TAM,@,SDG,L 14-29,,,,,,,,,,
11,1992,1992-11-29,12,23.221,TAM,@,GNB,L 14-19,,,,,,,,,,
12,1992,1992-12-06,13,23.228,TAM,,RAM,L 27-31,,,,,,,,,,
13,1992,1992-12-13,14,23.235,TAM,,ATL,L 7-35,,,,,,,,,,
14,1992,1992-12-19,15,23.241,TAM,@,SFO,L 14-21,,,,,,,,,,
15,1992,1992-12-27,16,23.249,TAM,@,PHO,W 7-3,,,,,,,,,,
16,1993,1993-09-05,1,24.136,TAM,,KAN,L 3-27,,,,,,,,,,
17,1993,1993-09-12,2,24.143,TAM,@,NYG,L 7-23,,,,,,,,,,
18,1993,1993-09-26,3,24.157,TAM,@,CHI,L 17-47,,,,,,,,,,
19,1993,1993-10-03,4,24.164,TAM,,DET,W 27-10,,,,,,,,,,
20,1993,1993-10-10,5,24.171,TAM,@,MIN,L 0-15,,,,,,,,,,
21,1993,1993-10-24,6,24.185,TAM,,GNB,L 14-37,0,0,,0,0,0,1.0,0,0,0
22,1993,1993-10-31,7,24.192,TAM,@,ATL,W 31-24,,,,,,,,,,
23,1993,1993-11-07,8,24.199,TAM,@,DET,L 0-23,,,,,,,,,,
24,1993,1993-11-14,9,24.206,TAM,,SFO,L 21-45,,,,,,,,,,
25,1993,1993-11-21,10,24.213,TAM,,MIN,W 23-10,,,,,,,,,,
26,1993,1993-11-28,11,24.220,TAM,@,GNB,L 10-13,,,,,,,,,,
27,1993,1993-12-05,12,24.227,TAM,,WAS,L 17-23,,,,,,,,,,
28,1993,1993-12-12,13,24.234,TAM,,CHI,W 13-10,,,,,,,,,,
29,1993,1993-12-19,14,24.241,TAM,@,RAI,L 20-27,,,,,,,,,,
30,1993,1993-12-26,15,24.248,TAM,@,DEN,W 17-10,,,,,,,,,,
31,1993,1994-01-02,16,24.255,TAM,,SDG,L 17-32,,,,,,,,,,
32,1994,1994-09-04,1,25.135,CIN,,CLE,L 20-28,,,,,,,,,,
33,1994,1994-09-11,2,25.142,CIN,@,SDG,L 10-27,,,,,,,,,,
34,1994,1994-09-18,3,25.149,CIN,,NWE,L 28-31,,,,,,,,,,
35,1994,1994-09-25,4,25.156,CIN,@,HOU,L 13-20,,,,,,,,,,
36,1994,1994-10-02,5,25.163,CIN,,MIA,L 7-23,,,,,,,,,,
37,1994,1994-10-16,6,25.177,CIN,@,PIT,L 10-14,,,,,,,,,,
38,1994,1994-10-23,7,25.184,CIN,@,CLE,L 13-37,,,,,,,,,,
39,1994,1994-10-30,8,25.191,CIN,,DAL,L 20-23,,,,,,,,,,
40,1994,1994-11-06,9,25.198,CIN,@,SEA,W 20-17,,,,,,,,,,
41,1994,1994-11-13,10,25.205,CIN,,HOU,W 34-31,,,,,,,,,,
42,1994,1994-11-20,11,25.212,CIN,,IND,L 13-17,,,,,,,,,,
43,1994,1994-11-27,12,25.219,CIN,@,DEN,L 13-15,0,0,,0,0,0,1.5,0,0,0
44,1994,1994-12-04,13,25.226,CIN,,PIT,L 15-38,,,,,,,,,,
45,1994,1994-12-11,14,25.233,CIN,@,NYG,L 20-27,,,,,,,,,,
46,1994,1994-12-18,15,25.240,CIN,@,ARI,L 7-28,1,0,0.00,0,0,0,0.0,0,0,0
47,1994,1994-12-24,16,25.246,CIN,,PHI,W 33-30,,,,,,,,,,
48,1995,1995-09-03,1,26.134,CIN,@,IND,W 24-21,,,,,,,,,,
49,1995,1995-09-10,2,26.141,CIN,,JAX,W 24-17,0,0,,0,0,0,1.0,0,0,0
50,1995,1995-09-17,3,26.148,CIN,@,SEA,L 21-24,0,0,,0,1,6,0.0,1,17,1
51,1995,1995-09-24,4,26.155,CIN,,HOU,L 28-38,,,,,,,,,,
52,1995,1995-10-01,5,26.162,CIN,,MIA,L 23-26,,,,,,,,,,
53,1995,1995-10-08,6,26.169,CIN,@,TAM,L 16-19,,,,,,,,,,
54,1995,1995-10-19,7,26.180,CIN,@,PIT,W 27-9,,,,,,,,,,
55,1995,1995-10-29,8,26.190,CIN,,CLE,L 26-29,,,,,,,,,,
56,1995,1995-11-05,9,26.197,CIN,,OAK,L 17-20,,,,,,,,,,
57,1995,1995-11-12,10,26.204,CIN,@,HOU,W 32-25,0,0,,0,0,0,1.0,0,0,0
58,1995,1995-11-19,11,26.211,CIN,,PIT,L 31-49,,,,,,,,,,
59,1995,1995-11-26,12,26.218,CIN,@,JAX,W 17-13,,,,,,,,,,
60,1995,1995-12-03,13,26.225,CIN,@,GNB,L 10-24,,,,,,,,,,
61,1995,1995-12-10,14,26.232,CIN,,CHI,W 16-10,,,,,,,,,,
62,1995,1995-12-17,15,26.239,CIN,@,CLE,L 10-26,,,,,,,,,,
63,1995,1995-12-24,16,26.246,CIN,,MIN,W 27-24,,,,,,,,,,
64,1996,1996-09-08,2,27.139,CIN,@,SDG,L 14-27,,,,,,,,,,
65,1996,1996-09-15,3,27.146,CIN,,NOR,W 30-15,,,,,,,,,,
66,1996,1996-09-29,4,27.160,CIN,,DEN,L 10-14,,,,,,,,,,
67,1996,1996-10-13,6,27.174,CIN,@,PIT,L 10-20,,,,,,,,,,
68,1996,1996-10-20,7,27.181,CIN,@,SFO,L 21-28,,,,,,,,,,
69,1996,1996-10-27,8,27.188,CIN,,JAX,W 28-21,,,,,,,,,,
70,1996,1996-11-03,9,27.195,SDG,@,IND,W 26-19,,,,,,,,,,
71,1996,1996-11-10,10,27.202,CIN,,PIT,W 34-24,0,0,,0,0,0,0.0,1,30,0
72,1996,1996-11-17,11,27.209,CIN,@,BUF,L 17-31,,,,,,,,,,
73,1996,1996-11-24,12,27.216,CIN,,ATL,W 41-31,,,,,,,,,,
74,1996,1996-12-01,13,27.223,CIN,@,JAX,L 27-30,,,,,,,,,,
75,1996,1996-12-15,15,27.237,CIN,@,HOU,W 21-13,,,,,,,,,,
76,1996,1996-12-22,16,27.244,CIN,,IND,W 31-24,,,,,,,,,,
77,1997,1997-11-16,11,28.208,TEN,@,JAX,L 9-17,,,,,,,,,,
78,1997,1997-11-23,12,28.215,TEN,,BUF,W 31-14,0,0,,0,0,0,0.0,1,24,0
