ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,def_int,def_int_yds,def_int_td
1,1966,1966-09-18,2,25.246,MIN,,BAL,L 23-38,0,0,1,17,0
2,1966,1966-10-30,7,25.288,MIN,,SFO,W 28-3,0,0,1,10,0
3,1967,1967-09-22,2,26.250,MIN,@,RAM,L 3-39,0,0,1,10,0
4,1967,1967-10-15,5,26.273,MIN,@,GNB,W 10-7,0,0,2,16,0
5,1967,1967-11-26,11,26.315,MIN,@,PIT,W 41-27,1,6,2,72,1
6,1968,1968-09-22,2,27.251,MIN,@,GNB,W 26-13,0,0,1,19,0
7,1968,1968-11-24,11,27.314,MIN,@,BAL,L 9-21,0,0,1,36,0
8,1969,1969-10-12,4,28.270,MIN,@,CHI,W 31-0,0,0,1,38,0
9,1969,1969-10-26,6,28.284,MIN,,DET,W 24-10,0,0,3,22,0
10,1969,1969-12-07,12,28.326,MIN,@,RAM,W 20-13,0,0,1,2,0
11,1969,1969-12-14,13,28.333,MIN,,SFO,W 10-7,0,0,1,38,0
