ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1995,1995-09-03,1,24.064,BUF,@,DEN,L 7-22,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0
2,1995,1995-09-10,2,24.071,BUF,,CAR,W 31-9,,11,30,2.73,1,0,0,0,,0,0.0%,,3,20,6.67,0,1,6
3,1995,1995-09-17,3,24.078,BUF,,IND,W 20-14,,7,32,4.57,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0
4,1995,1995-10-02,4,24.093,BUF,@,CLE,W 22-19,,9,62,6.89,0,3,2,7,3.50,0,66.7%,2.33,5,105,21.00,0,0,0
5,1995,1995-10-08,5,24.099,BUF,,NYJ,W 29-10,,11,60,5.45,0,0,0,0,,0,0.0%,,3,108,36.00,0,0,0
6,1995,1995-10-15,6,24.106,BUF,,SEA,W 27-21,,12,50,4.17,0,2,0,0,,0,0.0%,0.00,2,37,18.50,0,0,0
7,1995,1995-10-23,7,24.114,BUF,@,NWE,L 14-27,,13,40,3.08,0,8,8,80,10.00,0,100.0%,10.00,5,111,22.20,0,0,0
8,1995,1995-10-29,8,24.120,BUF,@,MIA,L 6-23,,12,24,2.00,0,6,5,25,5.00,0,83.3%,4.17,0,0,,0,0,0
9,1995,1995-11-05,9,24.127,BUF,@,IND,W 16-10,,21,67,3.19,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0
10,1995,1995-11-12,10,24.134,BUF,,ATL,W 23-17,,23,100,4.35,0,1,1,-1,-1.00,0,100.0%,-1.00,1,18,18.00,0,0,0
11,1995,1995-11-19,11,24.141,BUF,@,NYJ,W 28-26,,12,22,1.83,1,4,2,52,26.00,0,50.0%,13.00,3,59,19.67,0,1,6
12,1995,1995-11-26,12,24.148,BUF,,NWE,L 25-35,,6,46,7.67,0,2,1,10,10.00,0,50.0%,5.00,3,70,23.33,0,0,0
13,1995,1995-12-03,13,24.155,BUF,@,SFO,L 17-27,,11,41,3.73,0,3,2,22,11.00,0,66.7%,7.33,4,72,18.00,0,0,0
14,1995,1995-12-10,14,24.162,BUF,@,STL,W 45-27,,12,90,7.50,2,0,0,0,,0,0.0%,,4,84,21.00,0,2,12
15,1995,1995-12-17,15,24.169,BUF,,MIA,W 23-20,,3,12,4.00,0,0,0,0,,0,0.0%,,4,70,17.50,0,0,0
16,1995,1995-12-24,16,24.176,BUF,,HOU,L 17-28,,9,22,2.44,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
17,1996,1996-09-01,1,25.062,BUF,@,NYG,W 23-20,,7,31,4.43,0,0,0,0,,0,0.0%,,0,0,,0,0,0
18,1996,1996-09-08,2,25.069,BUF,,NWE,W 17-10,,15,49,3.27,0,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0
19,1996,1996-09-16,3,25.077,BUF,@,PIT,L 6-24,,5,15,3.00,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0
20,1996,1996-09-22,4,25.083,BUF,,DAL,W 10-7,,8,48,6.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
21,1996,1996-10-06,5,25.097,BUF,,IND,W 16-13,,10,31,3.10,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
22,1996,1996-10-13,6,25.104,BUF,,MIA,L 7-21,,8,17,2.13,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0
23,1996,1996-10-20,7,25.111,BUF,@,NYJ,W 25-22,,10,7,0.70,1,0,0,0,,0,0.0%,,0,0,,0,1,6
24,1996,1996-10-27,8,25.118,BUF,@,NWE,L 25-28,,3,6,2.00,0,3,1,6,6.00,1,33.3%,2.00,0,0,,0,1,6
25,1996,1996-11-03,9,25.125,BUF,,WAS,W 38-13,,22,122,5.55,3,1,1,19,19.00,0,100.0%,19.00,0,0,,0,3,18
26,1996,1996-11-10,10,25.132,BUF,@,PHI,W 24-17,,10,30,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
27,1996,1996-11-17,11,25.139,BUF,,CIN,W 31-17,,28,46,1.64,0,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0
28,1996,1996-11-24,12,25.146,BUF,,NYJ,W 35-10,,22,58,2.64,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0
29,1996,1996-12-01,13,25.153,BUF,@,IND,L 10-13,,30,96,3.20,0,5,4,29,7.25,0,80.0%,5.80,0,0,,0,0,0
30,1996,1996-12-08,14,25.160,BUF,@,SEA,L 18-26,,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
31,1996,1996-12-16,15,25.168,BUF,@,MIA,L 14-16,,3,10,3.33,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0
32,1996,1996-12-22,16,25.174,BUF,,KAN,W 20-9,,4,1,0.25,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0
33,1997,1997-08-31,1,26.061,BUF,,MIN,L 13-34,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
34,1997,1997-09-07,2,26.068,BUF,@,NYJ,W 28-22,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
35,1997,1997-10-12,6,26.103,BUF,@,NWE,L 6-33,,4,41,10.25,1,2,2,14,7.00,0,100.0%,7.00,0,0,,0,1,6
36,1997,1997-10-20,7,26.111,BUF,@,IND,W 9-6,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
37,1997,1997-10-26,8,26.117,BUF,,DEN,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,3,71,23.67,0,0,0
38,1997,1997-11-02,9,26.124,BUF,,MIA,W 9-6,,1,6,6.00,0,0,0,0,,0,0.0%,,1,22,22.00,0,0,0
39,1997,1997-11-09,10,26.131,BUF,,NWE,L 10-31,,4,25,6.25,0,1,1,6,6.00,0,100.0%,6.00,6,107,17.83,0,0,0
40,1997,1997-11-17,11,26.139,BUF,@,MIA,L 13-30,,2,3,1.50,1,2,2,14,7.00,0,100.0%,7.00,1,36,36.00,0,1,6
41,1997,1997-11-23,12,26.145,BUF,@,TEN,L 14-31,,1,-3,-3.00,0,3,2,16,8.00,0,66.7%,5.33,3,45,15.00,0,0,0
42,1997,1997-11-30,13,26.152,BUF,,NYJ,W 20-10,,0,0,,0,0,0,0,,0,0.0%,,3,63,21.00,0,0,0
43,1997,1997-12-07,14,26.159,BUF,@,CHI,L 3-20,,0,0,,0,5,3,41,13.67,0,60.0%,8.20,4,56,14.00,0,0,0
44,1997,1997-12-14,15,26.166,BUF,,JAX,L 14-20,,8,35,4.38,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0
45,1997,1997-12-20,16,26.172,BUF,@,GNB,L 21-31,,2,-1,-0.50,0,4,1,2,2.00,0,25.0%,0.50,2,30,15.00,0,0,0
46,1998,1998-09-06,1,27.067,BUF,@,SDG,L 14-16,,2,8,4.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
47,1998,1998-09-13,2,27.074,BUF,@,MIA,L 7-13,,,,,,,,,,,0.0%,,,,,,,
48,1998,1998-09-20,3,27.081,BUF,,STL,L 33-34,,0,0,,0,2,0,0,,0,0.0%,0.00,1,20,20.00,0,0,0
49,1998,1998-10-05,5,27.096,GNB,,MIN,L 24-37,,,,,,,,,,,0.0%,,,,,,,
50,1998,1998-10-15,6,27.106,GNB,@,DET,L 20-27,,,,,,,,,,,0.0%,,,,,,,
51,1998,1998-11-01,8,27.123,GNB,,SFO,W 36-22,,,,,,,,,,,0.0%,,,,,,,
52,1998,1998-11-09,9,27.131,GNB,@,PIT,L 20-27,,,,,,,,,,,0.0%,,,,,,,
53,1998,1998-11-15,10,27.137,GNB,@,NYG,W 37-3,,27,111,4.11,1,2,2,13,6.50,0,100.0%,6.50,0,0,,0,1,6
54,1998,1998-11-22,11,27.144,GNB,@,MIN,L 14-28,,16,51,3.19,0,7,5,50,10.00,0,71.4%,7.14,0,0,,0,0,0
55,1998,1998-11-29,12,27.151,GNB,,PHI,W 24-16,,26,163,6.27,0,5,5,53,10.60,0,100.0%,10.60,0,0,,0,0,0
56,1998,1998-12-07,13,27.159,GNB,@,TAM,L 22-24,,12,46,3.83,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0
57,1998,1998-12-13,14,27.165,GNB,,CHI,W 26-20,,9,6,0.67,0,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0
58,1998,1998-12-27,16,27.179,GNB,@,CHI,W 16-13,,3,9,3.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0
59,1999,1999-10-24,6,28.115,IND,,CIN,W 31-10,,,,,,0,,,,,0.0%,,,,,,,
