ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2003,2003-09-07,1,22.082,BAL,@,PIT,L 15-34,*,22,43,51.16,152,1,1,57.5,2,9,3.53,2.95,5,14,2.80,0,0,0,0.0,,,0,0,,0
2,2003,2003-09-14,2,22.089,BAL,,CLE,W 33-13,*,7,17,41.18,78,0,1,31.0,3,21,4.59,1.94,3,3,1.00,0,0,0,0.0,,,0,0,,0
3,2003,2003-09-21,3,22.096,BAL,@,SDG,W 24-10,*,12,21,57.14,98,1,1,65.2,1,1,4.67,3.48,3,0,0.00,0,0,0,0.0,,,0,0,,0
4,2003,2003-09-28,4,22.103,BAL,,KAN,L 10-17,*,15,26,57.69,140,0,3,33.0,3,16,5.38,0.19,3,15,5.00,0,0,0,0.0,,,0,0,,0
5,2003,2003-10-12,5,22.117,BAL,@,ARI,W 26-18,*,9,18,50.00,75,0,0,61.1,1,3,4.17,4.17,2,5,2.50,0,0,0,0.0,,,0,0,,0
6,2003,2003-10-19,6,22.124,BAL,@,CIN,L 26-34,*,15,27,55.56,302,2,1,104.2,3,21,11.19,11.00,4,8,2.00,0,0,0,0.0,,,0,0,,0
7,2003,2003-10-26,7,22.131,BAL,,DEN,W 26-6,*,15,27,55.56,137,1,0,81.9,2,11,5.07,5.81,3,11,3.67,0,0,0,0.0,,,0,0,,0
8,2003,2003-11-02,8,22.138,BAL,,JAX,W 24-17,*,10,23,43.48,156,1,1,63.0,0,0,6.78,5.70,6,4,0.67,0,0,0,0.0,,,0,0,,0
9,2003,2003-11-09,9,22.145,BAL,@,STL,L 22-33,*,10,21,47.62,112,1,1,60.0,2,10,5.33,4.14,1,2,2.00,0,0,0,0.0,,,0,0,,0
10,2003,2003-12-21,15,22.187,BAL,@,CLE,W 35-0,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,0,0,,0,0,0,0.0,,,0,0,,0
11,2003,2003-12-28,16,22.194,BAL,,PIT,W 13-10,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,,1,29,29.00,0
12,2004,2004-09-12,1,23.087,BAL,@,CLE,L 3-20,*,22,38,57.89,191,0,2,49.3,3,25,5.03,2.66,2,16,8.00,0,0,0,0.0,,,0,0,,0
13,2004,2004-09-19,2,23.094,BAL,,PIT,W 30-13,*,10,18,55.56,98,0,0,71.1,2,11,5.44,5.44,8,34,4.25,0,0,0,0.0,,,0,0,,0
14,2004,2004-09-26,3,23.101,BAL,@,CIN,W 23-9,*,11,18,61.11,126,1,0,100.7,2,0,7.00,8.11,4,24,6.00,1,1,6,0.0,,,0,0,,0
15,2004,2004-10-04,4,23.109,BAL,,KAN,L 24-27,*,10,17,58.82,154,1,0,108.5,4,27,9.06,10.24,3,3,1.00,0,0,0,0.0,,,0,0,,0
16,2004,2004-10-10,5,23.115,BAL,@,WAS,W 17-10,*,9,18,50.00,81,0,3,22.9,2,5,4.50,-3.00,7,-6,-0.86,0,0,0,0.0,,,0,0,,0
17,2004,2004-10-24,6,23.129,BAL,,BUF,W 20-6,*,10,19,52.63,86,0,0,64.8,4,26,4.53,4.53,4,5,1.25,0,0,0,0.0,,,0,0,,0
18,2004,2004-10-31,7,23.136,BAL,@,PHI,L 10-15,*,24,38,63.16,223,1,1,77.0,2,9,5.87,5.21,1,7,7.00,0,0,0,0.0,,,0,0,,0
19,2004,2004-11-07,8,23.143,BAL,,CLE,W 27-13,*,17,30,56.67,142,0,0,69.0,1,8,4.73,4.73,2,1,0.50,0,0,0,0.0,,,0,0,,0
20,2004,2004-11-14,9,23.150,BAL,@,NYJ,W 20-17,*,19,33,57.58,213,2,0,97.2,3,27,6.45,7.67,2,5,2.50,0,0,0,0.0,,,0,0,,0
21,2004,2004-11-21,10,23.157,BAL,,DAL,W 30-10,*,23,34,67.65,232,2,0,106.5,1,4,6.82,8.00,3,9,3.00,0,0,0,0.0,,,0,0,,0
