ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1979,1979-09-01,1,22.020,TAM,,DET,W 31-16,,,,,,,,,,,,
2,1979,1979-09-09,2,22.028,TAM,@,BAL,W 29-26,,,,,,,,,,,,
3,1979,1979-09-16,3,22.035,TAM,@,GNB,W 21-10,,,,,,,,,,,,
4,1979,1979-09-23,4,22.042,TAM,,RAM,W 21-6,,,,,,,,,,,,
5,1979,1979-09-30,5,22.049,TAM,@,CHI,W 17-13,,,,,,,,,,,,
6,1979,1979-10-07,6,22.056,TAM,@,NYG,L 14-17,,,,,,,,,,,,
7,1979,1979-10-14,7,22.063,TAM,,NOR,L 14-42,,,,,,,,,,,,
8,1979,1979-10-21,8,22.070,TAM,,GNB,W 21-3,,,,,,,,,,,,
9,1979,1979-10-28,9,22.077,TAM,@,MIN,W 12-10,,,,,,,,,,,,
10,1979,1979-11-04,10,22.084,TAM,@,ATL,L 14-17,,,,,,,,,,,,
11,1979,1979-11-11,11,22.091,TAM,@,DET,W 16-14,,,,,,,,,,,,
12,1979,1979-11-18,12,22.098,TAM,,NYG,W 31-3,,,,,,,,,,,,
13,1979,1979-11-25,13,22.105,TAM,,MIN,L 22-23,,,,,,,,,,,,
14,1979,1979-12-09,15,22.119,TAM,@,SFO,L 7-23,,,,,,,,,,,,
15,1979,1979-12-16,16,22.126,TAM,,KAN,W 3-0,,,,,,,,,,,,
16,1980,1980-09-07,1,23.026,TAM,@,CIN,W 17-12,,,,,,,,,,,,
17,1980,1980-09-11,2,23.030,TAM,,RAM,W 10-9,,,,,,,,,,,,
18,1980,1980-09-21,3,23.040,TAM,@,DAL,L 17-28,,,,,,,,,,,,
19,1980,1980-09-28,4,23.047,TAM,,CLE,L 27-34,,,,,,,,,,,,
20,1980,1980-10-06,5,23.055,TAM,@,CHI,L 0-23,,,,,,,,,,,,
21,1980,1980-10-12,6,23.061,TAM,,GNB,T 14-14,,,,,,,,,,,,
22,1980,1980-10-19,7,23.068,TAM,@,HOU,L 14-20,,,,,,,,,,,,
23,1980,1980-10-26,8,23.075,TAM,@,SFO,W 24-23,,,,,,,,,,,,
24,1980,1980-11-02,9,23.082,TAM,,NYG,W 30-13,,,,,,,,,,,,
25,1980,1980-11-09,10,23.089,TAM,,PIT,L 21-24,,,,,,,,,,,,
26,1980,1980-11-16,11,23.096,TAM,@,MIN,L 30-38,,,,,,,,,,,,
27,1980,1980-11-23,12,23.103,TAM,,DET,L 10-24,,,,,,,,,,,,
28,1980,1980-11-30,13,23.110,TAM,@,GNB,W 20-17,,,,,,,,,,,,
29,1980,1980-12-07,14,23.117,TAM,,MIN,L 10-21,,,,,,,,,,,,
30,1980,1980-12-14,15,23.124,TAM,@,DET,L 14-27,,,,,,,,,,,,
31,1980,1980-12-20,16,23.130,TAM,,CHI,L 13-14,,,,,,,,,,,,
32,1981,1981-09-05,1,24.024,TAM,,MIN,W 21-13,,,,,,,,,,,,
33,1981,1981-09-13,2,24.032,TAM,@,KAN,L 10-19,,,,,,,,,,,,
34,1981,1981-09-20,3,24.039,TAM,@,CHI,L 17-28,,,,,,,,,,,,
35,1981,1981-09-27,4,24.046,TAM,,STL,W 20-10,,,,,,,,,,,,
36,1981,1981-10-04,5,24.053,TAM,,DET,W 28-10,,,,,,,,,,,,
37,1981,1981-10-11,6,24.060,TAM,@,GNB,W 21-10,,,,,,,,,,,,
38,1981,1981-10-18,7,24.067,TAM,@,OAK,L 16-18,,,,,,,,,,,,
39,1981,1981-10-25,8,24.074,TAM,@,PHI,L 10-20,,,,,,,,,,,,
40,1981,1981-11-01,9,24.081,TAM,,CHI,W 20-10,,,,,,,,,,,,
41,1981,1981-11-08,10,24.088,TAM,@,MIN,L 10-25,,,,,,,,,,,,
42,1981,1981-11-15,11,24.095,TAM,,DEN,L 7-24,,,,,,,,,,,,
43,1981,1981-11-22,12,24.102,TAM,,GNB,W 37-3,,,,,,,,,,,,
44,1981,1981-11-29,13,24.109,TAM,@,NOR,W 31-14,,,,,,,,,,,,
45,1981,1981-12-06,14,24.116,TAM,,ATL,W 24-23,,,,,,,,,,,,
46,1981,1981-12-13,15,24.123,TAM,,SDG,L 23-24,,,,,,,,,,,,
47,1981,1981-12-20,16,24.130,TAM,@,DET,W 20-17,,,,,,,,,,,,
48,1982,1982-09-12,1,25.031,TAM,@,MIN,L 10-17,0,0,,0,,,,,,,,
49,1982,1982-09-19,2,25.038,TAM,,WAS,L 13-21,0,0,,0,,,,,,,,
50,1982,1982-11-21,3,25.101,TAM,@,DAL,L 9-14,0,0,,0,,,,,,,,
51,1982,1982-11-29,4,25.109,TAM,,MIA,W 23-17,0,0,,0,,,,,,,,
52,1982,1982-12-05,5,25.115,TAM,@,NOR,W 13-10,0,0,,0,,,,,,,,
53,1982,1982-12-12,6,25.122,TAM,@,NYJ,L 17-32,0,0,,0,,,,,,,,
54,1982,1982-12-19,7,25.129,TAM,,BUF,W 24-23,1,14,14.00,0,,,,,,,0,0
55,1982,1982-12-26,8,25.136,TAM,,DET,W 23-21,0,0,,0,,,,,,,,
56,1982,1983-01-02,9,25.143,TAM,,CHI,W 26-23,0,0,,0,,,,,,,,
57,1983,1983-09-04,1,26.023,TAM,,DET,L 0-11,,,,,,,,,,,,
58,1983,1983-09-11,2,26.030,TAM,@,CHI,L 10-17,,,,,,,,,,,,
59,1983,1983-09-18,3,26.037,TAM,,MIN,L 16-19,,,,,,,,,,,,
60,1983,1983-09-25,4,26.044,TAM,,CIN,L 17-23,,,,,,,,,,,,
61,1983,1983-10-02,5,26.051,TAM,@,GNB,L 14-55,,,,,,,,,,,,
62,1983,1983-10-09,6,26.058,TAM,@,DAL,L 24-27,,,,,,,,,,,,
63,1983,1983-10-16,7,26.065,TAM,,STL,L 27-34,,,,,,,,,,,,
64,1983,1983-10-23,8,26.072,TAM,,NOR,L 21-24,,,,,,,,,,,,
65,1983,1983-10-30,9,26.079,TAM,@,PIT,L 12-17,,,,,,,,,,,,
66,1983,1983-11-20,12,26.100,TAM,,CHI,L 0-27,,,,,,,,,,,,
67,1983,1983-11-27,13,26.107,TAM,,HOU,W 33-24,,,,,,,,,,,,
68,1983,1983-12-04,14,26.114,TAM,@,SFO,L 21-35,,,,,,,,,,,,
69,1983,1983-12-12,15,26.122,TAM,,GNB,L 9-12,,,,,,,,,,,,
70,1983,1983-12-18,16,26.128,TAM,@,DET,L 20-23,,,,,1,1,100.0,,,,0,1
71,1985,1985-09-08,1,28.027,TAM,@,CHI,L 28-38,,,,,,,,,,,,
72,1985,1985-09-15,2,28.034,TAM,,MIN,L 16-31,,,,,,,,,,,,
73,1985,1985-09-22,3,28.041,TAM,@,NOR,L 13-20,,,,,,,,,,,,
74,1985,1985-09-29,4,28.048,TAM,@,DET,L 9-30,,,,,,,,,,,,
75,1985,1985-10-06,5,28.055,TAM,,CHI,L 19-27,,,,,,,,,,,,
76,1985,1985-10-13,6,28.062,TAM,,RAM,L 27-31,,,,,,,,,,,,
77,1985,1985-10-20,7,28.069,TAM,@,MIA,L 38-41,,,,,,,,,,,,
78,1985,1985-10-27,8,28.076,TAM,,NWE,L 14-32,,,,,,,,,,,,
79,1985,1985-12-01,13,28.111,TAM,@,GNB,L 0-21,,,,,,,,,,,,
80,1985,1985-12-08,14,28.118,TAM,@,MIN,L 7-26,,,,,,,,,,,,
81,1985,1985-12-15,15,28.125,TAM,,IND,L 23-31,,,,,,,,,,,,
82,1985,1985-12-22,16,28.132,TAM,,GNB,L 17-20,,,,,,,,,,,,
83,1986,1986-09-07,1,29.026,TAM,,SFO,L 7-31,,,,,,,,,,,,
84,1986,1986-09-14,2,29.033,TAM,,MIN,L 10-23,,,,,,,,,,,,
85,1986,1986-09-21,3,29.040,TAM,@,DET,W 24-20,,,,,,,,,,,,
86,1986,1986-09-28,4,29.047,TAM,,ATL,L 20-23,,,,,,,,,,,,
87,1986,1986-10-05,5,29.054,TAM,@,RAM,L 20-26,,,,,,,,,,,,
88,1986,1986-10-12,6,29.061,TAM,,STL,L 19-30,,,,,,,,,,,,
89,1986,1986-10-19,7,29.068,TAM,@,NOR,L 7-38,,,,,,,,,,,,
90,1986,1986-10-26,8,29.075,TAM,@,KAN,L 20-27,,,,,,,,,,,,
91,1986,1986-11-02,9,29.082,TAM,,BUF,W 34-28,,,,,,,,,,,,
92,1986,1986-11-09,10,29.089,TAM,,CHI,L 3-23,,,,,,,,,,,,
93,1986,1986-11-16,11,29.096,TAM,@,GNB,L 7-31,,,,,,,,,,,,
94,1986,1986-11-23,12,29.103,TAM,,DET,L 17-38,,,,,,,,,,,,
95,1986,1986-11-30,13,29.110,TAM,@,MIN,L 13-45,,,,,,,,,,,,
96,1986,1986-12-07,14,29.117,TAM,@,CHI,L 14-48,,,,,,,,,,,,
97,1986,1986-12-14,15,29.124,TAM,,GNB,L 7-21,,,,,,,,,,,,
98,1986,1986-12-21,16,29.131,TAM,@,STL,L 17-21,,,,,,,,,,,,
99,1987,1987-09-13,1,30.032,TAM,,ATL,W 48-10,,,,,,,,,,,,
100,1987,1987-09-20,2,30.039,TAM,@,CHI,L 3-20,,,,,,,,,,,,
101,1987,1987-11-01,7,30.081,TAM,@,GNB,W 23-17,,,,,,,,,,,,
102,1987,1987-11-08,8,30.088,TAM,@,STL,L 28-31,,,,,,,,,,,,
103,1987,1987-11-15,9,30.095,TAM,@,MIN,L 17-23,,,,,,,,,,,,
104,1987,1987-11-22,10,30.102,TAM,,SFO,L 10-24,,,,,,,,,,,,
105,1987,1987-11-29,11,30.109,TAM,@,RAM,L 3-35,,,,,,,,,,,,
106,1987,1987-12-06,12,30.116,TAM,@,NOR,L 34-44,,,,,,,,,,,,
107,1987,1987-12-13,13,30.123,TAM,,DET,L 10-20,,,,,,,,,,,,
108,1987,1987-12-20,14,30.130,TAM,,STL,L 14-31,,,,,,,,,,,,
109,1987,1987-12-27,15,30.137,TAM,@,IND,L 6-24,,,,,,,,,,,,
110,1988,1988-09-04,1,31.023,ATL,@,DET,L 17-31,,,,,,,,,,,,
111,1988,1988-09-11,2,31.030,ATL,,NOR,L 21-29,,,,,,,,,,,,
112,1988,1988-09-18,3,31.037,ATL,@,SFO,W 34-17,,,,,,,,,,,,
113,1988,1988-09-25,4,31.044,ATL,@,DAL,L 20-26,,,,,,,,,,,,
114,1988,1988-10-02,5,31.051,ATL,,SEA,L 20-31,,,,,,,,,,,,
115,1988,1988-10-09,6,31.058,ATL,,RAM,L 0-33,,,,,,,,,,,,
116,1988,1988-10-16,7,31.065,ATL,@,DEN,L 14-30,,,,,,,,,,,,
117,1988,1988-10-23,8,31.072,ATL,,NYG,L 16-23,,,,,,,,,,,,
118,1988,1988-10-30,9,31.079,ATL,@,PHI,W 27-24,,,,,,,,,,,,
119,1988,1988-11-06,10,31.086,ATL,,GNB,W 20-0,,,,,,,,,,,,
120,1988,1988-11-13,11,31.093,ATL,,SDG,L 7-10,,,,,,,,,,,,
121,1988,1988-11-20,12,31.100,ATL,@,RAI,W 12-6,,,,,,,,,,,,
122,1988,1988-11-27,13,31.107,ATL,,TAM,W 17-10,,,,,,,,,,,,
123,1988,1988-12-04,14,31.114,ATL,,SFO,L 3-13,,,,,,,,,,,,
124,1988,1988-12-11,15,31.121,ATL,@,RAM,L 7-22,,,,,,,,,,,,
125,1988,1988-12-18,16,31.128,ATL,@,NOR,L 9-10,,,,,,,,,,,,
126,1989,1989-09-10,1,32.029,HOU,@,MIN,L 7-38,,,,,,,,,,,,
127,1989,1989-09-17,2,32.036,HOU,@,SDG,W 34-27,,,,,,,,,,,,
128,1989,1989-09-24,3,32.043,HOU,,BUF,L 41-47,,,,,,,,,,,,
129,1989,1989-10-01,4,32.050,HOU,,MIA,W 39-7,,,,,,,,,,,,
130,1989,1989-10-08,5,32.057,HOU,@,NWE,L 13-23,,,,,,,,,,,,
131,1989,1989-10-22,7,32.071,HOU,,PIT,W 27-0,,,,,,,,,,,,
132,1989,1989-10-29,8,32.078,HOU,@,CLE,L 17-28,,,,,,,,,,,,
133,1989,1989-11-13,10,32.093,HOU,,CIN,W 26-24,,,,,,,,,,,,
134,1989,1989-11-19,11,32.099,HOU,,RAI,W 23-7,,,,,,,,,,,,
135,1989,1989-12-17,15,32.127,HOU,@,CIN,L 7-61,,,,,,,,,,,,
136,1989,1989-12-23,16,32.133,HOU,,CLE,L 20-24,,,,,,,,,,,,
