ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,22.181,NWE,@,TEN,W 34-13,*,,0,6,0.0,4,1
2,2012,2012-09-16,2,22.188,NWE,,ARI,L 18-20,*,,0,0,0.0,3,2
3,2012,2012-09-23,3,22.195,NWE,@,BAL,L 30-31,*,,0,0,0.0,5,0
4,2012,2012-09-30,4,22.202,NWE,@,BUF,W 52-28,*,,0,0,1.0,2,0
5,2012,2012-10-21,7,22.223,NWE,,NYJ,W 29-26,,,0,0,1.0,7,0
6,2012,2012-10-28,8,22.230,NWE,@,STL,W 45-7,*,,0,0,0.0,1,0
7,2012,2012-11-11,9,22.244,NWE,,BUF,W 37-31,*,,0,0,0.0,1,3
8,2012,2012-11-18,10,22.251,NWE,,IND,W 59-24,*,,0,0,0.0,0,2
9,2012,2012-11-22,11,22.255,NWE,@,NYJ,W 49-19,*,,0,0,1.0,3,1
10,2012,2012-12-02,12,22.265,NWE,@,MIA,W 23-16,*,,0,0,0.0,2,0
11,2012,2012-12-10,13,22.273,NWE,,HOU,W 42-14,*,,0,0,0.0,5,1
12,2012,2012-12-16,14,22.279,NWE,,SFO,L 34-41,*,,0,0,0.0,5,3
13,2012,2012-12-23,15,22.286,NWE,@,JAX,W 23-16,*,,0,0,1.0,4,2
14,2012,2012-12-30,16,22.293,NWE,,MIA,W 28-0,*,,0,0,0.0,1,2
15,2013,2013-09-08,1,23.180,NWE,@,BUF,W 23-21,,,0,0,0.0,3,1
16,2013,2013-09-12,2,23.184,NWE,,NYJ,W 13-10,*,,0,0,0.0,4,4
17,2013,2013-09-22,3,23.194,NWE,,TAM,W 23-3,*,,0,0,0.0,1,2
18,2013,2013-09-29,4,23.201,NWE,@,ATL,W 30-23,*,,0,0,0.0,3,6
19,2013,2013-10-06,5,23.208,NWE,@,CIN,L 6-13,*,,0,0,0.0,1,1
20,2013,2013-10-13,6,23.215,NWE,,NOR,W 30-27,,,,,,,
21,2013,2013-10-20,7,23.222,NWE,@,NYJ,L 27-30,*,,0,0,0.0,7,4
22,2013,2013-10-27,8,23.229,NWE,,MIA,W 27-17,*,,0,0,1.0,5,5
23,2013,2013-11-03,9,23.236,NWE,,PIT,W 55-31,*,,0,0,0.0,2,2
24,2013,2013-11-18,10,23.251,NWE,@,CAR,L 20-24,*,,0,0,0.0,3,1
25,2013,2013-11-24,11,23.257,NWE,,DEN,W 34-31,*,,0,0,0.0,1,2
26,2013,2013-12-01,12,23.264,NWE,@,HOU,W 34-31,*,,0,0,0.0,5,2
27,2013,2013-12-08,13,23.271,NWE,,CLE,W 27-26,*,,0,0,0.0,7,4
28,2013,2013-12-15,14,23.278,NWE,@,MIA,L 20-24,*,,0,0,0.0,8,1
29,2013,2013-12-22,15,23.285,NWE,@,BAL,W 41-7,*,,0,0,0.0,3,3
30,2013,2013-12-29,16,23.292,NWE,,BUF,W 34-20,*,,0,0,0.0,2,4
31,2014,2014-09-07,1,24.179,NWE,@,MIA,L 20-33,*,,0,0,0.0,0,1
32,2014,2014-09-14,2,24.186,NWE,@,MIN,W 30-7,*,,0,0,2.0,7,1
33,2014,2014-09-21,3,24.193,NWE,,OAK,W 16-9,*,,0,0,0.0,3,4
34,2014,2014-09-29,4,24.201,NWE,@,KAN,L 14-41,*,,0,0,0.0,4,0
35,2014,2014-10-16,7,24.218,NWE,,NYJ,W 27-25,*,,0,0,1.0,9,4
36,2014,2014-10-26,8,24.228,NWE,,CHI,W 51-23,*,,0,0,0.5,4,6
37,2014,2014-11-02,9,24.235,NWE,,DEN,W 43-21,*,,0,0,0.0,6,0
38,2014,2014-11-16,10,24.249,NWE,@,IND,W 42-20,*,,0,0,0.0,2,3
39,2014,2014-11-23,11,24.256,NWE,,DET,W 34-9,*,,0,0,0.0,5,3
40,2014,2014-11-30,12,24.263,NWE,@,GNB,L 21-26,*,,0,0,1.0,4,6
41,2014,2014-12-14,14,24.277,NWE,,MIA,W 41-13,*,,0,0,0.5,4,4
42,2014,2014-12-21,15,24.284,NWE,@,NYJ,W 17-16,*,,0,0,1.0,3,6
43,2015,2015-09-10,1,25.182,NWE,,PIT,W 28-21,*,,0,0,1.0,6,2
44,2015,2015-09-20,2,25.192,NWE,@,BUF,W 40-32,*,,0,0,0.5,8,4
45,2015,2015-09-27,3,25.199,NWE,,JAX,W 51-17,*,,0,0,0.0,1,0
46,2015,2015-10-11,4,25.213,NWE,@,DAL,W 30-6,*,,0,0,1.0,4,0
47,2015,2015-10-25,6,25.227,NWE,,NYJ,W 30-23,*,,0,0,0.0,10,0
48,2015,2015-10-29,7,25.231,NWE,,MIA,W 36-7,*,,0,0,1.0,3,0
49,2015,2015-11-08,8,25.241,NWE,,WAS,W 27-10,*,,0,0,0.0,1,0
50,2015,2015-11-15,9,25.248,NWE,@,NYG,W 27-26,*,,0,0,0.0,8,1
51,2015,2015-11-23,10,25.256,NWE,,BUF,W 20-13,*,,0,0,0.0,4,0
52,2015,2015-11-29,11,25.262,NWE,@,DEN,L 24-30,*,,0,0,0.0,2,1
53,2015,2015-12-20,14,25.283,NWE,,TEN,W 33-16,*,,0,0,0.0,0,1
54,2015,2015-12-27,15,25.290,NWE,@,NYJ,L 20-26,*,,0,0,0.0,4,1
55,2016,2016-09-11,1,26.183,NWE,@,ARI,W 23-21,*,,0,0,0.0,1,0
56,2016,2016-10-02,4,26.204,NWE,,BUF,L 0-16,*,,0,0,0.0,3,5
57,2016,2016-10-09,5,26.211,NWE,@,CLE,W 33-13,*,,0,0,0.0,0,1
58,2016,2016-10-16,6,26.218,NWE,,CIN,W 35-17,*,1,0,2,1.5,3,10
59,2016,2016-10-23,7,26.225,NWE,@,PIT,W 27-16,*,,0,0,0.0,3,1
60,2016,2016-10-30,8,26.232,NWE,@,BUF,W 41-25,*,,0,0,0.0,4,2
61,2016,2016-11-13,9,26.246,NWE,,SEA,L 24-31,*,,0,0,0.0,6,4
62,2016,2016-11-20,10,26.253,NWE,@,SFO,W 30-17,*,,0,0,1.0,5,1
63,2016,2016-11-27,11,26.260,NWE,@,NYJ,W 22-17,*,,0,0,0.0,2,1
64,2016,2016-12-04,12,26.267,NWE,,LAR,W 26-10,*,,0,0,0.0,1,1
65,2016,2016-12-12,13,26.275,NWE,,BAL,W 30-23,*,,0,0,0.0,1,6
66,2016,2016-12-18,14,26.281,NWE,@,DEN,W 16-3,*,,0,0,0.0,1,2
67,2016,2017-01-01,16,26.295,NWE,@,MIA,W 35-14,*,,0,0,0.0,1,0
68,2017,2017-09-07,1,27.179,NWE,,KAN,L 27-42,*,,0,0,0.0,1,1
69,2017,2017-10-01,4,27.203,NWE,,CAR,L 30-33,*,,0,0,1.0,2,0
70,2017,2017-10-05,5,27.207,NWE,@,TAM,W 19-14,*,,0,0,0.0,2,0
71,2017,2017-10-15,6,27.217,NWE,@,NYJ,W 24-17,*,,0,0,1.0,6,1
72,2017,2017-10-22,7,27.224,NWE,,ATL,W 23-7,*,,0,0,0.0,1,0
73,2018,2018-09-09,1,28.181,NWE,,HOU,W 27-20,*,,0,0,0.0,0,2
74,2018,2018-09-16,2,28.188,NWE,@,JAX,L 20-31,*,,0,0,0.0,3,1
75,2018,2018-09-23,3,28.195,NWE,@,DET,L 10-26,*,,0,0,0.0,3,2
