ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring
1,2015,2015-09-13,1,21.115,CAR,@,JAX,W 20-9,,2,1,9,9.00,0,50.0%,4.50,,0,0
2,2015,2015-09-20,2,21.122,CAR,,HOU,W 24-17,,4,1,15,15.00,0,25.0%,3.75,,0,0
3,2015,2015-09-27,3,21.129,CAR,,NOR,W 27-22,,4,1,14,14.00,0,25.0%,3.50,,0,0
4,2015,2015-10-04,4,21.136,CAR,@,TAM,W 37-23,,2,0,0,,0,0.0%,0.00,,0,0
5,2015,2015-10-18,5,21.150,CAR,@,SEA,W 27-23,,6,2,24,12.00,0,33.3%,4.00,,0,0
6,2015,2015-10-25,6,21.157,CAR,,PHI,W 27-16,,2,1,20,20.00,0,50.0%,10.00,,0,0
7,2015,2015-11-02,7,21.165,CAR,,IND,W 29-26,,1,1,8,8.00,0,100.0%,8.00,,0,0
8,2015,2015-11-08,8,21.171,CAR,,GNB,W 37-29,,4,3,71,23.67,1,75.0%,17.75,,1,6
9,2015,2015-11-15,9,21.178,CAR,@,TEN,W 27-10,,2,2,41,20.50,0,100.0%,20.50,,0,0
10,2015,2015-11-22,10,21.185,CAR,,WAS,W 44-16,*,8,4,64,16.00,1,50.0%,8.00,,1,6
11,2015,2015-11-26,11,21.189,CAR,@,DAL,W 33-14,*,4,2,19,9.50,0,50.0%,4.75,,0,0
12,2015,2015-12-06,12,21.199,CAR,@,NOR,W 41-38,*,3,1,13,13.00,1,33.3%,4.33,,1,6
13,2015,2015-12-13,13,21.206,CAR,,ATL,W 38-0,,5,3,25,8.33,0,60.0%,5.00,,0,0
14,2015,2015-12-20,14,21.213,CAR,@,NYG,W 38-35,*,7,2,30,15.00,1,28.6%,4.29,,1,6
15,2015,2015-12-27,15,21.220,CAR,@,ATL,L 13-20,,1,0,0,,0,0.0%,0.00,,0,0
16,2015,2016-01-03,16,21.227,CAR,,TAM,W 38-10,*,8,7,120,17.14,1,87.5%,15.00,,1,6
17,2016,2016-09-08,1,22.110,CAR,@,DEN,L 20-21,*,4,1,9,9.00,0,25.0%,2.25,,0,0
18,2016,2016-09-18,2,22.120,CAR,,SFO,W 46-27,*,4,2,19,9.50,1,50.0%,4.75,,1,6
19,2016,2016-09-25,3,22.127,CAR,,MIN,L 10-22,,2,0,0,,0,0.0%,0.00,,0,0
20,2016,2016-10-02,4,22.134,CAR,@,ATL,L 33-48,,3,2,56,28.00,0,66.7%,18.67,,0,0
21,2016,2016-10-10,5,22.142,CAR,,TAM,L 14-17,,0,0,0,,0,0.0%,,,0,0
22,2016,2016-10-16,6,22.148,CAR,@,NOR,L 38-41,*,6,2,28,14.00,1,33.3%,4.67,1,1,8
23,2016,2016-10-30,7,22.162,CAR,,ARI,W 30-20,,4,3,38,12.67,0,75.0%,9.50,,0,0
24,2016,2016-11-06,8,22.169,CAR,@,LAR,W 13-10,*,5,1,28,28.00,0,20.0%,5.60,,0,0
25,2016,2016-11-13,9,22.176,CAR,,KAN,L 17-20,,4,3,56,18.67,1,75.0%,14.00,,1,6
26,2016,2016-11-17,10,22.180,CAR,,NOR,W 23-20,*,7,2,32,16.00,0,28.6%,4.57,,0,0
27,2016,2016-11-27,11,22.190,CAR,@,OAK,L 32-35,,2,2,19,9.50,0,100.0%,9.50,,0,0
28,2016,2016-12-04,12,22.197,CAR,@,SEA,L 7-40,*,4,2,44,22.00,0,50.0%,11.00,,0,0
29,2016,2016-12-11,13,22.204,CAR,,SDG,W 28-16,*,5,2,33,16.50,1,40.0%,6.60,,1,6
30,2016,2016-12-19,14,22.212,CAR,@,WAS,W 26-15,,3,0,0,,0,0.0%,0.00,,0,0
31,2016,2016-12-24,15,22.217,CAR,,ATL,L 16-33,,5,1,9,9.00,0,20.0%,1.80,,0,0
32,2017,2017-09-10,1,23.112,CAR,@,SFO,W 23-3,*,2,2,20,10.00,0,100.0%,10.00,,0,0
