ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2014,2014-09-07,1,23.223,PIT,,CLE,W 30-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,262,43.67,0
2,2014,2014-09-11,2,23.227,PIT,@,BAL,L 6-26,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,1,0,4,183,45.75,0
3,2014,2014-09-21,3,23.237,PIT,@,CAR,W 37-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,138,46.00,0
4,2014,2014-09-28,4,23.244,PIT,,TAM,L 24-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,148,37.00,0
5,2014,2014-10-05,5,23.251,PIT,@,JAX,W 17-9,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,227,45.40,0
6,2014,2014-10-12,6,23.258,PIT,@,CLE,L 10-31,,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0.0,0,0,7,322,46.00,0
7,2014,2014-10-20,7,23.266,PIT,,HOU,W 30-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,176,44.00,0
8,2014,2014-10-26,8,23.272,PIT,,IND,W 51-34,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,89,44.50,0
9,2014,2014-11-02,9,23.279,PIT,,BAL,W 43-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,251,41.83,0
10,2014,2014-11-09,10,23.286,PIT,@,NYJ,L 13-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,92,46.00,0
11,2014,2014-11-17,11,23.294,PIT,@,TEN,W 27-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,81,40.50,0
12,2014,2014-11-30,12,23.307,PIT,,NOR,L 32-35,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,75,37.50,0
13,2014,2014-12-07,13,23.314,PIT,@,CIN,W 42-21,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,285,47.50,0
14,2014,2014-12-14,14,23.321,PIT,@,ATL,W 27-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,129,43.00,0
15,2014,2014-12-21,15,23.328,PIT,,KAN,W 20-12,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,90,45.00,0
16,2014,2014-12-28,16,23.335,PIT,,CIN,W 27-17,,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0.0,0,0,3,119,39.67,0
17,2015,2015-09-13,1,24.229,NYG,@,DAL,L 26-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,179,44.75,0
18,2015,2015-09-20,2,24.236,NYG,,ATL,L 20-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,164,41.00,0
19,2015,2015-09-24,3,24.240,NYG,,WAS,W 32-21,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,171,42.75,0
20,2015,2015-10-04,4,24.250,NYG,@,BUF,W 24-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,8,355,44.38,0
21,2015,2015-10-11,5,24.257,NYG,,SFO,W 30-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,90,45.00,0
22,2015,2015-10-19,6,24.265,NYG,@,PHI,L 7-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,8,339,42.38,0
23,2015,2015-10-25,7,24.271,NYG,,DAL,W 27-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,235,47.00,0
24,2015,2015-11-01,8,24.278,NYG,@,NOR,L 49-52,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,212,53.00,0
25,2015,2015-11-08,9,24.285,NYG,@,TAM,W 32-18,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,1,64,64.00,0
26,2015,2015-11-15,10,24.292,NYG,,NWE,L 26-27,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,164,41.00,0
27,2015,2015-11-29,11,24.306,NYG,@,WAS,L 14-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,7,353,50.43,0
28,2015,2015-12-06,12,24.313,NYG,,NYJ,L 20-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,211,42.20,0
29,2015,2015-12-14,13,24.321,NYG,@,MIA,W 31-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,180,45.00,0
30,2015,2015-12-20,14,24.327,NYG,,CAR,L 35-38,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,7,315,45.00,0
31,2015,2015-12-27,15,24.334,NYG,@,MIN,L 17-49,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,241,40.17,0
32,2015,2016-01-03,16,24.341,NYG,,PHI,L 30-35,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,107,35.67,0
33,2016,2016-09-11,1,25.228,NYG,@,DAL,W 20-19,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,5,257,51.40,0
34,2016,2016-09-18,2,25.235,NYG,,NOR,W 16-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,2,116,58.00,0
35,2016,2016-09-25,3,25.242,NYG,,WAS,L 27-29,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,3,142,47.33,0
36,2016,2016-10-03,4,25.250,NYG,@,MIN,L 10-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,280,46.67,0
37,2016,2016-10-09,5,25.256,NYG,@,GNB,L 16-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,235,39.17,0
38,2016,2016-10-16,6,25.263,NYG,,BAL,W 27-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,205,51.25,0
39,2016,2016-10-23,7,25.270,NYG,@,LAR,W 17-10,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,8,398,49.75,0
40,2016,2016-11-06,8,25.284,NYG,,PHI,W 28-23,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,7,322,46.00,0
41,2016,2016-11-14,9,25.292,NYG,,CIN,W 21-20,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,276,46.00,0
42,2016,2016-11-20,10,25.298,NYG,,CHI,W 22-16,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,6,267,44.50,0
43,2016,2016-11-27,11,25.305,NYG,@,CLE,W 27-13,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,9,427,47.44,0
44,2016,2016-12-04,12,25.312,NYG,@,PIT,L 14-24,,0,0,,0,0,0,,0,0,0,,0,0,,,0.0,0,0,4,177,44.25,0
