ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1978,1978-09-03,1,24.185,PHI,,RAM,L 14-16,0,0,,0,0,0,,0,0,0,,0,0,,,3,9,3.00,0,0,0,0,0,0
2,1978,1978-09-10,2,24.192,PHI,@,WAS,L 30-35,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,0
3,1978,1978-09-17,3,24.199,PHI,@,NOR,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0,0,0
4,1978,1978-09-24,4,24.206,PHI,,MIA,W 17-3,1,1,1.00,0,0,0,,0,0,0,,0,0,,,2,10,5.00,0,0,0,0,0,0
5,1978,1978-10-01,5,24.213,PHI,@,BAL,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,,,2,22,11.00,0,0,0,1,21,0
6,1978,1978-10-08,6,24.220,PHI,@,NWE,L 14-24,1,1,1.00,1,0,0,,0,0,0,,0,0,,,2,16,8.00,0,1,6,0,0,0
7,1978,1978-10-15,7,24.227,PHI,,WAS,W 17-10,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,2,2.00,0,0,0,0,0,0
8,1978,1978-10-22,8,24.234,PHI,@,DAL,L 7-14,1,4,4.00,0,0,0,,0,0,0,,0,0,,,3,5,1.67,0,0,0,0,0,0
9,1978,1978-10-29,9,24.241,PHI,,STL,L 10-16,1,2,2.00,0,0,0,,0,0,0,,0,0,,,2,9,4.50,0,0,0,0,0,0
10,1978,1978-11-05,10,24.248,PHI,,GNB,W 10-3,2,-2,-1.00,1,0,0,,0,0,0,,0,0,,,1,11,11.00,0,1,6,0,0,0
11,1978,1978-11-12,11,24.255,PHI,,NYJ,W 17-9,0,0,,0,0,0,,0,0,0,,0,0,,,3,14,4.67,0,0,0,0,0,0
12,1978,1978-11-19,12,24.262,PHI,@,NYG,W 19-17,0,0,,0,0,0,,0,0,0,,0,0,,,2,14,7.00,0,0,0,0,0,0
13,1978,1978-11-26,13,24.269,PHI,@,STL,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,,,4,64,16.00,0,0,0,0,0,0
14,1978,1978-12-03,14,24.276,PHI,@,MIN,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,,,4,31,7.75,0,0,0,0,0,0
15,1978,1978-12-10,15,24.283,PHI,,DAL,L 13-31,1,4,4.00,0,0,0,,0,0,0,,0,0,,,3,19,6.33,0,0,0,0,0,0
16,1978,1978-12-17,16,24.290,PHI,,NYG,W 20-3,0,0,,0,0,0,,0,0,0,,0,0,,,4,25,6.25,0,0,0,0,0,0
17,1979,1979-09-02,1,25.184,PHI,,NYG,W 23-17,,,,,,,,,,,,,,,,,,,,,,,,
18,1979,1979-09-10,2,25.192,PHI,,ATL,L 10-14,,,,,,,,,,,,,,,,,,,,,,,,
19,1979,1979-09-16,3,25.198,PHI,@,NOR,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,34,0
20,1979,1979-09-23,4,25.205,PHI,@,NYG,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,13,0
21,1979,1979-09-30,5,25.212,PHI,,PIT,W 17-14,,,,,,,,,,,,,,,,,,,,,,,,
22,1979,1979-10-07,6,25.219,PHI,,WAS,W 28-17,,,,,,,,,,,,,,,,,,,,,,,,
23,1979,1979-10-14,7,25.226,PHI,@,STL,W 24-20,,,,,,,,,,,,,,,,,,,,,,,,
24,1979,1979-10-21,8,25.233,PHI,@,WAS,L 7-17,,,,,,,,,,,,,,,,,,,,,,,,
