ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,22.059,DEN,@,CIN,W 12-7,,8,19,2.38,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2009,2009-09-20,2,22.066,DEN,,CLE,W 27-6,,17,75,4.41,0,2,2,22,11.00,0,100.0%,11.00,0,0,0.0,0,0
3,2009,2009-09-27,3,22.073,DEN,@,OAK,W 23-3,,21,90,4.29,1,0,0,0,,0,0.0%,,1,6,0.0,0,0
4,2009,2009-10-04,4,22.080,DEN,,DAL,W 17-10,,14,65,4.64,0,2,2,11,5.50,1,100.0%,5.50,1,6,0.0,0,0
5,2009,2009-10-11,5,22.087,DEN,,NWE,W 20-17,*,21,88,4.19,0,5,4,36,9.00,0,80.0%,7.20,0,0,0.0,0,0
6,2009,2009-10-19,6,22.095,DEN,@,SDG,W 34-23,*,18,44,2.44,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0,0.0,0,0
7,2009,2009-11-01,7,22.108,DEN,@,BAL,L 7-30,*,10,39,3.90,1,2,2,-4,-2.00,0,100.0%,-2.00,1,6,0.0,0,0
8,2009,2009-11-09,8,22.116,DEN,,PIT,L 10-28,,5,3,0.60,0,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0
9,2009,2009-11-15,9,22.122,DEN,@,WAS,L 17-27,*,18,97,5.39,0,5,2,7,3.50,0,40.0%,1.40,0,0,0.0,0,0
10,2009,2009-11-22,10,22.129,DEN,,SDG,L 3-32,*,10,80,8.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,0.0,0,0
11,2009,2009-11-26,11,22.133,DEN,,NYG,W 26-6,*,19,88,4.63,1,3,2,19,9.50,0,66.7%,6.33,1,6,0.0,0,0
12,2009,2009-12-06,12,22.143,DEN,@,KAN,W 44-13,*,21,86,4.10,2,0,0,0,,0,0.0%,,2,12,0.0,0,0
13,2009,2009-12-13,13,22.150,DEN,@,IND,L 16-28,*,23,63,2.74,0,4,3,13,4.33,0,75.0%,3.25,0,0,0.0,1,0
14,2009,2009-12-20,14,22.157,DEN,,OAK,L 19-20,*,19,42,2.21,0,7,3,39,13.00,0,42.9%,5.57,0,0,0.0,0,0
15,2009,2009-12-27,15,22.164,DEN,@,PHI,L 27-30,,9,18,2.00,0,3,3,17,5.67,1,100.0%,5.67,1,6,0.0,0,0
16,2009,2010-01-03,16,22.171,DEN,,KAN,L 24-44,,14,50,3.57,2,3,3,48,16.00,0,100.0%,16.00,2,12,0.0,0,0
17,2010,2010-09-12,1,23.058,DEN,@,JAX,L 17-24,*,15,60,4.00,1,2,1,4,4.00,0,50.0%,2.00,1,6,0.0,0,0
18,2010,2010-09-19,2,23.065,DEN,,SEA,W 31-14,*,24,51,2.13,1,4,4,67,16.75,0,100.0%,16.75,1,6,0.0,0,0
19,2010,2010-10-17,6,23.093,DEN,,NYJ,L 20-24,*,12,48,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
20,2010,2010-10-24,7,23.100,DEN,,OAK,L 14-59,*,14,53,3.79,0,6,3,37,12.33,2,50.0%,6.17,2,12,0.0,0,0
21,2010,2010-10-31,8,23.107,DEN,@,SFO,L 16-24,*,11,40,3.64,0,4,4,19,4.75,0,100.0%,4.75,0,0,0.0,0,0
22,2010,2010-11-14,9,23.121,DEN,,KAN,W 49-29,*,22,106,4.82,0,3,3,50,16.67,1,100.0%,16.67,1,6,0.0,0,0
23,2010,2010-11-22,10,23.129,DEN,@,SDG,L 14-35,*,13,58,4.46,1,7,7,62,8.86,0,100.0%,8.86,1,6,0.0,0,0
24,2010,2010-11-28,11,23.135,DEN,,STL,L 33-36,*,12,56,4.67,1,9,6,62,10.33,0,66.7%,6.89,1,6,0.0,0,0
25,2010,2010-12-05,12,23.142,DEN,@,KAN,L 6-10,*,23,161,7.00,0,3,1,14,14.00,0,33.3%,4.67,0,0,0.0,0,0
26,2010,2010-12-12,13,23.149,DEN,@,ARI,L 13-43,*,19,81,4.26,1,7,5,32,6.40,0,71.4%,4.57,1,6,0.0,1,0
27,2010,2010-12-19,14,23.156,DEN,@,OAK,L 23-39,*,4,5,1.25,0,1,1,1,1.00,0,100.0%,1.00,0,0,0.0,0,0
28,2010,2010-12-26,15,23.163,DEN,,HOU,W 24-23,*,7,19,2.71,0,1,1,22,22.00,0,100.0%,22.00,0,0,0.0,0,0
29,2010,2011-01-02,16,23.170,DEN,,SDG,L 28-33,*,6,41,6.83,0,1,1,2,2.00,0,100.0%,2.00,0,0,0.0,0,0
30,2011,2011-09-12,1,24.058,DEN,,OAK,L 20-23,*,8,22,2.75,0,3,2,35,17.50,0,66.7%,11.67,0,0,0.0,0,0
31,2011,2011-09-25,3,24.071,DEN,@,TEN,L 14-17,,,,,,,,,,,0.0%,,,,,,
