ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1997,1997-08-31,1,25.330,PHI,@,NYG,L 17-31,,3,3,34,11.33,0,100.0%,11.33,0,0,,0,0,0
2,1997,1997-09-07,2,25.337,PHI,,GNB,W 10-9,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
3,1997,1997-09-15,3,25.345,PHI,@,DAL,L 20-21,,2,2,19,9.50,1,100.0%,9.50,0,0,,0,1,6
4,1997,1997-09-28,4,25.358,PHI,@,MIN,L 19-28,,3,0,0,,0,0.0%,0.00,0,0,,0,,
5,1997,1997-10-05,5,26.000,PHI,,WAS,W 24-10,,,0,0,,0,0.0%,,0,0,,0,,
6,1997,1997-10-12,6,26.007,PHI,@,JAX,L 21-38,,0,0,0,,0,0.0%,,0,0,,0,,
7,1997,1997-10-19,7,26.014,PHI,,ARI,W 13-10,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
8,1997,1997-10-26,8,26.021,PHI,,DAL,W 13-12,,1,1,8,8.00,1,100.0%,8.00,0,0,,0,1,6
9,1997,1997-11-02,9,26.028,PHI,@,ARI,L 21-31,,0,0,0,,0,0.0%,,0,0,,0,,
10,1997,1997-11-10,10,26.036,PHI,,SFO,L 12-24,,2,2,12,6.00,1,100.0%,6.00,1,11,11.00,0,1,6
11,1997,1997-11-16,11,26.042,PHI,@,BAL,T 10-10,,1,0,0,,0,0.0%,0.00,0,0,,0,,
12,1997,1997-11-23,12,26.049,PHI,,PIT,W 23-20,,,0,0,,0,0.0%,,0,0,,0,,
13,1997,1997-11-30,13,26.056,PHI,,CIN,W 44-42,,1,1,2,2.00,1,100.0%,2.00,0,0,,0,1,6
14,1997,1997-12-07,14,26.063,PHI,,NYG,L 21-31,,1,0,0,,0,0.0%,0.00,0,0,,0,,
15,1997,1997-12-14,15,26.070,PHI,@,ATL,L 17-20,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0
16,1997,1997-12-21,16,26.077,PHI,@,WAS,L 32-35,,2,0,0,,0,0.0%,0.00,0,0,,0,,
17,1998,1998-09-06,1,26.336,PHI,,SEA,L 0-38,,,,,,,0.0%,,,,,,,
18,1998,1998-09-13,2,26.343,PHI,@,ATL,L 12-17,,,,,,,0.0%,,,,,,,
19,1999,1999-09-12,1,27.342,STL,,BAL,W 27-10,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
20,1999,1999-09-26,2,27.356,STL,,ATL,W 35-7,,,,,,,0.0%,,,,,,,
21,1999,1999-10-03,3,27.363,STL,@,CIN,W 38-10,,0,,,,,0.0%,,,,,,,
22,1999,1999-10-10,4,28.005,STL,,SFO,W 42-20,,0,,,,,0.0%,,,,,,,
23,1999,1999-10-17,5,28.012,STL,@,ATL,W 41-13,,,,,,,0.0%,,,,,,,
24,1999,1999-10-24,6,28.019,STL,,CLE,W 34-3,,,,,,,0.0%,,,,,,,
25,1999,1999-11-21,11,28.047,PHI,,IND,L 17-44,,3,2,16,8.00,1,66.7%,5.33,0,0,,0,1,6
26,1999,1999-11-28,12,28.054,PHI,@,WAS,L 17-20,*,2,,,,,0.0%,,,,,,,
27,1999,1999-12-05,13,28.061,PHI,@,ARI,L 17-21,*,1,1,11,11.00,1,100.0%,11.00,0,0,,0,1,6
28,1999,1999-12-12,14,28.068,PHI,@,DAL,L 10-20,*,4,1,19,19.00,0,25.0%,4.75,0,0,,0,0,0
29,1999,1999-12-19,15,28.075,PHI,,NWE,W 24-9,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0
30,1999,2000-01-02,16,28.089,PHI,,STL,W 38-31,,4,2,26,13.00,1,50.0%,6.50,0,0,,0,1,6
31,2000,2000-09-03,1,28.334,PHI,@,DAL,W 41-14,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0
32,2000,2000-09-10,2,28.341,PHI,,NYG,L 18-33,*,4,4,67,16.75,1,100.0%,16.75,0,0,,0,1,6
33,2000,2000-09-17,3,28.348,PHI,@,GNB,L 3-6,,4,,,,,0.0%,,,,,,,
34,2000,2000-09-24,4,28.355,PHI,@,NOR,W 21-7,*,6,5,43,8.60,1,83.3%,7.17,0,0,,0,1,6
35,2000,2000-10-01,5,28.362,PHI,,ATL,W 38-10,*,10,7,52,7.43,0,70.0%,5.20,0,0,,0,0,0
36,2000,2000-10-08,6,29.003,PHI,,WAS,L 14-17,*,7,5,77,15.40,0,71.4%,11.00,0,0,,0,0,0
37,2000,2000-10-15,7,29.010,PHI,@,ARI,W 33-14,*,8,7,62,8.86,1,87.5%,7.75,0,0,,0,1,6
38,2000,2000-10-22,8,29.017,PHI,,CHI,W 13-9,*,5,2,12,6.00,0,40.0%,2.40,0,0,,0,0,0
39,2000,2000-10-29,9,29.024,PHI,@,NYG,L 7-24,*,7,1,26,26.00,0,14.3%,3.71,0,0,,0,0,0
40,2000,2000-11-05,10,29.031,PHI,,DAL,W 16-13,*,5,3,23,7.67,0,60.0%,4.60,0,0,,0,0,0
41,2000,2000-11-12,11,29.038,PHI,@,PIT,W 26-23,,12,5,41,8.20,0,41.7%,3.42,0,0,,0,0,0
42,2000,2000-11-19,12,29.045,PHI,,ARI,W 34-9,,5,5,52,10.40,0,100.0%,10.40,0,0,,0,0,0
43,2000,2000-11-26,13,29.052,PHI,@,WAS,W 23-20,,11,6,53,8.83,0,54.5%,4.82,0,0,,0,0,0
44,2000,2000-12-03,14,29.059,PHI,,TEN,L 13-15,,7,4,55,13.75,0,57.1%,7.86,0,0,,0,0,0
45,2000,2000-12-10,15,29.066,PHI,@,CLE,W 35-24,*,6,5,100,20.00,0,83.3%,16.67,0,0,,0,0,0
46,2000,2000-12-24,16,29.080,PHI,,CIN,W 16-7,,11,9,66,7.33,0,81.8%,6.00,0,0,,0,0,0
47,2001,2001-09-09,1,29.339,PHI,,STL,L 17-20,*,8,5,45,9.00,0,62.5%,5.63,0,0,,0,0,0
48,2001,2001-09-23,2,29.353,PHI,@,SEA,W 27-3,*,5,3,13,4.33,0,60.0%,2.60,0,0,,0,0,0
49,2001,2001-09-30,3,29.360,PHI,,DAL,W 40-18,*,4,4,43,10.75,2,100.0%,10.75,0,0,,0,2,12
50,2001,2001-10-07,4,30.002,PHI,,ARI,L 20-21,*,5,4,38,9.50,0,80.0%,7.60,0,-10,,0,0,0
51,2001,2001-10-22,5,30.017,PHI,@,NYG,W 10-9,*,3,1,15,15.00,0,33.3%,5.00,0,0,,0,0,0
52,2001,2001-10-28,6,30.023,PHI,,OAK,L 10-20,*,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0
53,2001,2001-11-04,7,30.030,PHI,@,ARI,W 21-7,*,6,4,57,14.25,0,66.7%,9.50,0,0,,0,0,0
54,2001,2001-11-11,8,30.037,PHI,,MIN,W 48-17,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0
55,2001,2001-11-18,9,30.044,PHI,@,DAL,W 36-3,*,6,3,18,6.00,1,50.0%,3.00,0,0,,0,1,6
56,2001,2001-11-25,10,30.051,PHI,,WAS,L 3-13,*,3,,,,,0.0%,,,,,,,
57,2001,2001-11-29,11,30.055,PHI,@,KAN,W 23-10,*,2,1,27,27.00,0,50.0%,13.50,0,0,,0,0,0
58,2001,2001-12-09,12,30.065,PHI,,SDG,W 24-14,*,7,4,27,6.75,1,57.1%,3.86,0,0,,0,1,6
59,2001,2001-12-16,13,30.072,PHI,@,WAS,W 20-6,*,3,1,25,25.00,0,33.3%,8.33,0,0,,0,0,0
60,2001,2001-12-22,14,30.078,PHI,@,SFO,L 3-13,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0
61,2001,2001-12-30,15,30.086,PHI,,NYG,W 24-21,*,8,7,74,10.57,2,87.5%,9.25,0,0,,0,2,12
62,2002,2002-09-08,1,30.338,PHI,@,TEN,L 24-27,*,7,3,28,9.33,1,42.9%,4.00,0,0,,0,1,6
63,2002,2002-09-16,2,30.346,PHI,@,WAS,W 37-7,*,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0
64,2002,2002-09-22,3,30.352,PHI,,DAL,W 44-13,*,6,3,21,7.00,0,50.0%,3.50,0,0,,0,0,0
65,2002,2002-09-29,4,30.359,PHI,,HOU,W 35-17,*,10,5,31,6.20,0,50.0%,3.10,0,0,,0,0,0
66,2002,2002-10-06,5,31.001,PHI,@,JAX,L 25-28,*,8,6,47,7.83,1,75.0%,5.88,0,0,,0,1,6
67,2002,2002-10-20,6,31.015,PHI,,TAM,W 20-10,*,2,,,,,0.0%,,,,,,,
68,2002,2002-10-28,7,31.023,PHI,,NYG,W 17-3,*,1,,,,,0.0%,,,,,,,
69,2002,2002-11-03,8,31.029,PHI,@,CHI,W 19-13,*,3,3,23,7.67,0,100.0%,7.67,0,0,,0,0,0
70,2002,2002-11-10,9,31.036,PHI,,IND,L 13-35,*,4,4,36,9.00,0,100.0%,9.00,0,0,,0,0,0
71,2002,2002-11-17,10,31.043,PHI,,ARI,W 38-14,*,,,,,,0.0%,,,,,,,
72,2002,2002-11-25,11,31.051,PHI,@,SFO,W 38-17,*,7,5,41,8.20,1,71.4%,5.86,0,0,,0,1,6
73,2002,2002-12-01,12,31.057,PHI,,STL,W 10-3,*,3,3,44,14.67,0,100.0%,14.67,0,0,,0,0,0
74,2002,2002-12-08,13,31.064,PHI,@,SEA,W 27-20,*,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0
75,2002,2002-12-15,14,31.071,PHI,,WAS,W 34-21,*,3,2,44,22.00,0,66.7%,14.67,0,0,,0,0,0
76,2002,2002-12-21,15,31.077,PHI,@,DAL,W 27-3,*,3,3,34,11.33,0,100.0%,11.33,0,0,,0,0,0
77,2002,2002-12-28,16,31.084,PHI,@,NYG,L 7-10,*,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0
78,2003,2003-09-08,1,31.338,PHI,,TAM,L 0-17,*,4,3,22,7.33,0,75.0%,5.50,0,0,,0,0,0
79,2003,2003-09-14,2,31.344,PHI,,NWE,L 10-31,*,10,3,36,12.00,0,30.0%,3.60,0,0,,0,0,0
80,2003,2003-09-28,3,31.358,PHI,@,BUF,W 23-13,*,,,,,,0.0%,,,,,,,
81,2003,2003-10-05,4,32.000,PHI,,WAS,W 27-25,*,0,,,,,0.0%,,,,,,,
82,2003,2003-10-12,5,32.007,PHI,@,DAL,L 21-23,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
83,2003,2003-10-19,6,32.014,PHI,@,NYG,W 14-10,*,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0
84,2003,2003-10-26,7,32.021,PHI,,NYJ,W 24-17,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
85,2003,2003-11-02,8,32.028,PHI,@,ATL,W 23-16,*,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0
86,2003,2003-11-10,9,32.036,PHI,@,GNB,W 17-14,*,6,2,33,16.50,0,33.3%,5.50,0,0,,0,0,0
87,2003,2003-11-16,10,32.042,PHI,,NYG,W 28-10,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0
88,2003,2003-11-23,11,32.049,PHI,,NOR,W 33-20,*,2,2,37,18.50,0,100.0%,18.50,0,0,,0,0,0
89,2003,2003-11-30,12,32.056,PHI,@,CAR,W 25-16,*,1,1,29,29.00,0,100.0%,29.00,0,0,,0,0,0
90,2003,2003-12-07,13,32.063,PHI,,DAL,W 36-10,*,2,1,28,28.00,0,50.0%,14.00,0,0,,0,0,0
91,2003,2003-12-15,14,32.071,PHI,@,MIA,W 34-27,*,3,2,31,15.50,0,66.7%,10.33,0,0,,0,0,0
92,2003,2003-12-21,15,32.077,PHI,,SFO,L 28-31,*,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0
93,2003,2003-12-27,16,32.083,PHI,@,WAS,W 31-7,,1,1,3,3.00,1,100.0%,3.00,0,0,,0,1,6
94,2004,2004-09-12,1,32.343,PHI,,NYG,W 31-17,*,8,6,58,9.67,0,75.0%,7.25,0,0,,0,0,0
95,2004,2004-09-20,2,32.351,PHI,,MIN,W 27-16,*,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0
96,2004,2004-09-26,3,32.357,PHI,@,DET,W 30-13,,8,3,19,6.33,0,37.5%,2.38,0,0,,0,0,0
97,2004,2004-10-03,4,32.364,PHI,@,CHI,W 19-9,*,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0
98,2004,2004-10-17,5,33.012,PHI,,CAR,W 30-8,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0
99,2004,2004-10-24,6,33.019,PHI,@,CLE,W 34-31,,6,5,37,7.40,1,83.3%,6.17,0,0,,0,1,6
100,2004,2004-10-31,7,33.026,PHI,,BAL,W 15-10,*,5,3,34,11.33,0,60.0%,6.80,0,0,,0,0,0
101,2004,2004-11-07,8,33.033,PHI,@,PIT,L 3-27,*,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0
102,2004,2004-11-15,9,33.041,PHI,@,DAL,W 49-21,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0
103,2004,2004-11-21,10,33.047,PHI,,WAS,W 28-6,*,2,2,17,8.50,1,100.0%,8.50,0,0,,0,1,6
104,2004,2004-11-28,11,33.054,PHI,@,NYG,W 27-6,,0,,,,,0.0%,,,,,,,
105,2004,2004-12-05,12,33.061,PHI,,GNB,W 47-17,,,,,,,0.0%,,,,,,,
106,2004,2004-12-12,13,33.068,PHI,@,WAS,W 17-14,,1,,,,,0.0%,,,,,,,
107,2004,2004-12-19,14,33.075,PHI,,DAL,W 12-7,*,3,2,20,10.00,1,66.7%,6.67,0,0,,0,1,6
108,2004,2004-12-27,15,33.083,PHI,@,STL,L 7-20,*,,,,,,0.0%,,,,,,,
109,2005,2005-11-14,9,34.040,PHI,,DAL,L 20-21,,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0
110,2005,2005-11-20,10,34.046,PHI,@,NYG,L 17-27,,,0,0,,0,0.0%,,0,0,,0,0,0
111,2005,2005-11-27,11,34.053,PHI,,GNB,W 19-14,,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0
112,2005,2005-12-05,12,34.061,PHI,,SEA,L 0-42,,0,0,0,,0,0.0%,,0,0,,0,0,0
113,2005,2005-12-11,13,34.067,PHI,,NYG,L 23-26,,,0,0,,0,0.0%,,0,0,,0,0,0
114,2005,2005-12-18,14,34.074,PHI,@,STL,W 17-16,,,0,0,,0,0.0%,,0,0,,0,0,0
115,2005,2005-12-24,15,34.080,PHI,@,ARI,L 21-27,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0
116,2005,2006-01-01,16,34.088,PHI,,WAS,L 20-31,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0
