ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1998,1998-09-06,1,26.338,SFO,,NYJ,W 36-30,,,,,
2,1998,1998-09-14,2,26.346,SFO,@,WAS,W 45-10,,,,,
3,1998,1998-09-27,3,26.359,SFO,,ATL,W 31-20,,,,,
4,1998,1998-10-04,4,27.001,SFO,@,BUF,L 21-26,,,,,
5,1998,1998-10-11,5,27.008,SFO,@,NOR,W 31-0,,,,,
6,1998,1998-10-18,6,27.015,SFO,,IND,W 34-31,,,,,
7,1998,1998-10-25,7,27.022,SFO,@,STL,W 28-10,,,,,
8,1998,1998-11-01,8,27.029,SFO,@,GNB,L 22-36,,,,,
9,1998,1998-11-08,9,27.036,SFO,,CAR,W 25-23,,,,,
10,1998,1998-11-15,10,27.043,SFO,@,ATL,L 19-31,,,,,
11,1998,1998-11-22,11,27.050,SFO,,NOR,W 31-20,,,,,
12,1998,1998-11-30,12,27.058,SFO,,NYG,W 31-7,,,,,
13,1998,1998-12-06,13,27.064,SFO,@,CAR,W 31-28,,,,,
14,1998,1998-12-14,14,27.072,SFO,,DET,W 35-13,,,,,
15,1998,1998-12-20,15,27.078,SFO,@,NWE,L 21-24,,,,,
16,1998,1998-12-27,16,27.085,SFO,,STL,W 38-19,,,,,
17,1999,1999-09-12,1,27.344,SFO,@,JAX,L 3-41,,,,,
18,1999,1999-09-19,2,27.351,SFO,,NOR,W 28-21,,,,,
19,1999,1999-09-27,3,27.359,SFO,@,ARI,W 24-10,,,,,
20,1999,1999-10-03,4,28.000,SFO,,TEN,W 24-22,,,,,
21,1999,1999-10-10,5,28.007,SFO,@,STL,L 20-42,,,,,
22,1999,1999-10-17,6,28.014,SFO,,CAR,L 29-31,,1,0,0.00,0
23,1999,1999-10-24,7,28.021,SFO,@,MIN,L 16-40,,,,,
24,1999,1999-11-07,8,28.035,SFO,,PIT,L 6-27,,,,,
25,1999,1999-11-14,9,28.042,SFO,@,NOR,L 6-24,,,,,
26,1999,1999-11-21,10,28.049,SFO,,STL,L 7-23,,,,,
27,1999,1999-11-29,11,28.057,SFO,,GNB,L 3-20,,,,,
28,1999,1999-12-05,12,28.063,SFO,@,CIN,L 30-44,,,,,
29,1999,1999-12-12,13,28.070,SFO,,ATL,W 26-7,,,,,
30,1999,1999-12-18,14,28.076,SFO,@,CAR,L 24-41,,,,,
31,1999,1999-12-26,15,28.084,SFO,,WAS,L 20-26,,,,,
32,1999,2000-01-03,16,28.092,SFO,@,ATL,L 29-34,,,,,
33,2000,2000-09-10,2,28.343,WAS,@,DET,L 10-15,,,,,
34,2000,2000-09-18,3,28.351,WAS,,DAL,L 21-27,,,,,
35,2000,2000-09-24,4,28.357,WAS,@,NYG,W 16-6,,,,,
36,2000,2000-10-01,5,28.364,WAS,,TAM,W 20-17,,,,,
37,2000,2000-10-08,6,29.005,WAS,@,PHI,W 17-14,,,,,
38,2000,2000-10-15,7,29.012,WAS,,BAL,W 10-3,,,,,
39,2000,2000-10-22,8,29.019,WAS,@,JAX,W 35-16,,,,,
40,2000,2000-10-30,9,29.027,WAS,,TEN,L 21-27,,,,,
41,2000,2000-11-05,10,29.033,WAS,@,ARI,L 15-16,,,,,
