ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1995,1995-09-03,1,22.198,ARI,@,WAS,L 7-27,,3,1,36,36.00,0,33.3%,12.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0
2,1995,1995-09-10,2,22.205,ARI,,PHI,L 19-31,,5,5,102,20.40,0,100.0%,20.40,0,0,,0,0,0,,0,0,0,,,0,,,0,0
3,1995,1995-09-17,3,22.212,ARI,@,DET,W 20-17,,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0
4,1995,1995-09-24,4,22.219,ARI,@,DAL,L 20-34,,7,4,74,18.50,0,57.1%,10.57,0,0,,0,0,0,,0,0,0,,,0,,,0,0
5,1995,1995-10-01,5,22.226,ARI,,KAN,L 3-24,,6,4,97,24.25,0,66.7%,16.17,0,0,,0,0,0,,0,0,0,,,0,,,0,0
6,1995,1995-10-08,6,22.233,ARI,@,NYG,L 21-27,,10,6,108,18.00,2,60.0%,10.80,0,0,,0,0,0,,0,0,0,,,0,,,2,12
7,1995,1995-10-15,7,22.240,ARI,,WAS,W 24-20,,7,4,48,12.00,0,57.1%,6.86,1,1,1.00,0,0,0,,0,0,0,,,0,,,0,0
8,1995,1995-10-29,8,22.254,ARI,,SEA,W 20-14,,6,1,9,9.00,0,16.7%,1.50,0,0,,0,0,0,,0,0,0,,,0,,,0,0
9,1995,1995-11-05,9,22.261,ARI,@,DEN,L 6-38,,7,2,17,8.50,0,28.6%,2.43,0,0,,0,0,0,,0,0,0,,,0,,,0,0
10,1995,1995-11-12,10,22.268,ARI,,MIN,L 24-30,,7,3,70,23.33,0,42.9%,10.00,0,0,,0,0,0,,0,0,0,,,0,,,0,0
11,1995,1995-11-19,11,22.275,ARI,@,CAR,L 7-27,,8,3,37,12.33,0,37.5%,4.63,0,0,,0,0,0,,0,0,0,,,0,,,0,0
12,1995,1995-11-26,12,22.282,ARI,,ATL,W 40-37,,9,4,94,23.50,0,44.4%,10.44,0,0,,0,0,0,,0,0,0,,,0,,,0,0
13,1995,1995-11-30,13,22.286,ARI,,NYG,L 6-10,,10,6,84,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,0,,,0,,,0,0
14,1995,1995-12-09,14,22.295,ARI,@,SDG,L 25-28,,6,1,25,25.00,0,16.7%,4.17,0,0,,0,0,0,,0,0,0,,,0,,,0,0
15,1995,1995-12-17,15,22.303,ARI,@,PHI,L 20-21,,15,7,70,10.00,0,46.7%,4.67,0,0,,0,0,0,,0,0,0,,,0,,,0,0
16,1995,1995-12-25,16,22.311,ARI,,DAL,L 13-37,,,,,,,0.0%,,,,,,,,,,,,,,,,,,
17,1996,1996-09-01,1,23.197,ARI,@,IND,L 13-20,,14,7,72,10.29,0,50.0%,5.14,0,0,,0,0,0,,0,0,0,,,0,,,0,0
18,1996,1996-09-08,2,23.204,ARI,,MIA,L 10-38,,10,8,81,10.13,0,80.0%,8.10,0,0,,0,0,0,,0,0,0,,,0,,,0,0
