ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1999,1999-09-19,2,26.131,TAM,@,PHI,W 19-5,,2,,,,,0.0%,,,,,,,,,
2,1999,1999-10-03,4,26.145,TAM,@,MIN,L 14-21,,1,0,0,,0,0.0%,0.00,2,58,29.00,0,0,0,,0
3,1999,1999-10-24,6,26.166,TAM,,CHI,W 6-3,,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0
4,1999,1999-10-31,7,26.173,TAM,@,DET,L 3-20,,5,4,28,7.00,0,80.0%,5.60,2,36,18.00,0,0,0,,0
5,1999,1999-11-07,8,26.180,TAM,@,NOR,W 31-16,,0,0,0,,0,0.0%,,4,113,28.25,0,0,0,,0
6,1999,1999-11-14,9,26.187,TAM,,KAN,W 17-10,,0,0,0,,0,0.0%,,3,50,16.67,0,0,0,,0
7,1999,1999-11-21,10,26.194,TAM,,ATL,W 19-10,,0,0,0,,0,0.0%,,2,29,14.50,0,0,0,,0
8,1999,1999-12-06,12,26.209,MIN,@,TAM,L 17-24,,0,0,0,,0,0.0%,,4,80,20.00,0,3,14,4.67,0
9,2001,2001-09-09,1,28.121,STL,@,PHI,W 20-17,,,,,,,0.0%,,,,,,,,,
10,2001,2001-09-23,2,28.135,STL,@,SFO,W 30-26,,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0
11,2001,2001-09-30,3,28.142,STL,,MIA,W 42-10,,,,,,,0.0%,,,,,,,,,
12,2001,2001-10-08,4,28.150,STL,@,DET,W 35-0,,,,,,,0.0%,,,,,,,,,
13,2001,2001-10-14,5,28.156,STL,,NYG,W 15-14,,,,,,,0.0%,,,,,,,,,
14,2001,2001-10-21,6,28.163,STL,@,NYJ,W 34-14,,,,,,,0.0%,,,,,,,,,
15,2001,2001-10-28,7,28.170,STL,,NOR,L 31-34,,,,,,,0.0%,,,,,,,,,
16,2001,2001-11-11,8,28.184,STL,,CAR,W 48-14,,,,,,,0.0%,,,,,,,,,
17,2001,2001-11-18,9,28.191,STL,@,NWE,W 24-17,,0,,,,,0.0%,,0,-1,,0,,,,
18,2001,2001-11-26,10,28.199,STL,,TAM,L 17-24,,0,,,,,0.0%,,,,,,,,,
19,2001,2001-12-02,11,28.205,STL,@,ATL,W 35-6,,0,,,,,0.0%,,,,,,,,,
20,2001,2001-12-09,12,28.212,STL,,SFO,W 27-14,,,,,,,0.0%,,,,,,,,,
21,2001,2001-12-17,13,28.220,STL,@,NOR,W 34-21,,0,,,,,0.0%,,,,,,,,,
22,2001,2001-12-23,14,28.226,STL,@,CAR,W 38-32,,,,,,,0.0%,,,,,,,,,
23,2001,2001-12-30,15,28.233,STL,,IND,W 42-17,,0,0,0,,0,0.0%,,4,83,20.75,0,0,0,,0
24,2001,2002-01-06,16,28.240,STL,,ATL,W 31-13,,0,0,0,,0,0.0%,,3,69,23.00,0,0,0,,0
25,2002,2002-09-08,1,29.120,STL,@,DEN,L 16-23,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0
26,2002,2002-09-15,2,29.127,STL,,NYG,L 21-26,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0
27,2002,2002-09-23,3,29.135,STL,@,TAM,L 14-26,,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0
28,2002,2002-09-29,4,29.141,STL,,DAL,L 10-13,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0
29,2002,2002-10-06,5,29.148,STL,@,SFO,L 13-37,,,,,,,0.0%,,,,,,,,,
30,2002,2002-10-13,6,29.155,STL,,OAK,W 28-13,,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0
31,2002,2002-10-20,7,29.162,STL,,SEA,W 37-20,,,,,,,0.0%,,,,,,,,,
32,2002,2002-11-03,8,29.176,STL,@,ARI,W 27-14,,,,,,,0.0%,,,,,,,,,
33,2002,2002-11-10,9,29.183,STL,,SDG,W 28-24,,,,,,,0.0%,,,,,,,,,
34,2002,2002-11-18,10,29.191,STL,,CHI,W 21-16,,,,,,,0.0%,,,,,,,,,
35,2002,2002-11-24,11,29.197,STL,@,WAS,L 17-20,,,,,,,0.0%,,,,,,,,,
