ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1960,1960-10-16,4,22.177,BAL,,RAM,W 31-17,3,0,0.00,0,1,25,25.00,0,0,0,,0,0,0,0
2,1960,1960-10-23,5,22.184,BAL,@,DET,L 17-30,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0
3,1960,1960-10-30,6,22.191,BAL,@,DAL,W 45-7,1,1,1.00,0,1,2,2.00,0,0,0,,0,0,0,0
4,1962,1962-10-28,8,24.189,NYT,,SDG,W 23-3,0,0,,0,0,0,,0,0,0,,0,1,21,0
5,1962,1962-11-04,9,24.196,NYT,,OAK,W 31-21,3,5,1.67,0,0,0,,0,0,0,,0,0,0,0
6,1962,1962-11-11,10,24.203,NYT,,DTX,L 31-52,0,0,,0,1,3,3.00,0,3,50,16.67,0,0,0,0
7,1962,1962-11-30,12,24.222,NYT,@,BOS,L 17-24,0,0,,0,0,0,,0,1,22,22.00,0,0,0,0
