ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1950,1950-09-29,3,21.331,DET,@,NYY,L 21-44,1,12,12.00,0,0,0,,0
2,1950,1950-10-08,4,21.340,DET,,SFO,W 24-7,1,37,37.00,0,0,0,,0
3,1950,1950-10-15,5,21.347,DET,,RAM,L 28-30,2,17,8.50,0,0,0,,0
4,1950,1950-10-22,6,21.354,DET,@,SFO,L 27-28,3,48,16.00,0,0,0,,0
5,1950,1950-10-29,7,21.361,DET,@,RAM,L 24-65,2,14,7.00,0,0,0,,0
6,1950,1950-11-05,8,22.003,DET,,CHI,L 21-35,9,154,17.11,1,0,0,,0
7,1950,1950-11-19,9,22.017,DET,,GNB,W 24-21,3,51,17.00,0,0,0,,0
8,1950,1950-11-23,10,22.021,DET,,NYY,W 49-14,5,46,9.20,0,0,0,,0
9,1950,1950-12-03,11,22.031,DET,@,BAL,W 45-21,2,53,26.50,0,0,0,,0
10,1950,1950-12-10,12,22.038,DET,@,CHI,L 3-6,3,71,23.67,0,0,0,,0
11,1951,1951-09-30,1,22.332,DET,,WAS,W 35-17,0,0,,0,1,-3,-3.00,0
12,1951,1951-10-14,3,22.346,DET,,RAM,L 21-27,1,0,0.00,0,0,0,,0
13,1951,1951-10-21,4,22.353,DET,,NYY,T 24-24,6,110,18.33,2,2,-6,-3.00,0
14,1951,1951-10-28,5,22.360,DET,,CHI,L 23-28,2,34,17.00,1,0,0,,0
15,1951,1951-11-04,6,23.002,DET,@,GNB,W 24-17,4,71,17.75,2,0,0,,0
16,1951,1951-11-11,7,23.009,DET,@,CHI,W 41-28,5,88,17.60,2,0,0,,0
17,1951,1951-11-18,8,23.016,DET,@,PHI,W 28-10,4,50,12.50,1,0,0,,0
18,1951,1951-11-22,9,23.020,DET,,GNB,W 52-35,5,87,17.40,2,1,3,3.00,0
19,1951,1951-12-02,10,23.030,DET,,SFO,L 10-20,2,21,10.50,0,0,0,,0
20,1951,1951-12-09,11,23.037,DET,@,RAM,W 24-22,1,22,22.00,1,0,0,,0
21,1951,1951-12-16,12,23.044,DET,@,SFO,L 17-21,5,61,12.20,1,0,0,,0
22,1952,1952-09-28,1,23.331,DET,@,SFO,L 3-17,2,23,11.50,0,0,0,,0
23,1952,1952-10-03,2,23.336,DET,@,RAM,W 17-14,3,30,10.00,0,1,0,0.00,0
24,1952,1952-10-19,4,23.352,DET,,RAM,W 24-16,5,73,14.60,0,0,0,,0
25,1952,1952-11-02,6,24.000,DET,,CLE,W 17-6,8,99,12.38,2,1,-1,-1.00,0
26,1952,1952-11-09,7,24.007,DET,@,PIT,W 31-6,1,9,9.00,0,1,11,11.00,0
27,1952,1952-11-23,9,24.021,DET,@,CHI,L 23-24,3,45,15.00,0,0,0,,0
28,1952,1952-11-27,10,24.025,DET,,GNB,W 48-24,5,48,9.60,2,0,0,,0
29,1952,1952-12-07,11,24.035,DET,,CHI,W 45-21,4,42,10.50,0,0,0,,0
