ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,22.332,CHI,@,IND,W 29-13,,,,,,,0.0%,,,,,,,,,,
2,2008,2008-09-14,2,22.339,CHI,@,CAR,L 17-20,,0,,,,,0.0%,,,,,,,,,,
3,2008,2008-09-21,3,22.346,CHI,,TAM,L 24-27,,,,,,,0.0%,,,,,,,,,,
4,2008,2008-09-28,4,22.353,CHI,,PHI,W 24-20,,,,,,,0.0%,,,,,,,,,,
5,2008,2008-10-05,5,22.360,CHI,@,DET,W 34-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
6,2008,2008-10-12,6,23.001,CHI,@,ATL,L 20-22,,,,,,,0.0%,,,,,,,,,,
7,2008,2008-10-19,7,23.008,CHI,,MIN,W 48-41,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
8,2008,2008-11-02,8,23.022,CHI,,DET,W 27-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
9,2008,2008-11-09,9,23.029,CHI,,TEN,L 14-21,,,,,,,0.0%,,,,,,,,,,
10,2008,2008-11-16,10,23.036,CHI,@,GNB,L 3-37,,,,,,,0.0%,,,,,,,,,,
11,2008,2008-11-23,11,23.043,CHI,@,STL,W 27-3,,,,,,,0.0%,,,,,,,,,,
12,2008,2008-11-30,12,23.050,CHI,@,MIN,L 14-34,,,,,,,0.0%,,,,,,,,,,
13,2008,2008-12-07,13,23.057,CHI,,JAX,W 23-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
14,2008,2008-12-11,14,23.061,CHI,,NOR,W 27-24,,0,0,0,,0,0.0%,,1,13,13.00,0,0,0,0.0,0,0
15,2008,2008-12-22,15,23.072,CHI,,GNB,W 20-17,,,,,,,0.0%,,,,,,,,,,
16,2008,2008-12-28,16,23.078,CHI,@,HOU,L 24-31,,,,,,,0.0%,,,,,,,,,,
17,2009,2009-09-13,1,23.337,CHI,@,GNB,L 15-21,,,,,,,0.0%,,,,,,,,,,
18,2009,2009-09-20,2,23.344,CHI,,PIT,W 17-14,,6,5,38,7.60,1,83.3%,6.33,0,0,,0,1,6,0.0,0,0
19,2009,2009-09-27,3,23.351,CHI,@,SEA,W 25-19,,,,,,,0.0%,,,,,,,,,,
20,2009,2009-10-04,4,23.358,CHI,,DET,W 48-24,,2,2,20,10.00,1,100.0%,10.00,0,0,,0,1,6,0.0,0,0
21,2009,2009-10-18,5,24.007,CHI,@,ATL,L 14-21,,,,,,,0.0%,,,,,,,,,,
22,2009,2009-10-25,6,24.014,CHI,@,CIN,L 10-45,*,,,,,,0.0%,,,,,,,,,,
23,2009,2009-11-01,7,24.021,CHI,,CLE,W 30-6,,1,,,,,0.0%,,,,,,,,,,
24,2009,2009-11-08,8,24.028,CHI,,ARI,L 21-41,,,,,,,0.0%,,,,,,,,,,
25,2009,2009-11-12,9,24.032,CHI,@,SFO,L 6-10,,3,,,,,0.0%,,,,,,,,,,
26,2009,2009-11-22,10,24.042,CHI,,PHI,L 20-24,*,2,2,17,8.50,1,100.0%,8.50,0,0,,0,1,6,0.0,0,0
27,2009,2009-11-29,11,24.049,CHI,@,MIN,L 10-36,,,,,,,0.0%,,,,,,,,,,
28,2009,2009-12-06,12,24.056,CHI,,STL,W 17-9,,,,,,,0.0%,,,,,,,,,,
29,2009,2009-12-13,13,24.063,CHI,,GNB,L 14-21,,,,,,,0.0%,,,,,,,,,,
30,2009,2009-12-20,14,24.070,CHI,@,BAL,L 7-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
31,2009,2009-12-28,15,24.078,CHI,,MIN,W 36-30,,,,,,,0.0%,,,,,,,,,,
32,2009,2010-01-03,16,24.084,CHI,@,DET,W 37-23,,,,,,,0.0%,,,,,,,,,,
33,2010,2010-09-12,1,24.336,CHI,,DET,W 19-14,,,,,,,0.0%,,,,,,,,,,
34,2010,2010-09-19,2,24.343,CHI,@,DAL,W 27-20,,,,,,,0.0%,,,,,,,,,,
35,2010,2010-09-27,3,24.351,CHI,,GNB,W 20-17,,,,,,,0.0%,,,,,,,,,,
36,2010,2010-10-03,4,24.357,CHI,@,NYG,L 3-17,,,,,,,0.0%,,,,,,,,,,
37,2010,2010-10-10,5,24.364,CHI,@,CAR,W 23-6,*,0,,,,,0.0%,,,,,,,,,,
38,2010,2010-10-17,6,25.006,CHI,,SEA,L 20-23,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
39,2010,2010-10-24,7,25.013,CHI,,WAS,L 14-17,,,,,,,0.0%,,,,,,,,,,
40,2010,2010-11-07,8,25.027,CHI,@,BUF,W 22-19,*,,,,,,0.0%,,,,,,,,,,
41,2010,2010-11-14,9,25.034,CHI,,MIN,W 27-13,,1,1,19,19.00,1,100.0%,19.00,0,0,,0,1,6,0.0,0,0
42,2010,2010-11-18,10,25.038,CHI,@,MIA,W 16-0,,1,,,,,0.0%,,,,,,,,,,
43,2010,2010-11-28,11,25.048,CHI,,PHI,W 31-26,*,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,2
44,2010,2010-12-05,12,25.055,CHI,@,DET,W 24-20,,,,,,,0.0%,,,,,,,,,,
45,2010,2010-12-12,13,25.062,CHI,,NWE,L 7-36,,,,,,,0.0%,,,,,,,,,,
