ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,22.345,NOR,,ATL,W 23-17,,,,
2,2013,2013-09-15,2,22.352,NOR,@,TAM,W 16-14,,0.0,0,1
3,2013,2013-11-03,8,23.036,NOR,@,NYJ,L 20-26,,,,
4,2013,2013-11-21,11,23.054,NOR,@,ATL,W 17-13,,,,
5,2013,2013-12-02,12,23.065,NOR,@,SEA,L 7-34,,,,
6,2013,2013-12-08,13,23.071,NOR,,CAR,W 31-13,,,,
7,2013,2013-12-15,14,23.078,NOR,@,STL,L 16-27,,,,
8,2013,2013-12-22,15,23.085,NOR,@,CAR,L 13-17,,0.0,1,0
9,2013,2013-12-29,16,23.092,NOR,,TAM,W 42-17,,0.0,1,0
