ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1969,1969-09-14,1,23.009,HOU,@,OAK,L 17-21,3,42,14.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,75,25.00,0,1,0,0.00,0,1,6
2,1969,1969-09-21,2,23.016,HOU,@,BUF,W 17-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,47,23.50,0,3,60,20.00,0,0,0
3,1969,1969-09-28,3,23.023,HOU,,MIA,W 22-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,0,0.00,0,0,0
4,1969,1969-10-05,4,23.030,HOU,,BUF,W 28-14,1,29,29.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,65,32.50,0,5,64,12.80,0,0,0
5,1969,1969-10-12,5,23.037,HOU,@,KAN,L 0-24,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,64,21.33,0,2,4,2.00,0,0,0
6,1969,1969-10-20,6,23.045,HOU,@,NYJ,L 17-26,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,112,22.40,0,2,5,2.50,0,0,0
7,1969,1969-10-26,7,23.051,HOU,,DEN,W 24-21,4,122,30.50,1,2,10,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,1,6
8,1969,1969-11-02,8,23.058,HOU,@,BOS,L 0-24,7,57,8.14,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,2,-5,-2.50,0,0,0
9,1969,1969-11-09,9,23.065,HOU,,CIN,T 31-31,2,28,14.00,0,2,-4,-2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,143,47.67,0,5,41,8.20,0,0,0
10,1969,1969-11-16,10,23.072,HOU,@,DEN,T 20-20,7,150,21.43,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,6,68,11.33,0,1,6
11,1969,1969-11-23,11,23.079,HOU,@,MIA,W 32-7,4,101,25.25,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,38,12.67,0,2,2,1.00,0,1,6
12,1969,1969-11-27,12,23.083,HOU,,SDG,L 17-21,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,44,14.67,0,0,0,,0,0,0
13,1969,1969-12-06,13,23.092,HOU,,NYJ,L 26-34,9,110,12.22,1,0,0,,0,0,0,,0,0,0,,0,0,,,7,186,26.57,0,2,33,16.50,0,1,6
14,1969,1969-12-14,14,23.100,HOU,,BOS,W 27-23,2,18,9.00,0,2,12,6.00,0,0,0,,0,0,0,,0,0,,,4,99,24.75,0,1,12,12.00,0,0,0
15,1970,1970-09-20,1,24.015,HOU,@,PIT,W 19-7,3,37,12.33,2,1,15,15.00,0,0,0,,0,0,0,,0,0,,,1,-8,-8.00,0,3,31,10.33,0,2,12
16,1970,1970-09-27,2,24.022,HOU,,MIA,L 10-20,3,40,13.33,0,1,14,14.00,0,0,0,,0,0,0,,0,0,,,3,71,23.67,0,0,0,,0,0,0
17,1970,1970-10-04,3,24.029,HOU,@,CIN,W 20-13,4,50,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,9,4.50,0,0,0
18,1970,1970-10-11,4,24.036,HOU,,BAL,L 20-24,3,24,8.00,1,1,-8,-8.00,0,0,0,,0,0,0,,0,0,,,3,63,21.00,0,1,9,9.00,0,1,6
19,1970,1970-10-18,5,24.043,HOU,,PIT,L 3-7,4,41,10.25,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,1,36,36.00,0,5,47,9.40,0,0,0
20,1970,1970-10-25,6,24.050,HOU,@,SDG,T 31-31,6,80,13.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,69,34.50,0,3,67,22.33,0,0,0
21,1970,1970-11-01,7,24.057,HOU,@,STL,L 0-44,3,28,9.33,0,1,24,24.00,0,0,0,,0,0,0,,0,0,,,5,115,23.00,0,0,0,,0,0,0
22,1970,1970-11-08,8,24.064,HOU,@,KAN,L 9-24,6,62,10.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,65,21.67,0,2,18,9.00,0,0,0
23,1970,1970-11-15,9,24.071,HOU,,SFO,L 20-30,1,22,22.00,0,1,-16,-16.00,0,0,0,,0,0,0,,0,0,,,3,82,27.33,0,2,10,5.00,0,0,0
24,1970,1970-11-22,10,24.078,HOU,@,CLE,L 14-28,5,44,8.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,70,23.33,0,0,0,,0,0,0
25,1970,1970-11-29,11,24.085,HOU,,DEN,W 31-21,3,101,33.67,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,35,17.50,0,5,21,4.20,0,2,12
26,1970,1970-12-07,12,24.093,HOU,,CLE,L 10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1970,1970-12-13,13,24.099,HOU,,CIN,L 20-30,0,0,,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
28,1970,1970-12-20,14,24.106,HOU,@,DAL,L 10-52,0,0,,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,2,1,0.50,0,0,0
29,1971,1971-09-19,1,25.014,SDG,,KAN,W 21-14,1,37,37.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,2,54,27.00,0,5,31,6.20,0,1,6
30,1971,1971-09-26,2,25.021,SDG,,OAK,L 0-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,86,21.50,0,1,7,7.00,0,0,0
31,1971,1971-10-03,3,25.028,SDG,@,PIT,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,5.00,0,0,0
32,1971,1971-10-10,4,25.035,SDG,@,KAN,L 10-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,11,5.50,0,0,0
33,1971,1971-10-17,5,25.042,SDG,@,DEN,L 16-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,9,3.00,0,0,0
34,1971,1971-10-23,6,25.048,SDG,,BUF,W 20-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,0,0
35,1971,1971-10-31,7,25.056,SDG,,NYJ,W 49-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,19,19.00,0,0,0
36,1971,1971-11-07,8,25.063,SDG,@,NYG,L 17-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0,0,0,,0,0,0
37,1971,1971-11-15,9,25.071,SDG,,STL,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,41,13.67,0,0,0,,0,0,0
38,1971,1971-11-21,10,25.077,SDG,@,OAK,L 33-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,6,135,22.50,0,1,4,4.00,0,0,0
39,1971,1971-11-28,11,25.084,SDG,@,CIN,L 0-31,2,21,10.50,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,1,34,34.00,0,1,2,2.00,0,0,0
40,1971,1971-12-05,12,25.091,SDG,,MIN,W 30-14,7,56,8.00,0,2,61,30.50,0,0,0,,0,0,0,,0,0,,,2,48,24.00,0,1,11,11.00,0,0,0
41,1971,1971-12-12,13,25.098,SDG,,DEN,W 45-17,6,83,13.83,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,31,10.33,0,0,0
42,1971,1971-12-19,14,25.105,SDG,@,HOU,L 33-49,5,68,13.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,106,35.33,0,1,5,5.00,0,0,0
43,1972,1972-09-17,1,26.012,SDG,@,SFO,L 3-34,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-4,-4.00,0,0,0
44,1973,1973-09-16,1,27.011,SDG,@,WAS,L 0-38,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
45,1973,1973-09-23,2,27.018,SDG,,BUF,W 34-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1973,1973-09-30,3,27.025,SDG,,CIN,L 13-20,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
47,1973,1973-10-07,4,27.032,SDG,@,PIT,L 21-38,2,29,14.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
48,1973,1973-10-14,5,27.039,SDG,,OAK,L 17-27,1,36,36.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
49,1973,1973-10-21,6,27.046,SDG,,ATL,L 0-41,4,42,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
50,1973,1973-10-28,7,27.053,SDG,@,CLE,T 16-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1973,1973-11-04,8,27.060,SDG,,KAN,L 0-19,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
52,1973,1973-11-11,9,27.067,SDG,@,DEN,L 19-30,6,89,14.83,0,1,11,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
53,1973,1973-11-18,10,27.074,SDG,,NOR,W 17-14,2,63,31.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
54,1973,1973-11-25,11,27.081,SDG,@,OAK,L 3-31,1,28,28.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
55,1973,1973-12-02,12,27.088,SDG,@,NWE,L 14-30,2,20,10.00,0,1,22,22.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
56,1973,1973-12-09,13,27.095,SDG,,DEN,L 28-42,5,149,29.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
57,1973,1973-12-16,14,27.102,SDG,@,KAN,L 6-33,4,36,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
58,1974,1974-09-15,1,28.010,SDG,@,HOU,L 14-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1974,1974-09-22,2,28.017,SDG,@,CIN,W 20-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
