ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,22.305,STL,,DEN,W 18-10,*,,0,0,,0,0.0%,,0,0,0.0,,
2,2006,2006-09-17,2,22.312,STL,@,SFO,L 13-20,*,3,2,34,17.00,0,66.7%,11.33,0,0,0.0,,
3,2006,2006-09-24,3,22.319,STL,@,ARI,W 16-14,*,,0,0,,0,0.0%,,0,0,0.0,,
4,2006,2006-10-01,4,22.326,STL,,DET,W 41-34,*,2,2,23,11.50,1,100.0%,11.50,1,6,0.0,,
5,2006,2006-10-08,5,22.333,STL,@,GNB,W 23-20,*,2,1,24,24.00,0,50.0%,12.00,0,0,0.0,,
6,2006,2006-10-15,6,22.340,STL,,SEA,L 28-30,*,2,2,37,18.50,0,100.0%,18.50,0,0,0.0,,
7,2006,2006-10-29,7,22.354,STL,@,SDG,L 24-38,*,2,1,3,3.00,0,50.0%,1.50,0,0,0.0,,
8,2006,2006-11-05,8,22.361,STL,,KAN,L 17-31,*,4,1,9,9.00,0,25.0%,2.25,0,0,0.0,,
9,2006,2006-11-12,9,23.003,STL,@,SEA,L 22-24,*,1,0,0,,0,0.0%,0.00,0,0,0.0,,
10,2006,2006-11-19,10,23.010,STL,@,CAR,L 0-15,*,2,1,18,18.00,0,50.0%,9.00,0,0,0.0,,
11,2006,2006-11-26,11,23.017,STL,,SFO,W 20-17,*,1,1,12,12.00,0,100.0%,12.00,0,0,0.0,,
12,2006,2006-12-03,12,23.024,STL,,ARI,L 20-34,*,5,4,31,7.75,0,80.0%,6.20,0,0,0.0,,
13,2006,2006-12-11,13,23.032,STL,,CHI,L 27-42,*,6,4,31,7.75,0,66.7%,5.17,0,0,0.0,,
14,2006,2006-12-17,14,23.038,STL,@,OAK,W 20-0,*,2,1,4,4.00,0,50.0%,2.00,0,0,0.0,,
15,2006,2006-12-24,15,23.045,STL,,WAS,W 37-31,*,1,0,0,,0,0.0%,0.00,0,0,0.0,,
16,2006,2006-12-31,16,23.052,STL,@,MIN,W 41-21,*,1,0,0,,0,0.0%,0.00,0,0,0.0,,
17,2007,2007-09-09,1,23.304,STL,,CAR,L 13-27,*,,0,0,,0,0.0%,,0,0,0.0,,
18,2007,2007-09-16,2,23.311,STL,,SFO,L 16-17,*,1,0,0,,0,0.0%,0.00,0,0,0.0,,
19,2007,2007-09-23,3,23.318,STL,@,TAM,L 3-24,*,,0,0,,0,0.0%,,0,0,0.0,,
20,2007,2007-09-30,4,23.325,STL,@,DAL,L 7-35,*,,0,0,,0,0.0%,,0,0,0.0,,
21,2007,2007-10-07,5,23.332,STL,,ARI,L 31-34,,,0,0,,0,0.0%,,0,0,0.0,,
22,2007,2007-10-14,6,23.339,STL,@,BAL,L 3-22,,,,,,,0.0%,,,,,,
23,2007,2007-10-21,7,23.346,STL,@,SEA,L 6-33,*,,0,0,,0,0.0%,,0,0,0.0,,
24,2007,2007-10-28,8,23.353,STL,,CLE,L 20-27,,,0,0,,0,0.0%,,0,0,0.0,,
25,2007,2007-11-11,9,24.002,STL,@,NOR,W 37-29,*,,0,0,,0,0.0%,,0,0,0.0,,
26,2007,2007-11-18,10,24.009,STL,@,SFO,W 13-9,*,,0,0,,0,0.0%,,0,0,0.0,,
27,2007,2007-11-25,11,24.016,STL,,SEA,L 19-24,*,,0,0,,0,0.0%,,0,0,0.0,,
28,2007,2007-12-02,12,24.023,STL,,ATL,W 28-16,*,,0,0,,0,0.0%,,0,0,0.0,,
29,2007,2007-12-09,13,24.030,STL,@,CIN,L 10-19,,1,1,1,1.00,0,100.0%,1.00,0,0,0.0,,
30,2007,2007-12-16,14,24.037,STL,,GNB,L 14-33,*,,0,0,,0,0.0%,,0,0,0.0,,
31,2007,2007-12-20,15,24.041,STL,,PIT,L 24-41,,,0,0,,0,0.0%,,0,0,0.0,,
32,2007,2007-12-30,16,24.051,STL,@,ARI,L 19-48,*,1,1,36,36.00,1,100.0%,36.00,1,6,0.0,,
33,2008,2008-09-07,1,24.303,STL,@,PHI,L 3-38,*,,,,,,0.0%,,,,,,
34,2008,2008-09-14,2,24.310,STL,,NYG,L 13-41,,,,,,,0.0%,,,,,,
