ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-11-28,11,22.089,SEA,,BUF,L 9-38,,,,,,,,,,,,,,
2,2004,2004-12-06,12,22.097,SEA,,DAL,L 39-43,,,,,,,,,,,,,,
3,2004,2004-12-12,13,22.103,SEA,@,MIN,W 27-23,,,,,,,,,,,,,,
4,2004,2004-12-19,14,22.110,SEA,@,NYJ,L 14-37,,,,,,,,,,,,,,
5,2004,2004-12-26,15,22.117,SEA,,ARI,W 24-21,,,,,,,,,,,,,,
6,2004,2005-01-02,16,22.124,SEA,,ATL,W 28-26,,,,,,,,,,,,,,
7,2005,2005-09-11,1,23.011,SEA,@,JAX,L 14-26,,,,,,,,,,,,,,
8,2005,2005-09-18,2,23.018,SEA,,ATL,W 21-18,,,,,,,,,,,,,,
9,2005,2005-09-25,3,23.025,SEA,,ARI,W 37-12,,0,0,,0,,0,0,0.0,,,1,17,0
10,2005,2005-10-02,4,23.032,SEA,@,WAS,L 17-20,,,,,,,,,,,,,,
11,2005,2005-10-09,5,23.039,SEA,@,STL,W 37-31,,,,,,,,,,,,,,
12,2005,2005-10-16,6,23.046,SEA,,HOU,W 42-10,,,,,,,,,,,,,,
13,2005,2005-10-23,7,23.053,SEA,,DAL,W 13-10,,0,0,,0,,0,0,0.0,,,1,25,0
14,2005,2005-11-06,8,23.067,SEA,@,ARI,W 33-19,,0,0,,0,,0,0,0.0,,,1,14,0
15,2005,2005-11-13,9,23.074,SEA,,STL,W 31-16,,,,,,,,,,,,,,
16,2005,2005-11-20,10,23.081,SEA,@,SFO,W 27-25,,,,,,,,,,,,,,
17,2005,2005-11-27,11,23.088,SEA,,NYG,W 24-21,,,,,,,,,,,,,,
18,2005,2005-12-05,12,23.096,SEA,@,PHI,W 42-0,,,,,,,,,,,,,,
19,2005,2005-12-11,13,23.102,SEA,,SFO,W 41-3,*,,,,,,,,,,,,,
20,2005,2005-12-18,14,23.109,SEA,@,TEN,W 28-24,*,,,,,,,,,,,,,
21,2005,2005-12-24,15,23.115,SEA,,IND,W 28-13,*,,,,,,,,,,,,,
22,2005,2006-01-01,16,23.123,SEA,@,GNB,L 17-23,*,,,,,,,,,,,,,
23,2006,2006-09-10,1,24.010,SEA,@,DET,W 9-6,,,,,,,,,,,,,,
24,2006,2006-09-17,2,24.017,SEA,,ARI,W 21-10,,,,,,,,,,,,,,
25,2006,2006-09-24,3,24.024,SEA,,NYG,W 42-30,,,,,,,,,,,,,,
26,2006,2006-10-15,5,24.045,SEA,@,STL,W 30-28,,,,,,,,,,,,,,
