ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,1997,1997-08-31,1,22.238,TAM,,SFO,W 13-6,,8,37,4.63,0,4,2,4,2.00,0,50.0%,1.00,1,26,26.00,0,0,0,,0,0,0,0.0,,
2,1997,1997-09-07,2,22.245,TAM,@,DET,W 24-17,,24,130,5.42,1,3,2,20,10.00,0,66.7%,6.67,0,0,,0,1,3,3.00,0,1,6,0.0,,
3,1997,1997-09-14,3,22.252,TAM,@,MIN,W 28-14,,16,101,6.31,1,1,1,1,1.00,0,100.0%,1.00,3,63,21.00,0,3,39,13.00,0,1,6,0.0,,
4,1997,1997-09-21,4,22.259,TAM,,MIA,W 31-21,,11,17,1.55,0,7,6,106,17.67,1,85.7%,15.14,0,0,,0,0,0,,0,1,6,0.0,,
5,1997,1997-09-28,5,22.266,TAM,,ARI,W 19-18,,10,27,2.70,0,3,2,10,5.00,0,66.7%,3.33,1,30,30.00,0,0,0,,0,0,0,0.0,,
6,1997,1997-10-05,6,22.273,TAM,@,GNB,L 16-21,,16,125,7.81,1,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,1,6,0.0,,
7,1997,1997-10-12,7,22.280,TAM,,DET,L 9-27,,10,9,0.90,0,3,3,71,23.67,1,100.0%,23.67,0,0,,0,0,0,,0,1,6,0.0,,
8,1997,1997-10-26,8,22.294,TAM,,MIN,L 6-10,,10,39,3.90,0,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,0.0,,
9,1997,1997-11-02,9,22.301,TAM,@,IND,W 31-28,,7,17,2.43,0,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,0.0,,
10,1997,1997-11-09,10,22.308,TAM,@,ATL,W 31-10,,14,76,5.43,1,4,3,57,19.00,1,75.0%,14.25,0,0,,0,0,0,,0,2,12,0.0,,
11,1997,1997-11-16,11,22.315,TAM,,NWE,W 27-7,,14,36,2.57,0,4,4,20,5.00,0,100.0%,5.00,1,10,10.00,0,1,6,6.00,0,0,0,0.0,,
12,1997,1997-11-23,12,22.322,TAM,@,CHI,L 7-13,,9,4,0.44,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,0,0,0.0,,
13,1997,1997-11-30,13,22.329,TAM,@,NYG,W 20-8,,24,120,5.00,0,2,2,49,24.50,0,100.0%,24.50,0,0,,0,0,0,,0,0,0,0.0,,
14,1997,1997-12-07,14,22.336,TAM,,GNB,L 6-17,,12,33,2.75,0,5,2,9,4.50,0,40.0%,1.80,0,0,,0,0,0,,0,0,0,0.0,,
15,1997,1997-12-14,15,22.343,TAM,@,NYJ,L 0-31,,23,88,3.83,0,3,1,22,22.00,0,33.3%,7.33,0,0,,0,0,0,,0,0,0,0.0,,
16,1997,1997-12-21,16,22.350,TAM,,CHI,W 31-15,,16,119,7.44,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,0,0.0,,
17,1998,1998-09-06,1,23.244,TAM,@,MIN,L 7-31,,12,47,3.92,0,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,0.0,,
18,1998,1998-09-13,2,23.251,TAM,@,GNB,L 15-23,,12,36,3.00,0,11,7,46,6.57,0,63.6%,4.18,0,0,,0,0,0,,0,0,0,0.0,,
