ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1982,1982-09-16,2,22.347,BUF,,MIN,W 23-22,0,0,,0,0,0,,0,0,0,,0,0,0,,0
2,1982,1982-11-21,3,23.048,BUF,,MIA,L 7-9,1,23,23.00,0,1,3,3.00,0,0,0,,0,1,21,21.00,0
3,1982,1982-11-28,4,23.055,BUF,,BAL,W 20-0,0,0,,0,0,0,,0,0,0,,0,3,4,1.33,0
4,1982,1982-12-05,5,23.062,BUF,@,GNB,L 21-33,1,5,5.00,0,0,0,,0,6,139,23.17,0,0,0,,0
5,1982,1982-12-12,6,23.069,BUF,,PIT,W 13-0,1,10,10.00,0,0,0,,0,0,0,,0,1,0,0.00,0
6,1982,1982-12-19,7,23.076,BUF,@,TAM,L 23-24,0,0,,0,0,0,,0,0,0,,0,1,6,6.00,0
7,1982,1982-12-27,8,23.084,BUF,@,MIA,L 10-27,1,7,7.00,0,0,0,,0,1,17,17.00,0,4,14,3.50,0
