ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1969,1969-09-21,1,23.068,CLE,@,PHI,W 27-20,1,0,0.00,0,0,0,,0
2,1970,1970-09-21,1,24.068,CLE,,NYJ,W 31-21,,,,,,,,
3,1970,1970-09-27,2,24.074,CLE,@,SFO,L 31-34,,,,,,,,
4,1970,1970-10-03,3,24.080,CLE,,PIT,W 15-7,,,,,,,,
5,1970,1970-10-11,4,24.088,CLE,,CIN,W 30-27,0,0,,0,1,0,0.00,0
6,1970,1970-10-18,5,24.095,CLE,,DET,L 24-41,,,,,,,,
7,1972,1972-09-17,1,26.064,MIA,@,KAN,W 20-10,,,,,,,,
8,1972,1972-09-24,2,26.071,MIA,,HOU,W 34-13,,,,,,,,
9,1972,1972-10-01,3,26.078,MIA,@,MIN,W 16-14,,,,,,,,
10,1972,1972-10-08,4,26.085,MIA,@,NYJ,W 27-17,,,,,,,,
11,1972,1972-10-15,5,26.092,MIA,,SDG,W 24-10,,,,,,,,
12,1972,1972-10-22,6,26.099,MIA,,BUF,W 24-23,,,,,,,,
13,1972,1972-10-29,7,26.106,MIA,@,BAL,W 23-0,,,,,,,,
14,1972,1972-11-05,8,26.113,MIA,@,BUF,W 30-16,,,,,,,,
15,1972,1972-11-12,9,26.120,MIA,,NWE,W 52-0,,,,,,,,
16,1972,1972-11-19,10,26.127,MIA,,NYJ,W 28-24,,,,,,,,
17,1972,1972-11-27,11,26.135,MIA,,STL,W 31-10,,,,,,,,
18,1972,1972-12-03,12,26.141,MIA,@,NWE,W 37-21,,,,,,,,
19,1972,1972-12-10,13,26.148,MIA,@,NYG,W 23-13,,,,,,,,
20,1972,1972-12-16,14,26.154,MIA,,BAL,W 16-0,,,,,,,,
21,1973,1973-09-16,1,27.063,HOU,@,NYG,L 14-34,,,,,,,,
22,1973,1973-09-30,3,27.077,HOU,,PIT,L 7-36,,,,,,,,
23,1973,1973-10-07,4,27.084,HOU,,RAM,L 26-31,,,,,,,,
24,1973,1973-10-14,5,27.091,HOU,,DEN,L 20-48,,,,,,,,
25,1973,1973-10-21,6,27.098,HOU,@,CLE,L 13-42,,,,,,,,
26,1973,1973-10-28,7,27.105,HOU,@,CHI,L 14-35,,,,,,,,
27,1973,1973-11-04,8,27.112,HOU,@,BAL,W 31-27,,,,,,,,
28,1973,1973-11-11,9,27.119,HOU,,CLE,L 13-23,,,,,,,,
29,1973,1973-11-18,10,27.126,HOU,@,KAN,L 14-38,,,,,,,,
30,1973,1973-11-25,11,27.133,HOU,,NWE,L 0-32,,,,,,,,
31,1973,1973-12-02,12,27.140,HOU,,OAK,L 6-17,,,,,,,,
32,1973,1973-12-09,13,27.147,HOU,@,PIT,L 7-33,,,,,,,,
33,1973,1973-12-16,14,27.154,HOU,,CIN,L 24-27,,,,,,,,
