ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1960,1960-09-18,2,22.189,LAC,@,HOU,L 28-38,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
2,1960,1960-09-25,3,22.196,LAC,@,DTX,L 0-17,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
3,1960,1960-10-08,5,22.209,LAC,,BOS,L 0-35,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,35,17.50,0,0,0
4,1960,1960-10-16,6,22.217,LAC,@,DEN,W 23-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,64,21.33,0,0,0
5,1960,1960-10-28,7,22.229,LAC,@,BOS,W 45-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,13,13.00,0,0,0
6,1960,1960-11-04,8,22.236,LAC,@,NYT,W 21-7,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,0,0
7,1960,1960-11-27,11,22.259,LAC,,OAK,W 52-28,4,119,29.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
8,1960,1960-12-04,12,22.266,LAC,@,OAK,W 41-17,7,105,15.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
9,1960,1960-12-10,13,22.272,LAC,,DEN,W 41-33,5,81,16.20,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
10,1960,1960-12-18,14,22.280,LAC,,NYT,W 50-43,4,64,16.00,2,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
11,1961,1961-09-10,1,23.181,SDG,@,DTX,W 26-10,4,57,14.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
12,1961,1961-09-17,2,23.188,SDG,,OAK,W 44-0,3,30,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
13,1961,1961-09-24,3,23.195,SDG,,HOU,W 34-24,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
14,1961,1961-09-30,4,23.201,SDG,@,BUF,W 19-11,3,35,11.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
15,1961,1961-10-07,5,23.208,SDG,@,BOS,W 38-27,4,84,21.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
16,1961,1961-10-15,6,23.216,SDG,@,NYT,W 25-10,5,121,24.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
17,1961,1961-10-22,7,23.223,SDG,@,OAK,W 41-10,2,40,20.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
18,1961,1961-10-29,8,23.230,SDG,,DEN,W 37-0,5,103,20.60,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
19,1961,1961-11-05,9,23.237,SDG,,NYT,W 48-13,3,46,15.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
20,1961,1961-11-12,10,23.244,SDG,@,DEN,W 19-16,2,24,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
21,1961,1961-11-19,11,23.251,SDG,,DTX,W 24-14,6,120,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
22,1961,1961-12-03,12,23.265,SDG,@,HOU,L 13-33,6,110,18.33,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
23,1961,1961-12-10,13,23.272,SDG,,BUF,W 28-10,3,19,6.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
24,1962,1962-09-07,1,24.178,SDG,@,DEN,L 21-30,3,25,8.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
25,1962,1962-09-16,2,24.187,SDG,,NYT,W 40-14,1,24,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
26,1962,1962-09-23,3,24.194,SDG,,HOU,L 17-42,4,78,19.50,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
27,1962,1962-09-30,4,24.201,SDG,@,OAK,W 42-33,3,39,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
28,1962,1962-10-07,5,24.208,SDG,,DTX,W 32-28,3,60,20.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
29,1962,1962-10-13,6,24.214,SDG,@,BUF,L 10-35,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
30,1962,1962-10-19,7,24.220,SDG,@,BOS,L 20-24,4,107,26.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
31,1962,1962-10-28,8,24.229,SDG,@,NYT,L 3-23,6,74,12.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
32,1962,1962-11-04,9,24.236,SDG,,DEN,L 20-23,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
33,1962,1962-11-11,10,24.243,SDG,,BUF,L 20-40,3,43,14.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
34,1962,1962-11-25,11,24.257,SDG,@,HOU,L 27-33,3,59,19.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
35,1962,1962-12-02,12,24.264,SDG,,OAK,W 31-21,5,71,14.20,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
36,1962,1962-12-09,13,24.271,SDG,,BOS,L 14-20,5,79,15.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
37,1962,1962-12-16,14,24.278,SDG,@,DTX,L 17-26,6,86,14.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
38,1963,1963-11-02,8,25.234,SDG,@,NYJ,W 53-7,4,41,10.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
39,1963,1963-11-10,9,25.242,SDG,@,BOS,W 7-6,4,37,9.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
40,1963,1963-11-17,10,25.249,SDG,@,BUF,W 23-13,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
41,1963,1963-12-01,11,25.263,SDG,,HOU,W 27-0,2,16,8.00,0,0,0,,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00,0,0,,0,0,0
42,1963,1963-12-08,12,25.270,SDG,@,OAK,L 27-41,6,119,19.83,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
43,1963,1963-12-22,14,25.284,SDG,,DEN,W 58-20,3,48,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
44,1964,1964-09-12,1,26.183,SDG,,HOU,W 27-21,3,41,13.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,1,6
45,1964,1964-09-20,2,26.191,SDG,,BOS,L 28-33,5,55,11.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
46,1964,1964-09-26,3,26.197,SDG,@,BUF,L 3-30,4,112,28.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
47,1964,1964-10-03,4,26.204,SDG,@,NYJ,T 17-17,1,30,30.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
48,1964,1964-10-09,5,26.210,SDG,@,BOS,W 26-17,2,21,10.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
49,1964,1964-10-18,6,26.219,SDG,,DEN,W 42-14,4,42,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
50,1964,1964-10-25,7,26.226,SDG,@,HOU,W 20-17,3,40,13.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
51,1964,1964-11-01,8,26.233,SDG,,OAK,W 31-17,3,43,14.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
52,1964,1964-11-08,9,26.240,SDG,@,DEN,W 31-20,7,78,11.14,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
53,1964,1964-11-26,11,26.258,SDG,,BUF,L 24-27,5,65,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
54,1964,1964-12-06,12,26.268,SDG,,NYJ,W 38-3,3,29,9.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
55,1964,1964-12-13,13,26.275,SDG,,KAN,L 6-49,1,17,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
56,1964,1964-12-20,14,26.282,SDG,@,OAK,L 20-21,8,98,12.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
57,1965,1965-09-11,1,27.182,SDG,,DEN,W 34-31,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
58,1965,1965-09-19,2,27.190,SDG,@,OAK,W 17-6,3,39,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
59,1965,1965-10-03,4,27.204,SDG,,HOU,W 31-14,4,33,8.25,0,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
60,1965,1965-10-10,5,27.211,SDG,@,BUF,W 34-3,6,107,17.83,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
61,1965,1965-10-17,6,27.218,SDG,@,BOS,T 13-13,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
62,1965,1965-10-23,7,27.224,SDG,@,NYJ,W 34-9,3,38,12.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
63,1965,1965-10-31,8,27.232,SDG,,BOS,L 6-22,5,106,21.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
64,1965,1965-11-14,10,27.246,SDG,@,KAN,L 7-31,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
65,1965,1965-11-25,11,27.257,SDG,,BUF,T 20-20,3,42,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
66,1965,1965-12-04,12,27.266,SDG,,NYJ,W 38-7,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
67,1965,1965-12-12,13,27.274,SDG,@,HOU,W 37-26,3,39,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
68,1965,1965-12-19,14,27.281,SDG,,OAK,W 24-14,2,32,16.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
69,1966,1966-10-02,4,28.203,SDG,,MIA,W 44-10,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
70,1966,1966-10-08,5,28.209,SDG,@,NYJ,L 16-17,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
71,1966,1966-11-06,9,28.238,SDG,@,KAN,L 14-24,1,18,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
72,1966,1966-11-13,10,28.245,SDG,,OAK,L 19-41,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
