ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2018,2018-09-09,1,21.295,ARI,,WAS,L 6-24,,2,1,4,4.00,0,50.0%,2.00,2,44,22.00,0
2,2018,2018-09-16,2,21.302,ARI,@,LAR,L 0-34,,5,4,27,6.75,0,80.0%,5.40,0,0,,0
3,2018,2018-09-23,3,21.309,ARI,,CHI,L 14-16,*,8,7,90,12.86,0,87.5%,11.25,1,0,0.00,0
