ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1982,1982-09-12,1,24.072,BAL,,NWE,L 13-24,,,,
2,1982,1982-11-21,3,24.142,BAL,@,NYJ,L 0-37,,,,
3,1982,1982-11-28,4,24.149,BAL,@,BUF,L 0-20,,,,
4,1982,1982-12-05,5,24.156,BAL,,CIN,L 17-20,,,,
5,1982,1982-12-12,6,24.163,BAL,@,MIN,L 10-13,,,,
6,1982,1982-12-19,7,24.170,BAL,,GNB,T 20-20,,,,
7,1982,1982-12-26,8,24.177,BAL,@,SDG,L 26-44,,,,
8,1982,1983-01-02,9,24.184,BAL,,MIA,L 7-34,,,,
9,1983,1983-09-04,1,25.064,BAL,@,NWE,W 29-23,,,,
10,1983,1983-09-11,2,25.071,BAL,,DEN,L 10-17,,,,
11,1983,1983-09-18,3,25.078,BAL,@,BUF,L 23-28,,,,
12,1983,1983-09-25,4,25.085,BAL,,CHI,W 22-19,,,,
13,1983,1983-10-02,5,25.092,BAL,@,CIN,W 34-31,,,,
14,1983,1983-10-09,6,25.099,BAL,,NWE,W 12-7,,,,
15,1983,1983-10-16,7,25.106,BAL,,BUF,L 7-30,,,,
16,1983,1983-10-23,8,25.113,BAL,,MIA,L 7-21,,,,
17,1983,1983-10-30,9,25.120,BAL,@,PHI,W 22-21,,,,
18,1983,1983-11-06,10,25.127,BAL,@,NYJ,W 17-14,,,,
19,1983,1983-11-13,11,25.134,BAL,,PIT,L 13-24,,,,
20,1983,1983-11-20,12,25.141,BAL,@,MIA,L 0-37,,,,
21,1983,1983-11-27,13,25.148,BAL,@,CLE,L 23-41,,,,
22,1983,1983-12-04,14,25.155,BAL,,NYJ,L 6-10,,,,
23,1983,1983-12-11,15,25.162,BAL,@,DEN,L 19-21,,,,
24,1983,1983-12-18,16,25.169,BAL,,HOU,W 20-10,,,,
25,1984,1984-09-02,1,26.062,IND,,NYJ,L 14-23,0,0,,0
26,1984,1984-09-09,2,26.069,IND,@,HOU,W 35-21,0,0,,0
27,1984,1984-09-16,3,26.076,IND,,STL,L 33-34,0,0,,0
28,1984,1984-09-23,4,26.083,IND,@,MIA,L 7-44,0,0,,0
29,1984,1984-09-30,5,26.090,IND,,BUF,W 31-17,0,0,,0
30,1984,1984-10-07,6,26.097,IND,,WAS,L 7-35,0,0,,0
31,1984,1984-10-14,7,26.104,IND,@,PHI,L 7-16,0,0,,0
32,1984,1984-10-21,8,26.111,IND,,PIT,W 17-16,0,0,,0
33,1984,1984-10-28,9,26.118,IND,@,DAL,L 3-22,0,0,,0
34,1984,1984-11-04,10,26.125,IND,,SDG,L 10-38,0,0,,0
35,1984,1984-11-11,11,26.132,IND,@,NYJ,W 9-5,0,0,,0
36,1984,1984-11-18,12,26.139,IND,,NWE,L 17-50,0,0,,0
37,1984,1984-11-25,13,26.146,IND,@,RAI,L 7-21,0,0,,0
38,1984,1984-12-02,14,26.153,IND,@,BUF,L 15-21,0,0,,0
39,1984,1984-12-09,15,26.160,IND,,MIA,L 17-35,0,0,,0
40,1984,1984-12-16,16,26.167,IND,@,NWE,L 10-16,1,0,0.00,0
41,1987,1987-10-04,3,29.094,IND,@,BUF,W 47-6,,,,
