ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
1,1960,1960-10-23,6,24.138,BUF,,OAK,W 38-9,,,,1,2,50.0,0,3,0,0,0
2,1960,1960-10-30,7,24.145,BUF,,HOU,W 25-24,,,,1,2,50.0,0,3,0,0,0
3,1961,1961-09-10,1,25.095,BUF,,DEN,L 10-22,,,,,,,,,,,
4,1961,1961-09-17,2,25.102,BUF,,NYT,W 41-31,,,,2,2,100.0,0,6,0,0,0
5,1961,1961-09-23,3,25.108,BUF,,BOS,L 21-23,,,,,,,,,,,
6,1961,1961-09-30,4,25.115,BUF,,SDG,L 11-19,,,,1,5,20.0,0,3,0,0,0
7,1961,1961-10-08,5,25.123,BUF,@,HOU,W 22-12,,,,,,,,,,,
8,1961,1961-10-15,6,25.130,BUF,,DTX,W 27-24,,,,2,2,100.0,0,6,0,0,0
9,1961,1961-10-22,7,25.137,BUF,@,BOS,L 21-52,,,,,,,,,,,
10,1961,1961-10-29,8,25.144,BUF,,HOU,L 16-28,,,,1,4,25.0,0,3,1,0,0
11,1961,1961-11-05,9,25.151,BUF,,OAK,L 22-31,,,,,1,0.0,0,0,0,0,0
12,1961,1961-11-12,10,25.158,BUF,@,DTX,W 30-20,,,,,,,,,,,
13,1961,1961-11-19,11,25.165,BUF,@,DEN,W 23-10,,,,,,,,,,,
14,1961,1961-11-23,12,25.169,BUF,@,NYT,L 14-21,,,,,,,,,,,
15,1961,1961-12-03,13,25.179,BUF,@,OAK,W 26-21,,,,,,,,,,,
16,1961,1961-12-10,14,25.186,BUF,@,SDG,L 10-28,,,,,,,,,,,
