ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1960,1960-10-09,4,21.355,HOU,,NYT,W 27-21,0,0,,0,1,5,5.00,0,0,0,0,0,0,0,0,,0
2,1960,1960-11-20,10,22.031,HOU,,DEN,W 20-10,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
3,1961,1961-10-01,3,22.346,HOU,@,DTX,L 21-26,0,0,,0,0,0,,0,0,0,0,0,0,5,224,44.80,0
4,1961,1961-10-08,4,22.353,HOU,,BUF,L 12-22,0,0,,0,0,0,,0,0,0,1,36,0,7,325,46.43,0
5,1961,1961-10-13,5,22.358,HOU,@,BOS,T 31-31,0,0,,0,0,0,,0,0,0,1,0,0,3,105,35.00,0
6,1961,1961-10-22,6,23.002,HOU,,DTX,W 38-7,0,0,,0,0,0,,0,0,0,0,0,0,5,178,35.60,0
7,1961,1961-10-29,7,23.009,HOU,@,BUF,W 28-16,0,0,,0,0,0,,0,0,0,1,3,0,4,176,44.00,0
8,1961,1961-11-05,8,23.016,HOU,@,DEN,W 55-14,0,0,,0,0,0,,0,0,0,1,2,0,4,158,39.50,0
9,1961,1961-11-12,9,23.023,HOU,,BOS,W 27-15,0,0,,0,0,0,,0,0,0,0,0,0,4,158,39.50,0
10,1961,1961-11-19,10,23.030,HOU,,NYT,W 49-13,0,0,,0,0,0,,0,0,0,1,0,0,5,198,39.60,0
11,1961,1961-11-26,11,23.037,HOU,,DEN,W 45-14,0,0,,0,0,0,,0,0,0,2,54,0,3,137,45.67,0
12,1961,1961-12-03,12,23.044,HOU,,SDG,W 33-13,0,0,,0,0,0,,0,0,0,1,25,0,3,121,40.33,0
13,1961,1961-12-10,13,23.051,HOU,@,NYT,W 48-21,0,0,,0,0,0,,0,0,0,0,0,0,3,101,33.67,0
14,1961,1961-12-17,14,23.058,HOU,@,OAK,W 47-16,0,0,,0,0,0,,0,0,0,1,30,0,2,71,35.50,0
15,1962,1962-09-09,1,23.324,HOU,@,BUF,W 28-23,0,0,,0,0,0,,0,0,0,1,0,0,0,0,,0
16,1962,1962-09-16,2,23.331,HOU,@,BOS,L 21-34,0,0,,0,0,0,,0,0,0,0,0,0,6,237,39.50,0
17,1962,1962-09-23,3,23.338,HOU,@,SDG,W 42-17,0,0,,0,0,0,,0,0,0,0,0,0,2,106,53.00,0
18,1962,1962-10-07,4,23.352,HOU,,BUF,W 17-14,0,0,,0,0,0,,0,0,0,2,7,0,4,180,45.00,0
19,1962,1962-10-14,5,23.359,HOU,,NYT,W 56-17,0,0,,0,0,0,,0,0,0,0,0,0,5,161,32.20,1
20,1962,1962-10-21,6,24.001,HOU,@,DEN,L 10-20,0,0,,0,0,0,,0,0,0,0,0,0,6,298,49.67,0
