ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,23.115,TEN,,NYJ,L 16-23,,3,4,75.00,27,0,1,53.1,0,0,6.75,-4.50,0,0,,0,0,0,0.0,,
2,2006,2006-09-17,2,23.122,TEN,@,SDG,L 7-40,,7,20,35.00,106,1,0,70.0,0,0,5.30,6.30,5,24,4.80,0,0,0,0.0,,
3,2006,2006-10-01,4,23.136,TEN,,DAL,L 14-45,*,14,29,48.28,155,1,2,47.3,2,4,5.34,2.93,5,3,0.60,0,0,0,0.0,,
4,2006,2006-10-08,5,23.143,TEN,@,IND,L 13-14,*,10,21,47.62,63,0,1,34.4,0,0,3.00,0.86,4,43,10.75,1,1,6,0.0,,
5,2006,2006-10-15,6,23.150,TEN,@,WAS,W 25-22,*,13,25,52.00,161,1,0,85.6,3,10,6.44,7.24,7,9,1.29,0,0,0,0.0,,
6,2006,2006-10-29,7,23.164,TEN,,HOU,W 28-22,*,7,15,46.67,87,1,0,87.4,1,1,5.80,7.13,4,44,11.00,1,1,6,0.0,,
7,2006,2006-11-05,8,23.171,TEN,@,JAX,L 7-37,*,15,36,41.67,163,1,3,30.2,1,9,4.53,1.33,4,14,3.50,0,0,0,0.0,,
8,2006,2006-11-12,9,23.178,TEN,,BAL,L 26-27,*,13,25,52.00,211,0,1,63.9,2,6,8.44,6.64,8,39,4.88,1,1,6,0.0,,
9,2006,2006-11-19,10,23.185,TEN,@,PHI,W 31-13,*,8,22,36.36,101,1,0,66.7,3,17,4.59,5.50,6,49,8.17,0,0,0,0.0,,
10,2006,2006-11-26,11,23.192,TEN,,NYG,W 24-21,*,24,35,68.57,249,2,0,107.9,2,14,7.11,8.26,10,69,6.90,1,1,6,0.0,,
11,2006,2006-12-03,12,23.199,TEN,,IND,W 20-17,*,15,25,60.00,163,2,2,72.6,0,0,6.52,4.52,9,78,8.67,0,0,0,0.0,,
12,2006,2006-12-10,13,23.206,TEN,@,HOU,W 26-20,*,19,29,65.52,218,0,1,73.6,2,18,7.52,5.97,7,86,12.29,1,1,6,0.0,,
13,2006,2006-12-17,14,23.213,TEN,,JAX,W 24-17,*,8,15,53.33,85,0,0,70.1,3,28,5.67,5.67,4,4,1.00,0,0,0,0.0,,
14,2006,2006-12-24,15,23.220,TEN,@,BUF,W 30-29,*,13,20,65.00,183,2,0,127.7,1,2,9.15,11.15,8,61,7.63,1,1,6,0.0,,
15,2006,2006-12-31,16,23.227,TEN,,NWE,L 23-40,*,15,36,41.67,227,0,2,39.9,5,20,6.31,3.81,2,29,14.50,1,1,6,0.0,,
16,2007,2007-09-09,1,24.114,TEN,@,JAX,W 13-10,*,11,18,61.11,78,0,1,47.9,1,6,4.33,1.83,11,22,2.00,1,1,6,0.0,,
17,2007,2007-09-16,2,24.121,TEN,,IND,L 20-22,*,17,27,62.96,184,1,0,95.3,3,12,6.81,7.56,5,53,10.60,0,0,0,0.0,,
18,2007,2007-09-24,3,24.129,TEN,@,NOR,W 31-14,*,14,22,63.64,164,2,1,97.5,0,0,7.45,7.23,5,21,4.20,0,0,0,0.0,,
19,2007,2007-10-07,4,24.142,TEN,,ATL,W 20-13,*,20,33,60.61,157,0,3,34.5,0,0,4.76,0.67,8,27,3.38,0,0,0,0.0,,
20,2007,2007-10-14,5,24.149,TEN,@,TAM,L 10-13,*,11,14,78.57,120,0,1,72.6,1,4,8.57,5.36,3,6,2.00,0,0,0,0.0,,
21,2007,2007-10-28,7,24.163,TEN,,OAK,W 13-9,*,6,14,42.86,42,0,0,50.3,2,16,3.00,3.00,7,11,1.57,0,0,0,0.0,,
22,2007,2007-11-04,8,24.170,TEN,,CAR,W 20-7,*,14,23,60.87,110,0,2,36.5,3,14,4.78,0.87,8,25,3.13,1,1,6,0.0,,
23,2007,2007-11-11,9,24.177,TEN,,JAX,L 13-28,*,24,41,58.54,257,1,2,64.8,4,27,6.27,4.56,8,52,6.50,0,0,0,0.0,,
24,2007,2007-11-19,10,24.185,TEN,@,DEN,L 20-34,*,26,41,63.41,305,1,2,73.7,1,15,7.44,5.73,11,74,6.73,1,1,6,0.0,,
25,2007,2007-11-25,11,24.191,TEN,@,CIN,L 6-35,*,19,31,61.29,246,0,1,72.8,1,2,7.94,6.48,2,6,3.00,0,0,0,0.0,,
26,2007,2007-12-02,12,24.198,TEN,,HOU,W 28-20,*,21,31,67.74,248,2,1,99.9,3,19,8.00,7.84,5,44,8.80,0,0,0,0.0,,
27,2007,2007-12-09,13,24.205,TEN,,SDG,L 17-23,*,13,21,61.90,121,0,2,38.1,1,5,5.76,1.48,2,2,1.00,0,0,0,0.0,,
28,2007,2007-12-16,14,24.212,TEN,@,KAN,W 26-17,*,16,26,61.54,191,2,0,109.6,1,12,7.35,8.88,7,32,4.57,0,0,0,0.0,,
29,2007,2007-12-23,15,24.219,TEN,,NYJ,W 10-6,*,12,22,54.55,166,0,1,60.0,3,20,7.55,5.50,7,1,0.14,0,0,0,0.0,,
30,2007,2007-12-30,16,24.226,TEN,@,IND,W 16-10,*,14,18,77.78,157,0,0,103.0,1,5,8.72,8.72,4,19,4.75,0,0,0,0.0,,
31,2008,2008-09-07,1,25.112,TEN,,JAX,W 17-10,*,12,22,54.55,110,1,2,45.6,1,3,5.00,1.82,1,4,4.00,0,0,0,0.0,0,0
32,2008,2008-11-27,12,25.193,TEN,@,DET,W 47-10,,1,1,100.00,54,0,0,118.7,0,0,54.00,54.00,2,-2,-1.00,0,0,0,0.0,0,0
33,2008,2008-12-28,16,25.224,TEN,@,IND,L 0-23,,9,13,69.23,55,0,0,77.4,2,10,4.23,4.23,5,25,5.00,0,0,0,0.0,0,0
34,2009,2009-10-11,5,26.146,TEN,,IND,L 9-31,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6,6.00,0,0,0,0.0,0,0
35,2009,2009-10-18,6,26.153,TEN,@,NWE,L 0-59,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,2,-1,-0.50,0,0,0,0.0,0,0
36,2009,2009-11-01,7,26.167,TEN,,JAX,W 30-13,*,15,18,83.33,125,1,0,114.1,0,0,6.94,8.06,12,30,2.50,0,0,0,0.0,0,0
37,2009,2009-11-08,8,26.174,TEN,@,SFO,W 34-27,*,12,19,63.16,172,0,0,92.4,1,9,9.05,9.05,5,14,2.80,1,1,6,0.0,0,0
38,2009,2009-11-15,9,26.181,TEN,,BUF,W 41-17,*,17,25,68.00,210,1,1,90.4,0,0,8.40,7.40,5,29,5.80,0,0,0,0.0,0,0
39,2009,2009-11-23,10,26.189,TEN,@,HOU,W 20-17,*,12,22,54.55,116,1,0,84.7,0,0,5.27,6.18,11,73,6.64,0,0,0,0.0,0,0
