ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,23.226,CIN,@,BAL,W 23-16,*,,,,,,0.0%,,,,,,,,
2,2014,2014-09-14,2,23.233,CIN,,ATL,W 24-10,*,,,,,,0.0%,,,,,,,,
3,2014,2014-09-21,3,23.240,CIN,,TEN,W 33-7,,1,1,6,6.00,0,100.0%,6.00,1,0,0.00,0,0.0,0,0
4,2014,2014-10-05,4,23.254,CIN,@,NWE,L 17-43,*,,,,,,0.0%,,,,,,,,
5,2014,2014-10-12,5,23.261,CIN,,CAR,T 37-37,,,,,,,0.0%,,,,,,,,
6,2014,2014-10-19,6,23.268,CIN,@,IND,L 0-27,,,,,,,0.0%,,,,,,,,
7,2014,2014-10-26,7,23.275,CIN,,BAL,W 27-24,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0.0,0,0
8,2014,2014-11-02,8,23.282,CIN,,JAX,W 33-23,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0.0,0,0
9,2014,2014-11-06,9,23.286,CIN,,CLE,L 3-24,*,,0,0,,0,0.0%,,0,0,,0,0.0,0,1
10,2014,2014-11-16,10,23.296,CIN,@,NOR,W 27-10,*,,,,,,0.0%,,,,,,,,
11,2014,2014-11-23,11,23.303,CIN,@,HOU,W 22-13,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0
12,2014,2014-11-30,12,23.310,CIN,@,TAM,W 14-13,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0.0,1,0
13,2014,2014-12-07,13,23.317,CIN,,PIT,L 21-42,*,,,,,,0.0%,,,,,,,,
14,2014,2014-12-14,14,23.324,CIN,@,CLE,W 30-0,*,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0.0,0,0
15,2014,2014-12-22,15,23.332,CIN,,DEN,W 37-28,*,,,,,,0.0%,,,,,,,,
