ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1974,1974-09-16,1,22.355,OAK,@,BUF,L 20-21,,,,,,,,,,,,,,,,,,,,,
2,1974,1974-09-22,2,22.361,OAK,,KAN,W 27-7,3,24,8.00,2,0,0,,0,0,0,,0,0,0,,,0,,,2,12
3,1974,1974-09-29,3,23.003,OAK,@,PIT,W 17-0,,,,,,,,,,,,,,,,,,,,,
4,1974,1974-10-06,4,23.010,OAK,@,CLE,W 40-24,,,,,,,,,,,,,,,,,,,,,
5,1974,1974-10-13,5,23.017,OAK,@,SDG,W 14-10,,,,,,,,,,,,,,,,,,,,,
6,1974,1974-10-20,6,23.024,OAK,,CIN,W 30-27,,,,,,,,,,,,,,,,,,,,,
7,1974,1974-10-27,7,23.031,OAK,@,SFO,W 35-24,1,2,2.00,1,0,0,,0,0,0,,0,0,0,,,0,,,1,6
8,1974,1974-11-03,8,23.038,OAK,@,DEN,W 28-17,,,,,,,,,,,,,,,,,,,,,
9,1974,1974-11-10,9,23.045,OAK,,DET,W 35-13,,,,,,,,,,,,,,,,,,,,,
10,1974,1974-11-17,10,23.052,OAK,,SDG,W 17-10,,,,,,,,,,,,,,,,,,,,,
11,1974,1974-11-24,11,23.059,OAK,,DEN,L 17-20,,,,,,,,,,,,,,,,,,,,,
12,1974,1974-12-01,12,23.066,OAK,,NWE,W 41-26,,,,,,,,,,,,,,,,,,,,,
13,1974,1974-12-08,13,23.073,OAK,@,KAN,W 7-6,,,,,,,,,,,,,,,,,,,,,
14,1974,1974-12-14,14,23.079,OAK,,DAL,W 27-23,,,,,,,,,,,,,,,,,,,,,
15,1975,1975-09-22,1,23.361,OAK,@,MIA,W 31-21,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0
16,1975,1975-09-28,2,24.002,OAK,@,BAL,W 31-20,1,4,4.00,1,0,0,,0,0,0,,0,0,0,,,0,,,1,6
17,1975,1975-10-05,3,24.009,OAK,@,SDG,W 6-0,,,,,,,,,,,,,,,,,,,,,
18,1975,1975-10-12,4,24.016,OAK,@,KAN,L 10-42,3,51,17.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0
19,1975,1975-10-19,5,24.023,OAK,@,CIN,L 10-14,,,,,,,,,,,,,,,,,,,,,
20,1975,1975-10-26,6,24.030,OAK,,SDG,W 25-0,,,,,,,,,,,,,,,,,,,,,
21,1975,1975-11-02,7,24.037,OAK,@,DEN,W 42-17,,,,,,,,,,,,,,,,,,,,,
22,1975,1975-11-09,8,24.044,OAK,,NOR,W 48-10,,,,,,,,,,,,,,,,,,,,,
23,1975,1975-11-16,9,24.051,OAK,,CLE,W 38-17,,,,,,,,,,,,,,,,,,,,,
24,1975,1975-11-23,10,24.058,OAK,@,WAS,W 26-23,,,,,,,,,,,,,,,,,,,,,
25,1975,1975-11-30,11,24.065,OAK,,ATL,W 37-34,,,,,,,,,,,,,,,,,,,,,
26,1975,1975-12-08,12,24.073,OAK,,DEN,W 17-10,,,,,,,,,,,,,,,,,,,,,
27,1975,1975-12-14,13,24.079,OAK,,HOU,L 26-27,,,,,,,,,,,,,,,,,,,,,
28,1975,1975-12-21,14,24.086,OAK,,KAN,W 28-20,,,,,,,,,,,,,,,,,,,,,
29,1976,1976-09-12,1,24.352,OAK,,PIT,W 31-28,7,124,17.71,2,0,0,,0,0,0,,0,0,0,,,0,,,2,12
30,1976,1976-09-20,2,24.360,OAK,@,KAN,W 24-21,5,57,11.40,1,0,0,,0,0,0,,0,0,0,,,0,,,1,6
31,1976,1976-09-26,3,25.000,OAK,@,HOU,W 14-13,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0
32,1976,1976-10-03,4,25.007,OAK,@,NWE,L 17-48,12,136,11.33,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0
33,1976,1976-10-10,5,25.014,OAK,@,SDG,W 27-17,7,104,14.86,1,0,0,,0,0,0,,0,0,0,,,0,,,1,6
34,1976,1976-10-17,6,25.021,OAK,@,DEN,W 17-10,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0
