ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2000,2000-09-04,1,23.218,DEN,@,STL,L 36-41,,0,0,0,,0,0.0%,,0,0,,0,5,98,19.60,0,0,0,,0,0,0,0.0,,,0,0,0
2,2000,2000-09-10,2,23.224,DEN,,ATL,W 42-14,,0,0,0,,0,0.0%,,0,0,,0,1,21,21.00,0,3,33,11.00,0,0,0,0.0,,,0,0,0
3,2000,2000-09-17,3,23.231,DEN,@,OAK,W 33-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,,,0,0,0
4,2000,2000-09-24,4,23.238,DEN,,KAN,L 22-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,37,12.33,0,0,0,0.0,,,0,0,0
5,2000,2000-10-01,5,23.245,DEN,,NWE,L 19-28,,0,0,0,,0,0.0%,,0,0,,0,2,112,56.00,1,2,18,9.00,0,1,6,0.0,,,0,0,0
6,2000,2000-10-08,6,23.252,DEN,@,SDG,W 21-7,,0,0,0,,0,0.0%,,0,0,,0,2,50,25.00,0,3,72,24.00,0,0,0,0.0,,,0,0,0
7,2000,2000-10-15,7,23.259,DEN,,CLE,W 44-10,,0,0,0,,0,0.0%,,0,0,,0,3,114,38.00,0,2,20,10.00,0,0,0,0.0,,,0,0,0
8,2000,2000-10-22,8,23.266,DEN,@,CIN,L 21-31,,0,0,0,,0,0.0%,,0,0,,0,4,102,25.50,0,2,10,5.00,0,0,0,0.0,,,0,0,0
9,2000,2000-11-05,9,23.280,DEN,@,NYJ,W 30-23,,0,0,0,,0,0.0%,,0,0,,0,4,73,18.25,0,1,19,19.00,0,0,0,0.0,,,0,0,0
10,2000,2000-11-13,10,23.288,DEN,,OAK,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,4,82,20.50,0,2,20,10.00,0,0,0,0.0,,,0,0,0
11,2000,2000-11-19,11,23.294,DEN,,SDG,W 38-37,,0,0,0,,0,0.0%,,0,0,,0,6,157,26.17,0,1,25,25.00,0,0,0,0.0,,,0,0,0
12,2000,2000-11-26,12,23.301,DEN,@,SEA,W 38-31,,0,0,0,,0,0.0%,,0,0,,0,5,97,19.40,0,3,4,1.33,0,0,0,0.0,,,0,0,0
13,2000,2000-12-03,13,23.308,DEN,@,NOR,W 38-23,,0,0,0,,0,0.0%,,0,0,,0,2,52,26.00,0,3,29,9.67,0,0,0,0.0,,,0,0,0
14,2000,2000-12-10,14,23.315,DEN,,SEA,W 31-24,,0,0,0,,0,0.0%,,0,0,,0,3,52,17.33,0,3,20,6.67,0,0,0,0.0,,,0,0,0
