ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2009,2009-12-27,15,24.186,IND,,NYJ,L 15-29,,4,11,36.36,44,0,1,11.2,2,14,4.00,-0.09,1,3,3.00,0,0.0,0,0
2,2009,2010-01-03,16,24.193,IND,@,BUF,L 7-30,,4,17,23.53,39,0,1,15.1,1,2,2.29,-0.35,2,1,0.50,0,0.0,0,0
3,2011,2011-09-25,3,26.093,IND,,PIT,L 20-23,,5,11,45.45,60,0,0,62.7,1,9,5.45,5.45,0,0,,0,0.0,0,0
4,2011,2011-10-03,4,26.101,IND,@,TAM,L 17-24,*,13,30,43.33,281,2,0,99.4,4,25,9.37,10.70,0,0,,0,0.0,1,0
5,2011,2011-10-09,5,26.107,IND,,KAN,L 24-28,*,15,27,55.56,277,2,0,115.8,0,0,10.26,11.74,1,-1,-1.00,0,0.0,0,0
6,2011,2011-10-16,6,26.114,IND,@,CIN,L 17-27,*,23,34,67.65,188,1,1,79.0,1,9,5.53,4.79,4,14,3.50,0,0.0,0,0
7,2011,2011-10-23,7,26.121,IND,@,NOR,L 7-62,*,9,17,52.94,67,0,1,38.1,1,5,3.94,1.29,2,11,5.50,0,0.0,0,0
8,2011,2011-10-30,8,26.128,IND,@,TEN,L 10-27,*,26,49,53.06,250,0,2,50.6,2,9,5.10,3.27,7,79,11.29,0,0.0,0,0
9,2011,2011-11-06,9,26.135,IND,,ATL,L 7-31,*,13,27,48.15,98,0,1,41.9,2,15,3.63,1.96,1,5,5.00,0,0.0,0,0
10,2011,2011-11-13,10,26.142,IND,,JAX,L 3-17,*,13,19,68.42,94,0,2,40.1,3,24,4.95,0.21,2,-1,-0.50,0,0.0,0,0
11,2011,2011-11-27,11,26.156,IND,,CAR,L 19-27,*,15,29,51.72,226,1,2,60.4,2,8,7.79,5.38,0,0,,0,0.0,0,0
12,2013,2013-09-22,3,28.090,NYG,@,CAR,L 0-38,,2,4,50.00,16,0,1,20.8,0,0,4.00,-7.25,0,0,,0,0.0,0,0
13,2013,2013-12-15,14,28.174,NYG,,SEA,L 0-23,,4,4,100.00,30,0,0,97.9,1,6,7.50,7.50,0,0,,0,0.0,0,0
14,2013,2013-12-29,16,28.188,NYG,,WAS,W 20-6,,2,8,25.00,11,0,1,0.0,0,0,1.38,-4.25,3,-2,-0.67,0,0.0,0,0
