ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1974,1974-09-15,1,23.196,DAL,@,ATL,W 24-0,,,,,,,,,,
2,1974,1974-09-23,2,23.204,DAL,@,PHI,L 10-13,,,,,,,,,,
3,1974,1974-09-29,3,23.210,DAL,,NYG,L 6-14,,,,,,,,,,
4,1974,1974-10-20,6,23.231,DAL,,PHI,W 31-24,,,,,,,,,,
5,1974,1974-10-27,7,23.238,DAL,@,NYG,W 21-7,,,,,,,,,,
6,1974,1974-11-03,8,23.245,DAL,,STL,W 17-14,,,,,,,,,,
7,1974,1974-11-10,9,23.252,DAL,,SFO,W 20-14,,,,,,,,,,
8,1974,1974-11-17,10,23.259,DAL,@,WAS,L 21-28,,,,,,,,,,
9,1974,1974-11-24,11,23.266,DAL,@,HOU,W 10-0,,,,,,,,,,
10,1974,1974-11-28,12,23.270,DAL,,WAS,W 24-23,,,,,,,,,,
11,1974,1974-12-07,13,23.279,DAL,,CLE,W 41-17,,,,,,,,,,
12,1974,1974-12-14,14,23.286,DAL,@,OAK,L 23-27,,,,,,,,,,
13,1975,1975-09-21,1,24.202,DAL,,RAM,W 18-7,,,,,,,,,,
14,1975,1975-09-28,2,24.209,DAL,,STL,W 37-31,,,,,,,,,,
15,1975,1975-10-06,3,24.217,DAL,@,DET,W 36-10,,,,,,,,,,
16,1975,1975-10-12,4,24.223,DAL,@,NYG,W 13-7,,,,,,,,,,
17,1975,1975-10-19,5,24.230,DAL,,GNB,L 17-19,,,,,,,,,,
18,1975,1975-10-26,6,24.237,DAL,@,PHI,W 20-17,,,,,,,,,,
19,1975,1975-11-02,7,24.244,DAL,@,WAS,L 24-30,,,,,,,,,,
20,1975,1975-11-10,8,24.252,DAL,,KAN,L 31-34,,,,,,,,,,
21,1975,1975-12-07,12,24.279,DAL,@,STL,L 17-31,,,,,,,,,,
22,1975,1975-12-21,14,24.293,DAL,@,NYJ,W 31-21,,,,,,,,,,
23,1976,1976-09-12,1,25.193,SEA,,STL,L 24-30,7,88,12.57,0,0,0,,0,0,0
24,1976,1976-09-19,2,25.200,SEA,@,WAS,L 7-31,3,48,16.00,0,0,0,,0,0,0
25,1976,1976-09-26,3,25.207,SEA,,SFO,L 21-37,3,58,19.33,0,0,0,,0,0,0
26,1976,1976-10-03,4,25.214,SEA,,DAL,L 13-28,2,-3,-1.50,0,0,0,,0,0,0
27,1976,1976-10-10,5,25.221,SEA,@,GNB,L 20-27,,,,,,,,,,
28,1976,1976-10-17,6,25.228,SEA,@,TAM,W 13-10,2,45,22.50,0,0,0,,0,0,0
29,1976,1976-10-24,7,25.235,SEA,,DET,L 14-41,3,36,12.00,0,0,0,,0,0,0
30,1976,1976-10-31,8,25.242,SEA,@,RAM,L 6-45,1,10,10.00,0,0,0,,0,0,0
31,1976,1976-11-07,9,25.249,SEA,,ATL,W 30-13,3,22,7.33,0,0,0,,0,0,0
32,1976,1976-11-14,10,25.256,SEA,@,MIN,L 21-27,3,24,8.00,0,0,0,,0,0,0
33,1976,1976-11-21,11,25.263,SEA,,NOR,L 27-51,2,14,7.00,0,0,0,,0,0,0
34,1976,1976-11-28,12,25.270,SEA,@,NYG,L 16-28,3,19,6.33,0,0,0,,0,0,0
35,1976,1976-12-05,13,25.277,SEA,,CHI,L 7-34,2,28,14.00,0,0,0,,0,0,0
36,1976,1976-12-12,14,25.284,SEA,@,PHI,L 10-27,3,33,11.00,0,1,2,2.00,0,0,0
37,1977,1977-09-18,1,26.199,SEA,,BAL,L 14-29,,,,,,,,,,
38,1977,1977-09-25,2,26.206,SEA,@,CIN,L 20-42,,,,,,,,,,
39,1977,1977-10-02,3,26.213,SEA,,DEN,L 13-24,2,10,5.00,1,0,0,,0,1,6
