ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1957,1957-11-03,6,23.215,BAL,,PIT,L 13-19,1,1,1.00,0,,,,,,,0,
2,1960,1960-09-25,1,26.176,BAL,,WAS,W 20-0,0,0,,0,2,2,100.0,2,4,50.0,0,8
3,1960,1960-10-02,2,26.183,BAL,,CHI,W 42-7,0,0,,0,6,6,100.0,,2,0.0,0,6
4,1960,1960-10-09,3,26.190,BAL,@,GNB,L 21-35,0,0,,0,3,3,100.0,,,,0,3
5,1960,1960-10-16,4,26.197,BAL,,RAM,W 31-17,0,0,,0,4,4,100.0,1,1,100.0,0,7
6,1960,1960-10-23,5,26.204,BAL,@,DET,L 17-30,0,0,,0,2,2,100.0,1,3,33.3,0,5
7,1960,1960-10-30,6,26.211,BAL,@,DAL,W 45-7,0,0,,0,6,6,100.0,1,2,50.0,0,9
8,1960,1960-11-06,7,26.218,BAL,,GNB,W 38-24,0,0,,0,5,5,100.0,1,1,100.0,0,8
9,1960,1960-11-13,8,26.225,BAL,@,CHI,W 24-20,0,0,,0,3,3,100.0,1,2,50.0,0,6
10,1960,1960-11-27,9,26.239,BAL,,SFO,L 22-30,0,0,,0,2,3,66.7,,,,0,2
11,1960,1960-12-04,10,26.246,BAL,,DET,L 15-20,0,0,,0,1,2,50.0,,1,0.0,0,1
12,1960,1960-12-11,11,26.253,BAL,@,RAM,L 3-10,0,0,,0,,,,1,2,50.0,0,3
13,1960,1960-12-18,12,26.260,BAL,@,SFO,L 10-34,0,0,,0,1,1,100.0,1,1,100.0,0,4
14,1961,1961-09-17,1,27.168,BAL,,RAM,W 27-24,0,0,,0,3,3,100.0,2,3,66.7,0,9
15,1961,1961-09-24,2,27.175,BAL,,DET,L 15-16,0,0,,0,1,1,100.0,2,2,100.0,0,7
16,1961,1961-10-01,3,27.182,BAL,,MIN,W 34-33,0,0,,0,4,4,100.0,2,2,100.0,0,10
17,1961,1961-10-08,4,27.189,BAL,@,GNB,L 7-45,0,0,,0,1,1,100.0,,,,0,1
18,1961,1961-10-15,5,27.196,BAL,@,CHI,L 10-24,0,0,,0,1,1,100.0,1,5,20.0,0,4
19,1961,1961-10-22,6,27.203,BAL,@,DET,W 17-14,0,0,,0,2,2,100.0,1,1,100.0,0,5
20,1961,1961-10-29,7,27.210,BAL,,CHI,L 20-21,0,0,,0,2,3,66.7,,2,0.0,0,2
21,1961,1961-11-05,8,27.217,BAL,,GNB,W 45-21,0,0,,0,6,6,100.0,1,1,100.0,0,9
22,1961,1961-11-12,9,27.224,BAL,@,MIN,L 20-28,0,0,,0,2,2,100.0,2,5,40.0,0,8
23,1961,1961-11-19,10,27.231,BAL,,STL,W 16-0,0,0,,0,1,1,100.0,3,6,50.0,0,10
24,1961,1961-11-26,11,27.238,BAL,@,WAS,W 27-6,0,0,,0,3,3,100.0,2,4,50.0,0,9
25,1961,1961-12-03,12,27.245,BAL,,SFO,W 20-17,0,0,,0,2,2,100.0,2,2,100.0,0,8
26,1961,1961-12-09,13,27.251,BAL,@,RAM,L 17-34,0,0,,0,2,2,100.0,1,4,25.0,0,5
27,1961,1961-12-16,14,27.258,BAL,@,SFO,W 27-24,0,0,,0,3,3,100.0,2,2,100.0,0,9
