ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-09-13,1,23.254,ARI,,SFO,L 16-20,,0,0,,0,0,0,0.0,3,0,0,0,0
2,2009,2009-09-20,2,23.261,ARI,@,JAX,W 31-17,,0,0,,0,0,0,0.0,1,0,0,0,0
3,2009,2009-09-27,3,23.268,ARI,,IND,L 10-31,,0,0,,0,0,0,0.0,0,0,0,0,0
4,2009,2009-10-11,4,23.282,ARI,,HOU,W 28-21,,,,,,,,,,,,,
5,2009,2009-11-15,9,23.317,ARI,,SEA,W 31-20,,,,,,,,,,,,,
6,2009,2009-12-06,12,23.338,ARI,,MIN,W 30-17,,0,0,,0,0,0,0.0,1,0,0,0,0
7,2009,2009-12-14,13,23.346,ARI,@,SFO,L 9-24,,0,0,,0,0,0,0.0,0,1,0,0,0
8,2009,2009-12-20,14,23.352,ARI,@,DET,W 31-24,,0,0,,0,0,0,0.0,1,0,0,0,0
9,2009,2009-12-27,15,23.359,ARI,,STL,W 31-10,,0,0,,0,0,0,0.0,4,0,0,0,0
10,2009,2010-01-03,16,24.001,ARI,,GNB,L 7-33,*,0,0,,0,0,0,0.0,7,0,0,0,0
11,2010,2010-09-12,1,24.253,ARI,@,STL,W 17-13,,0,0,,0,0,0,0.0,0,0,0,0,0
12,2010,2010-09-19,2,24.260,ARI,@,ATL,L 7-41,,0,0,,0,0,0,0.0,2,0,0,0,0
13,2010,2010-09-26,3,24.267,ARI,,OAK,W 24-23,,0,0,,0,0,0,0.0,0,1,0,0,0
14,2010,2010-10-03,4,24.274,ARI,@,SDG,L 10-41,,0,0,,0,0,0,0.0,1,0,0,0,0
15,2010,2010-10-10,5,24.281,ARI,,NOR,W 30-20,,0,0,,0,0,0,0.0,2,2,0,0,0
16,2010,2010-10-24,6,24.295,ARI,@,SEA,L 10-22,,0,0,,0,0,0,0.0,2,1,0,0,0
17,2010,2010-10-31,7,24.302,ARI,,TAM,L 35-38,,0,0,,0,0,0,0.0,2,2,0,0,0
18,2010,2010-11-07,8,24.309,ARI,@,MIN,L 24-27,,0,0,,0,0,0,0.0,3,4,1,7,0
19,2010,2010-11-14,9,24.316,ARI,,SEA,L 18-36,*,0,0,,0,0,0,0.0,0,0,0,0,0
20,2010,2010-11-21,10,24.323,ARI,@,KAN,L 13-31,,0,0,,0,0,0,0.0,1,0,0,0,0
21,2010,2010-11-29,11,24.331,ARI,,SFO,L 6-27,,0,0,,0,0,0,0.0,1,0,0,0,0
22,2010,2010-12-05,12,24.337,ARI,,STL,L 6-19,,0,0,,0,0,0,0.0,2,1,0,0,0
