ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1965,1965-10-03,3,23.009,RAM,,MIN,L 35-38,3,3,1.00,0,0,0,,0,0,0,0,0,0
2,1965,1965-10-31,7,23.037,RAM,,DET,L 7-31,0,0,,0,1,23,23.00,0,0,0,0,0,0
3,1965,1965-11-07,8,23.044,RAM,@,MIN,L 13-24,0,0,,0,4,103,25.75,0,0,0,0,0,0
4,1965,1965-11-21,10,23.058,RAM,@,SFO,L 27-30,0,0,,0,1,19,19.00,0,0,0,0,0,0
5,1965,1965-11-28,11,23.065,RAM,,GNB,W 21-10,0,0,,0,1,22,22.00,0,0,0,0,0,0
6,1965,1965-12-18,14,23.085,RAM,,BAL,L 17-20,0,0,,0,2,46,23.00,0,0,0,0,0,0
7,1966,1966-09-11,1,23.352,RAM,@,ATL,W 19-14,0,0,,0,1,38,38.00,0,0,0,0,0,0
8,1966,1966-09-25,3,24.001,RAM,@,GNB,L 13-24,0,0,,0,1,20,20.00,0,0,0,0,0,0
9,1966,1966-09-30,4,24.006,RAM,,SFO,W 34-3,0,0,,0,1,20,20.00,0,0,0,1,31,0
10,1966,1966-10-09,5,24.015,RAM,@,DET,W 14-7,0,0,,0,0,0,,0,0,0,2,34,0
11,1966,1966-10-16,6,24.022,RAM,@,MIN,L 7-35,0,0,,0,3,85,28.33,0,0,0,1,0,0
12,1966,1966-10-30,8,24.036,RAM,,BAL,L 3-17,0,0,,0,2,40,20.00,0,0,0,1,0,0
13,1966,1966-11-06,9,24.043,RAM,@,SFO,L 13-21,0,0,,0,2,103,51.50,0,0,0,0,0,0
14,1966,1966-11-13,10,24.050,RAM,,NYG,W 55-14,0,0,,0,2,44,22.00,0,0,0,1,0,0
15,1966,1966-11-20,11,24.057,RAM,,MIN,W 21-6,0,0,,0,0,0,,0,0,0,1,0,0
16,1966,1966-11-27,12,24.064,RAM,@,BAL,W 23-7,0,0,,0,1,24,24.00,0,1,6,1,32,1
17,1966,1966-12-04,13,24.071,RAM,,DET,W 23-3,0,0,,0,1,21,21.00,0,0,0,0,0,0
18,1966,1966-12-18,14,24.085,RAM,,GNB,L 23-27,0,0,,0,1,25,25.00,0,0,0,0,0,0
19,1967,1967-10-01,3,25.007,RAM,@,DAL,W 35-13,0,0,,0,1,25,25.00,0,0,0,0,0,0
20,1967,1967-10-08,4,25.014,RAM,,SFO,L 24-27,0,0,,0,0,0,,0,0,0,2,29,0
21,1967,1967-10-15,5,25.021,RAM,@,BAL,T 24-24,0,0,,0,3,51,17.00,0,0,0,0,0,0
22,1967,1967-11-12,9,25.049,RAM,,PHI,W 33-17,0,0,,0,1,28,28.00,0,0,0,0,0,0
23,1967,1967-11-19,10,25.056,RAM,@,ATL,W 31-3,0,0,,0,1,29,29.00,0,0,0,1,29,0
24,1967,1967-12-09,13,25.076,RAM,,GNB,W 27-24,0,0,,0,0,0,,0,0,0,1,17,0
25,1967,1967-12-17,14,25.084,RAM,,BAL,W 34-10,0,0,,0,1,28,28.00,0,0,0,0,0,0
26,1968,1968-09-16,1,25.358,RAM,@,STL,W 24-13,0,0,,0,1,16,16.00,0,0,0,0,0,0
27,1968,1968-09-29,3,26.005,RAM,@,CLE,W 24-6,0,0,,0,0,0,,0,0,0,1,0,0
28,1968,1968-10-13,5,26.019,RAM,@,GNB,W 16-14,0,0,,0,0,0,,0,0,0,2,36,0
29,1968,1968-10-27,7,26.033,RAM,@,BAL,L 10-27,0,0,,0,0,0,,0,0,0,1,10,0
30,1968,1968-11-17,10,26.054,RAM,@,SFO,T 20-20,0,0,,0,0,0,,0,0,0,1,0,0
31,1968,1968-12-01,12,26.068,RAM,@,MIN,W 31-3,0,0,,0,0,0,,0,0,0,1,5,0
32,1968,1968-12-08,13,26.075,RAM,,CHI,L 16-17,0,0,,0,0,0,,0,0,0,1,0,0
