ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1996,1996-10-20,7,26.175,SFO,,CIN,W 28-21,,,,,,,0.0%,,,,,,,,,
2,1997,1997-09-07,2,27.132,SFO,@,STL,W 15-12,,1,0,0,,0,0.0%,0.00,,,,,,,,
3,1997,1997-09-14,3,27.139,SFO,,NOR,W 33-7,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0
4,1997,1997-09-21,4,27.146,SFO,,ATL,W 34-7,,,0,0,,0,0.0%,,,,,,,,,
5,1997,1997-09-29,5,27.154,SFO,@,CAR,W 34-21,,,0,0,,0,0.0%,,,,,,,,,
6,1997,1997-10-12,6,27.167,SFO,,STL,W 30-10,,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0
7,1997,1997-10-19,7,27.174,SFO,@,ATL,W 35-28,,1,0,0,,0,0.0%,0.00,,,,,,,,
8,1997,1997-10-26,8,27.181,SFO,@,NOR,W 23-0,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0
9,1997,1997-11-10,10,27.196,SFO,@,PHI,W 24-12,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0
10,1997,1997-11-16,11,27.202,SFO,,CAR,W 27-19,,0,0,0,,0,0.0%,,,,,,,,,
11,1997,1997-12-21,16,27.237,SFO,@,SEA,L 9-38,,,0,0,,0,0.0%,,,,,,,,,
12,1998,1998-09-14,2,28.139,SFO,@,WAS,W 45-10,,,,,,,0.0%,,,,,,,,,
13,1998,1998-10-18,6,28.173,SFO,,IND,W 34-31,,,,,,,0.0%,,,,,,,,,
14,1998,1998-11-08,9,28.194,SFO,,CAR,W 25-23,,,,,,,0.0%,,,,,,,,,
15,1998,1998-11-15,10,28.201,SFO,@,ATL,L 19-31,,1,1,42,42.00,0,100.0%,42.00,0,0,,0,0,0,,0
16,1998,1998-11-22,11,28.208,SFO,,NOR,W 31-20,,,,,,,0.0%,,,,,,,,,
17,1998,1998-11-30,12,28.216,SFO,,NYG,W 31-7,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,,0
18,1998,1998-12-06,13,28.222,SFO,@,CAR,W 31-28,,,,,,,0.0%,,,,,,,,,
19,1998,1998-12-14,14,28.230,SFO,,DET,W 35-13,,,,,,,0.0%,,,,,,,,,
20,1998,1998-12-20,15,28.236,SFO,@,NWE,L 21-24,,,,,,,0.0%,,,,,,,,,
21,1998,1998-12-27,16,28.243,SFO,,STL,W 38-19,,,,,,,0.0%,,,,,,,,,
22,1999,1999-09-12,1,29.137,SFO,@,JAX,L 3-41,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0
23,1999,1999-09-19,2,29.144,SFO,,NOR,W 28-21,,1,,,,,0.0%,,,,,,,,,
24,1999,1999-09-27,3,29.152,SFO,@,ARI,W 24-10,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0
25,1999,1999-10-03,4,29.158,SFO,,TEN,W 24-22,,3,,,,,0.0%,,,,,,,,,
26,1999,1999-10-10,5,29.165,SFO,@,STL,L 20-42,,0,,,,,0.0%,,,,,,,,,
27,1999,1999-10-17,6,29.172,SFO,,CAR,L 29-31,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0
28,1999,1999-10-24,7,29.179,SFO,@,MIN,L 16-40,,1,1,33,33.00,0,100.0%,33.00,0,0,,0,0,0,,0
29,1999,1999-11-07,8,29.193,SFO,,PIT,L 6-27,*,0,,,,,0.0%,,,,,,,,,
30,1999,1999-11-14,9,29.200,SFO,@,NOR,L 6-24,,1,,,,,0.0%,,,,,,,,,
31,1999,1999-11-21,10,29.207,SFO,,STL,L 7-23,,1,0,0,,0,0.0%,0.00,1,11,11.00,0,0,0,,0
32,1999,1999-11-29,11,29.215,SFO,,GNB,L 3-20,*,0,0,0,,0,0.0%,,1,15,15.00,0,2,3,1.50,0
33,1999,1999-12-05,12,29.221,SFO,@,CIN,L 30-44,,0,0,0,,0,0.0%,,0,0,,0,2,5,2.50,0
34,1999,1999-12-12,13,29.228,SFO,,ATL,W 26-7,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0
35,1999,1999-12-18,14,29.234,SFO,@,CAR,L 24-41,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0
36,1999,1999-12-26,15,29.242,SFO,,WAS,L 20-26,,,,,,,0.0%,,,,,,,,,
37,1999,2000-01-03,16,29.250,SFO,@,ATL,L 29-34,,,,,,,0.0%,,,,,,,,,
