ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,23.058,KAN,@,NWE,L 10-17,*,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
2,2008,2008-09-14,2,23.065,KAN,,OAK,L 8-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,0,2,0.0,0,0
3,2008,2008-09-21,3,23.072,KAN,@,ATL,L 14-38,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,1
4,2008,2008-09-28,4,23.079,KAN,,DEN,W 33-19,,3,2,4,2.00,0,66.7%,1.33,0,0,,0,1,8,8.00,0,,0,0,0.0,0,0
5,2008,2008-10-05,5,23.086,KAN,@,CAR,L 0-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
6,2008,2008-10-19,6,23.100,KAN,,TEN,L 10-34,*,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
7,2008,2008-10-26,7,23.107,KAN,@,NYJ,L 24-28,,,,,,,0.0%,,,,,,,,,,,,,,,
8,2008,2008-11-02,8,23.114,KAN,,TAM,L 27-30,,0,,,,,0.0%,,,,,,,,,,,,,,,
9,2008,2008-11-09,9,23.121,KAN,@,SDG,L 19-20,,0,0,0,,0,0.0%,,1,-2,-2.00,0,0,0,,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,23.128,KAN,,NOR,L 20-30,,0,,,,,0.0%,,,,,,,,,,,,,,,
11,2008,2008-11-23,11,23.135,KAN,,BUF,L 31-54,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,2,3,1.50,0,,0,0,0.0,0,0
12,2008,2008-11-30,12,23.142,KAN,@,OAK,W 20-13,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
13,2008,2008-12-07,13,23.149,KAN,@,DEN,L 17-24,,,,,,,0.0%,,,,,,,,,,,,,,,
14,2008,2008-12-14,14,23.156,KAN,,SDG,L 21-22,,,,,,,0.0%,,,,,,,,,,,,,,,
15,2008,2008-12-21,15,23.163,KAN,,MIA,L 31-38,,,,,,,0.0%,,,,,,,,,,,,,,,
16,2008,2008-12-28,16,23.170,KAN,@,CIN,L 6-16,,,,,,,0.0%,,,,,,,,,,,,,,,
17,2009,2009-09-13,1,24.064,KAN,@,BAL,L 24-38,*,,,,,,0.0%,,,,,,,,,,,,,,,
18,2009,2009-09-20,2,24.071,KAN,,OAK,L 10-13,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
19,2009,2009-09-27,3,24.078,KAN,@,PHI,L 14-34,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,1,0
20,2009,2009-10-04,4,24.085,KAN,,NYG,L 16-27,*,,,,,,0.0%,,,,,,,,,,,,,,,
21,2009,2009-10-11,5,24.092,KAN,,DAL,L 20-26,*,,,,,,0.0%,,,,,,,,,,,,,,,
22,2009,2009-10-18,6,24.099,KAN,@,WAS,W 14-6,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,,0,0,0.0,0,0
23,2009,2009-10-25,7,24.106,KAN,,SDG,L 7-37,*,0,0,0,,0,0.0%,,0,0,,0,2,9,4.50,0,,0,0,0.0,0,0
24,2009,2009-11-08,8,24.120,KAN,@,JAX,L 21-24,*,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
25,2009,2009-11-15,9,24.127,KAN,@,OAK,W 16-10,,,,,,,0.0%,,,,,,,,,,,,,,,
26,2009,2009-11-22,10,24.134,KAN,,PIT,W 27-24,*,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
27,2009,2009-11-29,11,24.141,KAN,@,SDG,L 14-43,*,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
28,2009,2009-12-06,12,24.148,KAN,,DEN,L 13-44,,1,,,,,0.0%,,,,,,,,,,,,,,,
29,2009,2009-12-13,13,24.155,KAN,,BUF,L 10-16,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
30,2009,2009-12-20,14,24.162,KAN,,CLE,L 34-41,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
31,2009,2009-12-27,15,24.169,KAN,@,CIN,L 10-17,*,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
32,2009,2010-01-03,16,24.176,KAN,@,DEN,W 44-24,,1,1,13,13.00,0,100.0%,13.00,2,3,1.50,1,0,0,,0,,1,6,0.0,0,0
33,2010,2010-10-17,5,25.098,KAN,@,HOU,L 31-35,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
34,2010,2010-10-24,6,25.105,KAN,,JAX,W 42-20,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
35,2010,2010-10-31,7,25.112,KAN,,BUF,W 13-10,,,,,,,0.0%,,,,,,,,,,,,,,,
36,2010,2010-11-14,9,25.126,KAN,@,DEN,L 29-49,*,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
