ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1988,1988-09-04,1,23.187,KAN,,CLE,L 3-6,,3,34,11.33,0,,,0,0,,0,0,0
2,1988,1988-09-11,2,23.194,KAN,@,SEA,L 10-31,,0,0,,0,,,,,,,,
3,1988,1988-09-18,3,23.201,KAN,,DEN,W 20-13,,2,32,16.00,0,,,0,0,,0,0,0
4,1988,1988-09-25,4,23.208,KAN,,SDG,L 23-24,,1,3,3.00,0,,,0,0,,0,0,0
5,1988,1988-10-02,5,23.215,KAN,@,NYJ,T 17-17,,0,0,,0,,,,,,,,
6,1988,1988-10-09,6,23.222,KAN,@,HOU,L 6-7,,3,21,7.00,0,,,0,0,,0,0,0
7,1988,1988-10-16,7,23.229,KAN,,RAI,L 17-27,,0,0,,0,,,,,,,,
8,1988,1988-10-23,8,23.236,KAN,,DET,L 6-7,,0,0,,0,,,,,,,,
9,1988,1988-10-30,9,23.243,KAN,@,RAI,L 10-17,,0,0,,0,,,,,,,,
10,1988,1988-11-06,10,23.250,KAN,@,DEN,L 11-17,,0,0,,0,,,,,,,,
11,1988,1988-11-13,11,23.257,KAN,,CIN,W 31-28,,1,14,14.00,0,,,0,0,,0,0,0
12,1988,1988-11-20,12,23.264,KAN,,SEA,W 27-24,,0,0,,0,,,,,,,,
13,1988,1988-11-27,13,23.271,KAN,@,PIT,L 10-16,,0,0,,0,,,,,,,,
14,1988,1988-12-04,14,23.278,KAN,,NYJ,W 38-34,,0,0,,0,,,,,,,,
15,1988,1988-12-11,15,23.285,KAN,@,NYG,L 12-28,,0,0,,0,,,,,,,,
16,1988,1988-12-18,16,23.292,KAN,@,SDG,L 13-24,,0,0,,0,,,,,,,,
17,1989,1989-09-10,1,24.193,KAN,@,DEN,L 20-34,,0,0,,0,,,,,,,,
18,1989,1989-09-17,2,24.200,KAN,,RAI,W 24-19,,0,0,,0,,,,,,,,
19,1989,1989-09-24,3,24.207,KAN,@,SDG,L 6-21,,0,0,,0,,,,,,,,
20,1989,1989-10-01,4,24.214,KAN,,CIN,L 17-21,,0,0,,0,,,,,,,,
21,1989,1989-10-08,5,24.221,KAN,@,SEA,W 20-16,,1,2,2.00,1,,,0,0,,0,1,6
