ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1994,1994-10-30,8,24.205,TAM,,MIN,L 13-36,,,,,,0.0%,
2,1994,1994-11-06,9,24.212,TAM,,CHI,L 6-20,,,,,,0.0%,
3,1994,1994-11-13,10,24.219,TAM,@,DET,L 9-14,,,,,,0.0%,
4,1994,1994-12-11,14,24.247,TAM,,RAM,W 24-14,,,,,,0.0%,
5,1994,1994-12-18,15,24.254,TAM,@,WAS,W 17-14,,,,,,0.0%,
6,1994,1994-12-24,16,24.260,TAM,,GNB,L 19-34,,,,,,0.0%,
7,1995,1995-09-03,1,25.148,CLE,@,NWE,L 14-17,3,3,15,5.00,0,100.0%,5.00
8,1995,1995-09-10,2,25.155,CLE,,TAM,W 22-6,,0,0,,0,0.0%,
9,1995,1995-09-24,4,25.169,CLE,,KAN,W 35-17,,0,0,,0,0.0%,
10,1995,1995-10-02,5,25.177,CLE,,BUF,L 19-22,,0,0,,0,0.0%,
11,1995,1995-10-08,6,25.183,CLE,@,DET,L 20-38,1,1,12,12.00,0,100.0%,12.00
12,1995,1995-10-22,7,25.197,CLE,,JAX,L 15-23,3,2,28,14.00,0,66.7%,9.33
13,1995,1995-10-29,8,25.204,CLE,@,CIN,W 29-26,5,4,21,5.25,0,80.0%,4.20
14,1995,1995-11-05,9,25.211,CLE,,HOU,L 10-37,,0,0,,0,0.0%,
15,1995,1995-11-13,10,25.219,CLE,@,PIT,L 3-20,1,0,0,,0,0.0%,0.00
16,1995,1995-12-03,13,25.239,CLE,@,SDG,L 13-31,4,2,21,10.50,0,50.0%,5.25
17,1995,1995-12-09,14,25.245,CLE,@,MIN,L 11-27,2,1,9,9.00,0,50.0%,4.50
18,1995,1995-12-17,15,25.253,CLE,,CIN,W 26-10,1,1,17,17.00,0,100.0%,17.00
19,1995,1995-12-24,16,25.260,CLE,@,JAX,L 21-24,2,2,12,6.00,0,100.0%,6.00
20,1996,1996-09-01,1,26.146,BAL,,OAK,W 19-14,,0,0,,0,0.0%,
21,1996,1996-09-08,2,26.153,BAL,@,PIT,L 17-31,,0,0,,0,0.0%,
22,1996,1996-09-15,3,26.160,BAL,@,HOU,L 13-29,,0,0,,0,0.0%,
23,1996,1996-09-29,4,26.174,BAL,,NOR,W 17-10,1,0,0,,0,0.0%,0.00
24,1996,1996-10-06,5,26.181,BAL,,NWE,L 38-46,1,0,0,,0,0.0%,0.00
25,1996,1996-10-13,6,26.188,BAL,@,IND,L 21-26,2,2,22,11.00,0,100.0%,11.00
26,1996,1996-10-20,7,26.195,BAL,@,DEN,L 34-45,,0,0,,0,0.0%,
27,1996,1996-10-27,8,26.202,BAL,,STL,W 37-31,0,0,0,,0,0.0%,
28,1998,1998-09-13,2,28.158,PIT,,CHI,W 17-12,,,,,,0.0%,
29,1998,1998-09-20,3,28.165,PIT,@,MIA,L 0-21,,,,,,0.0%,
30,1998,1998-09-27,4,28.172,PIT,,SEA,W 13-10,3,1,4,4.00,0,33.3%,1.33
31,1998,1998-10-11,5,28.186,PIT,@,CIN,L 20-25,,,,,,0.0%,
32,1998,1998-11-22,11,28.228,PIT,,JAX,W 30-15,,,,,,0.0%,
33,1998,1998-11-26,12,28.232,PIT,@,DET,L 16-19,,,,,,0.0%,
