ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1976,1976-09-26,3,22.360,NYJ,@,MIA,L 0-16,,,,,,,,
2,1976,1976-10-03,4,23.001,NYJ,@,SFO,L 6-17,,,,,,,,
3,1976,1976-10-10,5,23.008,NYJ,,BUF,W 17-14,,,,,,,,
4,1976,1976-10-18,6,23.016,NYJ,@,NWE,L 7-41,,,,,,,,
5,1976,1976-10-24,7,23.022,NYJ,,BAL,L 0-20,,,,,,,,
6,1976,1976-10-31,8,23.029,NYJ,@,BUF,W 19-14,,,,,,,,
7,1976,1976-11-07,9,23.036,NYJ,,MIA,L 7-27,,,,,,,,
8,1976,1976-11-14,10,23.043,NYJ,,TAM,W 34-0,,,,,,,,
9,1976,1976-11-21,11,23.050,NYJ,,NWE,L 24-38,,,,,,,,
10,1976,1976-11-28,12,23.057,NYJ,@,BAL,L 16-33,,,,,,,,
11,1976,1976-12-05,13,23.064,NYJ,,WAS,L 16-37,,,,,,,,
12,1976,1976-12-12,14,23.071,NYJ,,CIN,L 3-42,0,0,,0,1,0,0.00,0
13,1977,1977-09-18,1,23.351,NYJ,@,HOU,L 0-20,1,16,16.00,0,0,0,,0
14,1977,1977-09-25,2,23.358,NYJ,,BAL,L 12-20,1,20,20.00,0,0,0,,0
